dataset,energy_dc_mwh,power_mw,nameplate_dc_hours,deliverable_ac_mwh_before_capability,deliverable_ac_hours_before_capability,reference_storage_derating_factor,conditional_capacity_awarded_mw,policy,case,source_dispatch,source_identity,cost_scenario,year,energy_sales_eur,energy_purchase_eur,balancing_net_eur,services_revenue_eur,capacity_revenue_eur,contracted_other_net_revenue_eur,capacity_difference_charges_eur,service_nonperformance_cost_eur,fees_eur,fixed_opex_eur,discharge_throughput_mwh,variable_opex_eur_per_mwh,generator_tuos_eur,house_load_grid_cost_eur,other_grid_cost_eur,replacement_capex_eur,augmentation_capex_eur,decommissioning_cost_eur,residual_value_eur,fixed_opex_includes_replacement_and_augmentation,system_benefit_eur,avoided_curtailment_value_eur,net_energy_margin_eur,project_margin_before_operating_cost_eur,variable_opex_eur,operating_cost_eur,net_operating_cashflow_eur,maintenance_capex_eur,net_cashflow_eur,system_benefit_included_in_cashflow,avoided_curtailment_value_included_in_cashflow,degradation_applied_by_finance_layer
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,low_cost,1,7023758.886040321,4922952.667436956,0.0,0.0,0.0,0.0,0.0,0.0,95841.49737429891,1170409.0223428737,44035.28257738059,0.0,817161.2788640594,100000.0,155418.64439075498,0.0,0.0,0.0,0.0,True,0.0,0.0,2100806.218603364,2100806.218603364,0.0,2338830.442971987,-238024.224368623,0.0,-238024.224368623,False,False,False
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,low_cost,2,7023758.886040321,4922952.667436956,0.0,0.0,0.0,0.0,0.0,0.0,95841.49737429891,1170409.0223428737,44035.28257738059,0.0,817161.2788640594,100000.0,155418.64439075498,0.0,0.0,0.0,0.0,True,0.0,0.0,2100806.218603364,2100806.218603364,0.0,2338830.442971987,-238024.224368623,0.0,-238024.224368623,False,False,False
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,low_cost,3,7023758.886040321,4922952.667436956,0.0,0.0,0.0,0.0,0.0,0.0,95841.49737429891,1170409.0223428737,44035.28257738059,0.0,817161.2788640594,100000.0,155418.64439075498,0.0,0.0,0.0,0.0,True,0.0,0.0,2100806.218603364,2100806.218603364,0.0,2338830.442971987,-238024.224368623,0.0,-238024.224368623,False,False,False
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,low_cost,4,7023758.886040321,4922952.667436956,0.0,0.0,0.0,0.0,0.0,0.0,95841.49737429891,1170409.0223428737,44035.28257738059,0.0,817161.2788640594,100000.0,155418.64439075498,0.0,0.0,0.0,0.0,True,0.0,0.0,2100806.218603364,2100806.218603364,0.0,2338830.442971987,-238024.224368623,0.0,-238024.224368623,False,False,False
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,low_cost,5,7023758.886040321,4922952.667436956,0.0,0.0,0.0,0.0,0.0,0.0,95841.49737429891,1170409.0223428737,44035.28257738059,0.0,817161.2788640594,100000.0,155418.64439075498,0.0,0.0,0.0,0.0,True,0.0,0.0,2100806.218603364,2100806.218603364,0.0,2338830.442971987,-238024.224368623,0.0,-238024.224368623,False,False,False
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,low_cost,6,7023758.886040321,4922952.667436956,0.0,0.0,0.0,0.0,0.0,0.0,95841.49737429891,1170409.0223428737,44035.28257738059,0.0,817161.2788640594,100000.0,155418.64439075498,0.0,0.0,0.0,0.0,True,0.0,0.0,2100806.218603364,2100806.218603364,0.0,2338830.442971987,-238024.224368623,0.0,-238024.224368623,False,False,False
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,low_cost,7,7023758.886040321,4922952.667436956,0.0,0.0,0.0,0.0,0.0,0.0,95841.49737429891,1170409.0223428737,44035.28257738059,0.0,817161.2788640594,100000.0,155418.64439075498,0.0,0.0,0.0,0.0,True,0.0,0.0,2100806.218603364,2100806.218603364,0.0,2338830.442971987,-238024.224368623,0.0,-238024.224368623,False,False,False
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,low_cost,8,7023758.886040321,4922952.667436956,0.0,0.0,0.0,0.0,0.0,0.0,95841.49737429891,1170409.0223428737,44035.28257738059,0.0,817161.2788640594,100000.0,155418.64439075498,0.0,0.0,0.0,0.0,True,0.0,0.0,2100806.218603364,2100806.218603364,0.0,2338830.442971987,-238024.224368623,0.0,-238024.224368623,False,False,False
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,low_cost,9,7023758.886040321,4922952.667436956,0.0,0.0,0.0,0.0,0.0,0.0,95841.49737429891,1170409.0223428737,44035.28257738059,0.0,817161.2788640594,100000.0,155418.64439075498,0.0,0.0,0.0,0.0,True,0.0,0.0,2100806.218603364,2100806.218603364,0.0,2338830.442971987,-238024.224368623,0.0,-238024.224368623,False,False,False
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,low_cost,10,7023758.886040321,4922952.667436956,0.0,0.0,0.0,0.0,0.0,0.0,95841.49737429891,1170409.0223428737,44035.28257738059,0.0,817161.2788640594,100000.0,155418.64439075498,0.0,0.0,0.0,0.0,True,0.0,0.0,2100806.218603364,2100806.218603364,0.0,2338830.442971987,-238024.224368623,0.0,-238024.224368623,False,False,False
