dataset,energy_dc_mwh,power_mw,nameplate_dc_hours,deliverable_ac_mwh_before_capability,deliverable_ac_hours_before_capability,reference_storage_derating_factor,conditional_capacity_awarded_mw,policy,case,source_dispatch,source_identity,cost_scenario,conditional_contract_years,installed_plant_eur,connection_allowance_eur,upfront_capex_eur,annual_fixed_opex_including_augmentation_eur,annual_gtuos_proxy_eur,annual_house_load_incremental_cost_eur,real_discount_rate,operating_years,money_basis,annual_energy_sales_eur,annual_energy_purchases_eur,annual_services_gross_eur,annual_capacity_gross_eur,annual_gross_receipts_eur,annual_energy_and_service_trading_cash_eur,year_1_net_operating_cashflow_eur,year_1_net_cashflow_eur,npv_eur,no_build_npv_eur,npv_vs_no_build_eur,preferred_to_no_build_by_npv,irr,irr_status,simple_payback_years,discounted_payback_years,additional_annual_net_contract_eur,grid_feasibility_verified,capacity_and_services_secured_eur,service_price_is_hypothetical,maintained_capacity_by_inclusive_augmentation_assumption,future_pattern_repeat_is_not_forecast
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,high_cost,0,76743924.92993842,10000000,86743924.92993842,3069756.9971975368,940469.0851955307,100000,0.07,15,constant_2024_EUR,7023758.886040321,4922952.667436956,0.0,0.0,7023758.886040321,1849546.0768383103,-2260680.005554758,-2260680.005554758,-108277203.72317117,0.0,-108277203.72317117,False,,no_real_irr,,,11888254.946460009,False,0.0,True,True,True
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,low_cost,0,29260225.55857184,2000000,31260225.55857184,1170409.0223428737,817161.2788640594,100000,0.07,15,constant_2024_EUR,7023758.886040321,4922952.667436956,0.0,0.0,7023758.886040321,1849546.0768383103,-238024.224368623,-238024.224368623,-33768034.05505887,0.0,-33768034.05505887,False,,no_real_irr,,,3707548.6259659966,False,0.0,True,True,True
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_170_causal_energy_only_12662522cce0cba578ab,12662522cce0cba578ab,reference_cost,0,50572278.73588249,5000000,55572278.73588249,2022891.1494352997,894754.6606145252,100000,0.07,15,constant_2024_EUR,7023758.886040321,4922952.667436956,0.0,0.0,7023758.886040321,1849546.0768383103,-1168099.733211514,-1168099.733211514,-66815489.19227219,0.0,-66815489.19227219,False,,no_real_irr,,,7335981.5600796845,False,0.0,True,True,True
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,8.678596133642543,causal,stack_t4_services4,results\bess_duration_sensitivity\dispatch_170_causal_stack_t4_services4_c34d5f82debcc73298f1,c34d5f82debcc73298f1,high_cost,15,76743924.92993842,10000000,86743924.92993842,3069756.9971975368,940469.0851955307,100000,0.07,15,constant_2024_EUR,5542837.610811216,4244038.016443649,934429.9118003506,1102589.6993927944,7579857.222004361,1938892.7257412649,-1068743.657259008,-1068743.657259008,-97421149.96332966,0.0,-97421149.96332966,False,,no_real_irr,,,10696318.598164259,False,0.0,True,True,True
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,8.678596133642543,causal,stack_t4_services4,results\bess_duration_sensitivity\dispatch_170_causal_stack_t4_services4_c34d5f82debcc73298f1,c34d5f82debcc73298f1,low_cost,15,29260225.55857184,2000000,31260225.55857184,1170409.0223428737,817161.2788640594,100000,0.07,15,constant_2024_EUR,5542837.610811216,4244038.016443649,934429.9118003506,1102589.6993927944,7579857.222004361,1938892.7257412649,953912.1239271266,953912.1239271266,-22911980.295217358,0.0,-22911980.295217358,False,-0.09696620863831107,unique,,,2515612.277670247,False,0.0,True,True,True
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,8.678596133642543,causal,stack_t4_services4,results\bess_duration_sensitivity\dispatch_170_causal_stack_t4_services4_c34d5f82debcc73298f1,c34d5f82debcc73298f1,reference_cost,15,50572278.73588249,5000000,55572278.73588249,2022891.1494352997,894754.6606145252,100000,0.07,15,constant_2024_EUR,5542837.610811216,4244038.016443649,934429.9118003506,1102589.6993927944,7579857.222004361,1938892.7257412649,23836.615084234625,23836.615084234625,-55959435.432430685,0.0,-55959435.432430685,False,,no_real_irr,,,6144045.211783935,False,0.0,True,True,True
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,daily_oracle,energy_only,results\bess_duration_sensitivity\dispatch_170_daily_oracle_energy_only_6c82fd7b3e6d30a444af,6c82fd7b3e6d30a444af,high_cost,0,76743924.92993842,10000000,86743924.92993842,3069756.9971975368,940469.0851955307,100000,0.07,15,constant_2024_EUR,8001401.703226493,4604678.250678109,0.0,0.0,8001401.703226493,3144872.1886591585,-965353.8937339075,-965353.8937339075,-96479484.88813446,0.0,-96479484.88813446,False,,no_real_irr,,,10592928.834639156,False,0.0,True,True,True
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,daily_oracle,energy_only,results\bess_duration_sensitivity\dispatch_170_daily_oracle_energy_only_6c82fd7b3e6d30a444af,6c82fd7b3e6d30a444af,low_cost,0,29260225.55857184,2000000,31260225.55857184,1170409.0223428737,817161.2788640594,100000,0.07,15,constant_2024_EUR,8001401.703226493,4604678.250678109,0.0,0.0,8001401.703226493,3144872.1886591585,1057301.887452227,1057301.887452227,-21970315.22002217,0.0,-21970315.22002217,False,-0.08534425665785539,unique,,,2412222.5141451466,False,0.0,True,True,True
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,0.0,daily_oracle,energy_only,results\bess_duration_sensitivity\dispatch_170_daily_oracle_energy_only_6c82fd7b3e6d30a444af,6c82fd7b3e6d30a444af,reference_cost,0,50572278.73588249,5000000,55572278.73588249,2022891.1494352997,894754.6606145252,100000,0.07,15,constant_2024_EUR,8001401.703226493,4604678.250678109,0.0,0.0,8001401.703226493,3144872.1886591585,127226.37860933552,127226.37860933552,-55017770.35723549,0.0,-55017770.35723549,False,,no_real_irr,,,6040655.448258834,False,0.0,True,True,True
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,8.678596133642543,daily_oracle,stack_t4_services4,results\bess_duration_sensitivity\dispatch_170_daily_oracle_stack_t4_services4_59a7a8a12295f622f535,59a7a8a12295f622f535,high_cost,15,76743924.92993842,10000000,86743924.92993842,3069756.9971975368,940469.0851955307,100000,0.07,15,constant_2024_EUR,6946539.679880535,4299954.183373076,765959.9359666805,1102589.6993927944,8815089.31524001,3113783.8449856495,106147.4619853776,106147.4619853776,-86720342.68388537,0.0,-86720342.68388537,False,,no_real_irr,,,9521427.478919873,False,0.0,True,True,True
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,8.678596133642543,daily_oracle,stack_t4_services4,results\bess_duration_sensitivity\dispatch_170_daily_oracle_stack_t4_services4_59a7a8a12295f622f535,59a7a8a12295f622f535,low_cost,15,29260225.55857184,2000000,31260225.55857184,1170409.0223428737,817161.2788640594,100000,0.07,15,constant_2024_EUR,6946539.679880535,4299954.183373076,765959.9359666805,1102589.6993927944,8815089.31524001,3113783.8449856495,2128803.243171511,2128803.243171511,-12211173.015773073,0.0,-12211173.015773073,False,-0.0010952206123042707,unique,,,1340721.158425863,False,0.0,True,True,True
recent,170,85,2.0,125.38580461918328,1.475127113166862,0.10525889792168033,8.678596133642543,daily_oracle,stack_t4_services4,results\bess_duration_sensitivity\dispatch_170_daily_oracle_stack_t4_services4_59a7a8a12295f622f535,59a7a8a12295f622f535,reference_cost,15,50572278.73588249,5000000,55572278.73588249,2022891.1494352997,894754.6606145252,100000,0.07,15,constant_2024_EUR,6946539.679880535,4299954.183373076,765959.9359666805,1102589.6993927944,8815089.31524001,3113783.8449856495,1198727.7343286192,1198727.7343286192,-45258628.15298639,0.0,-45258628.15298639,False,,multiple_roots,,,4969154.092539551,False,0.0,True,True,True
recent,310,85,3.6470588235294117,228.64470254086362,2.689937676951337,0.1889157620326909,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_310_causal_energy_only_df52ff1f6fb0da939e5d,df52ff1f6fb0da939e5d,high_cost,0,107627903.88886221,10000000,117627903.88886221,4305116.155554488,940469.0851955307,100000,0.07,15,constant_2024_EUR,12330663.87056704,8798218.278540913,0.0,0.0,12330663.87056704,3090307.1234682146,-2255278.117281802,-2255278.117281802,-139447796.00557107,0.0,-139447796.00557107,False,,no_real_irr,,,15310618.427814197,False,0.0,True,True,True
recent,310,85,3.6470588235294117,228.64470254086362,2.689937676951337,0.1889157620326909,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_310_causal_energy_only_df52ff1f6fb0da939e5d,df52ff1f6fb0da939e5d,low_cost,0,41035388.10478358,2000000,43035388.10478358,1641415.5241913432,817161.2788640594,100000,0.07,15,constant_2024_EUR,12330663.87056704,8798218.278540913,0.0,0.0,12330663.87056704,3090307.1234682146,531730.3204128155,531730.3204128155,-38660374.22622481,0.0,-38660374.22622481,False,,multiple_roots,,,4244701.278968819,False,0.0,True,True,True
recent,310,85,3.6470588235294117,228.64470254086362,2.689937676951337,0.1889157620326909,0.0,causal,energy_only,results\bess_duration_sensitivity\dispatch_310_causal_energy_only_df52ff1f6fb0da939e5d,df52ff1f6fb0da939e5d,reference_cost,0,70924028.97291689,5000000,75924028.97291689,2836961.1589166755,894754.6606145252,100000,0.07,15,constant_2024_EUR,12330663.87056704,8798218.278540913,0.0,0.0,12330663.87056704,3090307.1234682146,-741408.696062983,-741408.696062983,-83502266.48219198,0.0,-83502266.48219198,False,,no_real_irr,,,9168100.010095708,False,0.0,True,True,True
recent,310,85,3.6470588235294117,228.64470254086362,2.689937676951337,0.1889157620326909,15.576104579595365,causal,stack_t4_services4,results\bess_duration_sensitivity\dispatch_310_causal_stack_t4_services4_9eb8070b1928c1b41af5,9eb8070b1928c1b41af5,high_cost,15,107627903.88886221,10000000,117627903.88886221,4305116.155554488,940469.0851955307,100000,0.07,15,constant_2024_EUR,9708307.540299771,7224721.569784103,1384273.2856668066,1978897.5315433377,13071478.357509915,3379714.437801541,13026.72859485913,13026.72859485913,-118788270.5319541,0.0,-118788270.5319541,False,,no_real_irr,,,13042313.581937537,False,0.0,True,True,True
recent,310,85,3.6470588235294117,228.64470254086362,2.689937676951337,0.1889157620326909,15.576104579595365,causal,stack_t4_services4,results\bess_duration_sensitivity\dispatch_310_causal_stack_t4_services4_9eb8070b1928c1b41af5,9eb8070b1928c1b41af5,low_cost,15,41035388.10478358,2000000,43035388.10478358,1641415.5241913432,817161.2788640594,100000,0.07,15,constant_2024_EUR,9708307.540299771,7224721.569784103,1384273.2856668066,1978897.5315433377,13071478.357509915,3379714.437801541,2800035.166289477,2800035.166289477,-18000848.752607826,0.0,-18000848.752607826,False,-0.0070614472576577825,unique,,,1976396.4330921583,False,0.0,True,True,True
recent,310,85,3.6470588235294117,228.64470254086362,2.689937676951337,0.1889157620326909,15.576104579595365,causal,stack_t4_services4,results\bess_duration_sensitivity\dispatch_310_causal_stack_t4_services4_9eb8070b1928c1b41af5,9eb8070b1928c1b41af5,reference_cost,15,70924028.97291689,5000000,75924028.97291689,2836961.1589166755,894754.6606145252,100000,0.07,15,constant_2024_EUR,9708307.540299771,7224721.569784103,1384273.2856668066,1978897.5315433377,13071478.357509915,3379714.437801541,1526896.149813678,1526896.149813678,-62842741.008575015,0.0,-62842741.008575015,False,,multiple_roots,,,6899795.164219048,False,0.0,True,True,True
recent,310,85,3.6470588235294117,228.64470254086362,2.689937676951337,0.1889157620326909,0.0,daily_oracle,energy_only,results\bess_duration_sensitivity\dispatch_310_daily_oracle_energy_only_90a5217bee8ebe449bab,90a5217bee8ebe449bab,high_cost,0,107627903.88886221,10000000,117627903.88886221,4305116.155554488,940469.0851955307,100000,0.07,15,constant_2024_EUR,13976579.020245304,8344106.8470212575,0.0,0.0,13976579.020245304,5181270.927289093,-164314.31346092466,-164314.31346092466,-120403477.49257462,0.0,-120403477.49257462,False,,no_real_irr,,,13219654.62399332,False,0.0,True,True,True
recent,310,85,3.6470588235294117,228.64470254086362,2.689937676951337,0.1889157620326909,0.0,daily_oracle,energy_only,results\bess_duration_sensitivity\dispatch_310_daily_oracle_energy_only_90a5217bee8ebe449bab,90a5217bee8ebe449bab,low_cost,0,41035388.10478358,2000000,43035388.10478358,1641415.5241913432,817161.2788640594,100000,0.07,15,constant_2024_EUR,13976579.020245304,8344106.8470212575,0.0,0.0,13976579.020245304,5181270.927289093,2622694.124233692,2622694.124233692,-19616055.713228367,0.0,-19616055.713228367,False,-0.015467327333249292,unique,,,2153737.475147944,False,0.0,True,True,True
recent,310,85,3.6470588235294117,228.64470254086362,2.689937676951337,0.1889157620326909,0.0,daily_oracle,energy_only,results\bess_duration_sensitivity\dispatch_310_daily_oracle_energy_only_90a5217bee8ebe449bab,90a5217bee8ebe449bab,reference_cost,0,70924028.97291689,5000000,75924028.97291689,2836961.1589166755,894754.6606145252,100000,0.07,15,constant_2024_EUR,13976579.020245304,8344106.8470212575,0.0,0.0,13976579.020245304,5181270.927289093,1349555.1077578934,1349555.1077578934,-64457947.96919555,0.0,-64457947.96919555,False,,multiple_roots,,,7077136.2062748335,False,0.0,True,True,True
recent,310,85,3.6470588235294117,228.64470254086362,2.689937676951337,0.1889157620326909,15.576104579595365,daily_oracle,stack_t4_services4,results\bess_duration_sensitivity\dispatch_310_daily_oracle_stack_t4_services4_2c1f57c526769364b028,2c1f57c526769364b028,high_cost,15,107627903.88886221,10000000,117627903.88886221,4305116.155554488,940469.0851955307,100000,0.07,15,constant_2024_EUR,12067729.769628812,7530352.848989704,1136411.0716077331,1978897.5315433377,15183038.372779883,5169089.768785158,1802402.0595784774,1802402.0595784774,-102490793.89449158,0.0,-102490793.89449158,False,,multiple_roots,,,11252938.250953918,False,0.0,True,True,True
