line,bus0,bus1,rating_mva,label,binding_hours,binding_share_pct,hours_at_or_above_90_pct,mean_loading_pct,p95_loading_pct,max_loading_pct,peak_loading_snapshot,new_rating_mva,added_rating_mva,dispatch_down_after_plus_25_mwh,saved_dispatch_down_plus_25_mwh,saved_mwh_per_added_mva,binding_hours_after_plus_25,max_loading_after_plus_25_pct,unserved_after_plus_25_mwh,constraint_component_recovered_pct
5041-17010-2,Srananagh 220,Cathaleen's Fall,210.0,5041-17010-2: Srananagh 220 ↔ Cathaleen's Fall,52,30.952380952380953,63,61.846874192879675,100.0,100.0,2030-01-14 07:00:00,262.5,52.5,3071.976374164673,588.6138986380734,11.211693307391874,17,100.0,0.0,100.0
1631-5041-1,Corderry,Srananagh 220,210.0,1631-5041-1: Corderry ↔ Srananagh 220,0,0.0,0,38.983561907428445,71.44871899650053,72.53482122984465,2030-01-20 00:00:00,262.5,52.5,3660.5902728027463,0.0,0.0,0,58.027856983875715,0.0,0.0
28710-51911-1,Clogher,Croaghonagh,183.0,28710-51911-1: Clogher ↔ Croaghonagh,0,0.0,0,27.61845453218469,65.89553741566418,68.24954214722572,2030-01-20 00:00:00,228.75,45.75,3660.5902728027463,0.0,0.0,0,54.599633717780584,0.0,0.0
1931-4371-1,Sligo,Glenree,210.0,1931-4371-1: Sligo ↔ Glenree,0,0.0,0,42.517089618195165,61.04976819046997,61.39339341536177,2030-01-19 01:00:00,262.5,52.5,3660.5902728027463,0.0,0.0,0,49.11471473228942,0.0,0.0
4981-5041-1,Sligo,Srananagh 220,123.0,4981-5041-1: Sligo ↔ Srananagh 220,0,0.0,0,28.62898597940593,56.627209862757454,59.88341555570869,2030-01-19 01:00:00,153.75,30.75,3660.5902728027463,0.0,0.0,0,47.90673244456695,0.0,0.0
4981-5041-2,Sligo,Srananagh 220,123.0,4981-5041-2: Sligo ↔ Srananagh 220,0,0.0,0,27.8045910951822,54.9965834007409,58.159024008293024,2030-01-19 01:00:00,153.75,30.75,3660.5902728027463,0.0,0.0,0,46.52721920663442,0.0,0.0
2321-3581-1,Drumkeen,Letterkenny,123.0,2321-3581-1: Drumkeen ↔ Letterkenny,0,0.0,0,35.220981237042324,52.37352682682142,55.59655097222021,2030-01-17 18:00:00,153.75,30.75,3660.590272802747,0.0,0.0,0,48.52059212389352,0.0,0.0
3581-5361-1,Letterkenny,Trillick,123.0,3581-5361-1: Letterkenny ↔ Trillick,0,0.0,0,15.61953093751001,50.70718072563758,62.77757068914387,2030-01-19 17:00:00,153.75,30.75,3660.5902728027463,0.0,0.0,0,50.2220565513151,0.0,0.0
2870-17010-1,Clogher,Cathaleen's Fall,209.0,2870-17010-1: Clogher ↔ Cathaleen's Fall,0,0.0,0,22.38762752398957,44.04852523137912,46.96437972070579,2030-01-14 10:00:00,261.25,52.25,3660.5902728027463,0.0,0.0,0,37.57150377656463,0.0,0.0
1701-28712-2,Cathaleen's Fall,Clogher,210.0,1701-28712-2: Cathaleen's Fall ↔ Clogher,0,0.0,0,22.281019773875325,43.83877034932493,46.740739817273855,2030-01-14 10:00:00,262.5,52.5,3660.5902728027463,0.0,0.0,0,37.39259185381908,0.0,0.0
2321-28710-1,Drumkeen,Clogher,123.0,2321-28710-1: Drumkeen ↔ Clogher,0,0.0,0,20.95120045090293,43.62564324410505,48.5113551617719,2030-01-17 18:00:00,153.75,30.75,3660.5902728027468,0.0,0.0,0,38.80908412941752,0.0,0.0
3581-28019-1,Letterkenny,Clogher,121.0,3581-28019-1: Letterkenny ↔ Clogher,0,0.0,0,20.410092536959162,41.335234941207524,45.91487351463967,2030-01-17 18:00:00,151.25,30.25,3660.5902728027463,0.0,0.0,0,36.73189881171174,0.0,0.0
4991-5361-1,Sorne Hill,Trillick,123.0,4991-5361-1: Sorne Hill ↔ Trillick,0,0.0,0,14.11410767524323,38.629198948134984,46.13280474038522,2030-01-19 17:00:00,153.75,30.75,3660.5902728027463,0.0,0.0,0,36.906243792308175,0.0,0.0
1341-1701-1,Binbane,Cathaleen's Fall,210.0,1341-1701-1: Binbane ↔ Cathaleen's Fall,0,0.0,0,16.978244702510096,35.17487508161843,38.89125837230259,2030-01-20 03:00:00,262.5,52.5,3660.5902728027468,0.0,0.0,0,33.542795084618106,0.0,0.0
1701-5041-1,Cathaleen's Fall,Srananagh 220,191.0,1701-5041-1: Cathaleen's Fall ↔ Srananagh 220,0,0.0,0,15.211344501758678,24.59517105799008,24.59517105799008,2030-01-14 07:00:00,238.75,47.75,3660.5902728027463,0.0,0.0,0,19.676136846392065,0.0,0.0
1341-5191-1,Binbane,Tievebrack,159.0,1341-5191-1: Binbane ↔ Tievebrack,0,0.0,0,10.605956501955822,23.82482145362023,36.140367764834785,2030-01-19 16:00:00,198.75,39.75,3660.5902728027468,0.0,0.0,0,27.87660958506608,0.0,0.0
3591-5191-1,Letterkenny,Tievebrack,159.0,3591-5191-1: Letterkenny ↔ Tievebrack,0,0.0,0,10.284177513681517,19.772964139510986,29.316845077694804,2030-01-20 01:00:00,198.75,39.75,3660.590272802747,0.0,0.0,0,23.453476062155847,0.0,0.0
1571-5191-1,Ardnagappary,Tievebrack,91.0,1571-5191-1: Ardnagappary ↔ Tievebrack,0,0.0,0,6.28787912733319,14.362069830745547,15.024338597269974,2030-01-19 04:00:00,113.75,22.75,3660.5902728027463,0.0,0.0,0,12.019470877815978,0.0,0.0
