line,bus0,bus1,regional_binding_hours,regional_p95_loading_pct,regional_max_loading_pct,present_in_all_island,all_island_binding_hours,all_island_p95_loading_pct,all_island_max_loading_pct
5041-17010-2,Srananagh 220,Cathaleen's Fall,52,100.0,100.0,True,0,37.499933671945165,55.909066904188286
1631-5041-1,Corderry,Srananagh 220,0,71.44871899650053,72.53482122984465,True,0,37.32958928699717,59.16583518398109
28710-51911-1,Clogher,Croaghonagh,0,65.89553741566418,68.24954214722572,True,0,59.904364197334445,67.69992177717683
1931-4371-1,Sligo,Glenree,0,61.04976819046997,61.39339341536177,True,0,41.007393032140946,48.540211333726916
4981-5041-1,Sligo,Srananagh 220,0,56.627209862757454,59.88341555570869,True,0,23.484473299180518,37.6671558572545
4981-5041-2,Sligo,Srananagh 220,0,54.9965834007409,58.159024008293024,True,0,22.808218832450187,36.58249953675765
2321-3581-1,Drumkeen,Letterkenny,0,52.37352682682142,55.59655097222021,True,0,68.73061412988503,71.2579635355351
3581-5361-1,Letterkenny,Trillick,0,50.70718072563758,62.77757068914387,True,0,17.087882185403913,39.69585497061392
2870-17010-1,Clogher,Cathaleen's Fall,0,44.04852523137912,46.96437972070579,True,0,34.349713273611044,42.60864799109976
1701-28712-2,Cathaleen's Fall,Clogher,0,43.83877034932493,46.740739817273855,True,0,34.15619969017078,42.38264840508016
2321-28710-1,Drumkeen,Clogher,0,43.62564324410505,48.5113551617719,True,0,64.42710056439749,70.80279423870451
3581-28019-1,Letterkenny,Clogher,0,41.335234941207524,45.91487351463967,True,0,58.505591393795896,64.28484345024923
4991-5361-1,Sorne Hill,Trillick,0,38.629198948134984,46.13280474038522,True,0,13.470345259591493,31.813791909161548
1341-1701-1,Binbane,Cathaleen's Fall,0,35.17487508161843,38.89125837230259,True,0,19.289957374391854,29.44822009066427
1701-5041-1,Cathaleen's Fall,Srananagh 220,0,24.59517105799008,24.59517105799008,True,0,36.89758675390614,55.00846601210543
1341-5191-1,Binbane,Tievebrack,0,23.82482145362023,36.140367764834785,True,0,25.87401569205352,40.654732893375204
3591-5191-1,Letterkenny,Tievebrack,0,19.772964139510986,29.316845077694804,True,0,41.41464581781528,44.633084652465584
1571-5191-1,Ardnagappary,Tievebrack,0,14.362069830745547,15.024338597269974,True,0,14.139732064240984,15.024338597269976
