trial_key,scenario,scope,target_label,target_lines,site_count,sites,allocations,model,soc_min_pct,soc_max_pct,round_trip_efficiency_pct,state_of_health_pct,power_mw,nameplate_energy_mwh,usable_energy_mwh,nameplate_duration_hours,usable_duration_hours,solve_ok,error,objective,total_dispatch_down_mwh,dispatch_down_saved_mwh,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_loading_pct,target_mean_max_loading_pct,charge_mwh,discharge_mwh,throughput_mwh,equivalent_full_cycles_nameplate,equivalent_full_cycles_usable,simultaneous_charge_discharge_hours,simultaneous_charge_discharge_mwh,observed_physical_soc_min_pct,observed_physical_soc_mean_pct,observed_physical_soc_max_pct,unserved_ok,benchmark_available,benchmark_success,headroom_success,success,effective_success_mode
015db0164a4b8e6db1eb308c,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,theoretical,0.0,100.0,100.0,100.0,50.0,850.0,850.0,17.0,17.0,True,,-4131367.557001304,2213.774867455561,1446.8154053471849,1176.9557502141615,2.458004149570381,1.454963591380385,1.454963591380385,145.49635913803849,0.0,63.0,63.0,100.0,66.32243460924812,2287.348863271888,2287.348863271888,4574.697726543776,2.690998662672809,2.690998662672809,0,0.0,0.0,37.97044573820482,100.0,True,True,True,False,True,benchmark
01d2bdb33e86be92cab0c70e,WP2033,north-west,5041-17010-2,5041-17010-2,1,Trillick,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4161817.02136621,1692.6546723491574,1967.935600453589,1136.542533330241,3.3433386554530387,1.4050043986359133,1.4050043986359133,140.50043986359134,0.0,66.0,66.0,100.0,67.12650592131983,3237.1762878390123,2913.4586590551107,6150.634946894123,3.417019414941179,4.271274268676474,0,0.0,10.0,33.26302002606552,90.0,True,True,True,False,True,benchmark
047c1fe4b2dd999ef7890092,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,50.0,1075.0,860.0,21.5,17.2,True,,-4119108.258477032,2213.774867455561,1446.815405347185,283.5474470668123,2.4580041495703813,0.3505239783534768,0.3505239783534768,35.05239783534768,0.0,63.0,63.0,100.0,66.20810240457173,2455.271280083768,2209.744152075392,4665.01543215916,2.169774619608912,2.71221827451114,0,0.0,10.0,39.91050590892513,90.0,True,True,False,False,False,benchmark
079ec42a55870dace53df111,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,150.0,1800.0,1440.0,12.0,9.6,True,,-4266486.945048028,712.5823641742625,2948.007908628484,2060.4879773916546,5.008389906268849,2.547194307888258,2.547194307888258,254.71943078882583,0.0,73.0,73.0,100.0,70.15825664330882,4813.985667765595,4332.587100989036,9146.572768754631,2.540714657987398,3.175893322484247,0,0.0,10.0,37.48974133060204,90.0,True,True,True,False,True,benchmark
11ef95bdad9d7a872cf40f95,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,480.0,384.0,4.0,3.2,True,,-4096999.555868957,2283.281003947631,1377.3092688551155,864.0341652777715,2.3399197199419066,1.068127031928896,1.068127031928896,106.8127031928896,0.0,66.0,66.0,100.0,65.34037329743798,2323.5967067129664,2091.237036041669,4414.833742754636,4.598785148702746,5.748481435878432,0,0.0,10.0,32.96578405452344,90.0,True,True,True,False,True,benchmark
1374104192e5a537b362340a,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,150.0,150.0,120.0,1.0,0.8,True,,-4004876.740192853,3118.122306232083,542.4679665706635,666.260518947216,0.9216023743676762,0.8236374198996088,0.8236374198996088,82.36374198996089,0.0,62.0,62.0,100.0,63.694792721862136,1002.9971115224768,902.6974003702288,1905.6945118927056,6.352315039642352,7.940393799552941,0,0.0,10.0,27.40986824851804,90.0,True,True,False,False,False,benchmark
16fc70f8aa94c5a24e7fbc6e,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,575.0,460.0,4.791666666666667,3.8333333333333335,True,,-4113750.773090401,2042.9479017748336,1617.6423710279128,998.8769563983004,2.7482231982132768,1.2348209383096418,1.2348209383096418,123.48209383096416,0.0,68.0,68.0,100.0,65.84139085165806,2644.040842943362,2379.636758649025,5023.677601592387,4.36841530573251,5.460519132165638,0,0.0,10.0,33.943250806231184,90.0,True,True,True,False,True,benchmark
171d49536dcc75cdcf363b6b,WP2033,north-west,5041-17010-2,5041-17010-2,1,Drumkeen,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4164090.090035888,1571.631362619613,2088.9589101831334,1211.5638814687554,3.548945947447955,1.4977464835426308,1.4977464835426308,149.7746483542631,0.0,69.0,69.0,100.0,67.04008218936183,3358.199597568557,3022.3796378117013,6380.579235380258,3.5447662418779213,4.430957802347401,0,0.0,10.0,32.69805358362987,90.0,True,True,True,False,True,benchmark
19a5c1455631a636aeefb64c,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,theoretical,0.0,100.0,100.0,100.0,120.0,480.0,480.0,4.0,4.0,True,,-4132340.592140179,2057.5956254522885,1602.994647350458,989.1118072799944,2.723338084709592,1.2227491705911442,1.2227491705911442,122.2749170591144,0.0,69.0,69.0,100.0,66.21166260561822,2622.894239490076,2622.8942394900764,5245.788478980152,5.464362998937658,5.464362998937658,0,0.0,0.0,29.92543018352488,100.0,True,True,True,False,True,benchmark
1dd393ed20a1df7ed181e6f8,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,theoretical,0.0,100.0,100.0,100.0,25.0,850.0,850.0,34.0,34.0,True,,-4064447.950972861,2857.765592668421,802.8246801343253,670.4523992439754,1.3639240969197113,0.8288194611191702,0.8288194611191702,82.88194611191702,0.0,57.0,57.0,100.0,65.06144168821551,1518.7541588576005,1518.7541588576007,3037.508317715201,1.7867695986560006,1.7867695986560006,0,0.0,0.0,43.15777727465846,100.0,True,True,False,False,False,benchmark
