scenario_label,scenario,scope,target_label,target_lines,dlr_mode,nominal_max_uplift_pct,dlr_line_count,dlr_lines,mean_dlr_multiplier,max_dlr_multiplier,dlr_added_capacity_mva_hours,total_dispatch_down_mwh,wind_dispatch_down_mwh,solar_dispatch_down_mwh,wind_dispatch_down_saved_mwh,total_dispatch_down_saved_mwh,wind_constraint_component_mwh,wind_constraint_saved_mwh,wind_constraint_reduction_pct,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_dynamic_loading_pct,target_mean_max_dynamic_loading_pct,target_max_static_equivalent_loading_pct,target_mean_dlr_multiplier,target_max_dlr_multiplier,battery_power_mw,battery_nameplate_energy_mwh,battery_usable_energy_mwh,battery_charge_mwh,battery_discharge_mwh,battery_throughput_mwh,battery_efc_week,battery_max_daily_efc,battery_soc_min_pct,battery_soc_mean_pct,battery_soc_max_pct,simultaneous_charge_discharge_hours,battery_sites,battery_allocations,battery_soc_window,battery_round_trip_efficiency_pct,battery_state_of_health_pct,battery_max_efc_per_day_limit,unserved_ok,target_recovery_ok,target_headroom_ok,battery_cycle_ok,combined_success,battery_scale_vs_q2
wind_proxy_DLR_plus_battery_scale_0.25,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2873.5525383355935,2873.552538335594,0.0,787.0377344671529,787.0377344671533,0.0,588.6138986380738,100.0,1.33710355173092,133.710355173092,0.0,30.0,30.0,100.0,58.556692837876746,121.2195792084242,1.095551488386187,1.2795012677194428,22.5,110.0,70.4,418.9771480898497,377.07943328086463,796.0565813707144,5.653810947235187,1.0,10.0,35.22813225478293,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,1.0,True,True,False,True,False,0.25
wind_proxy_DLR_plus_battery_scale_0.35,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2794.1860457287,2794.1860457287,0.0,866.404227074047,866.404227074047,0.0,588.6138986380738,100.0,1.471939804817249,147.1939804817249,0.0,32.0,32.0,100.0,58.85340323658003,121.2195792084242,1.095551488386187,1.2795012677194428,31.499999999999996,154.0,98.56,574.3840373791402,516.9456336412261,1091.3296710203663,5.5363721135367605,1.0,10.0,33.20038123068194,89.99999999999999,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,1.0,True,True,False,True,False,0.35
wind_proxy_DLR_plus_battery_scale_0.50,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2669.924393715751,2669.924393715751,0.0,990.6658790869956,990.6658790869956,0.0,588.6138986380738,100.0,1.6830487376855745,168.30487376855746,0.0,34.0,34.0,100.0,59.29898233938226,121.2195792084242,1.095551488386187,1.2795012677194428,45.0,220.0,140.8,805.9590548625008,725.3631493762505,1531.3222042387513,5.43793396391602,1.0,10.0,35.551928757144324,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,1.0,True,True,False,True,False,0.5
wind_proxy_DLR_plus_battery_scale_0.65,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2521.7317805731495,2521.7317805731495,0.0,1138.8584922295972,1138.8584922295972,0.0,588.6138986380738,100.0,1.9348141368470408,193.48141368470408,0.0,33.0,33.0,100.0,59.62616569186281,121.2195792084242,1.095551488386187,1.2795012677194428,58.5,286.0,183.04000000000002,1008.0678466434127,907.2610619790714,1915.328908622484,5.231995489025579,1.0,10.0,32.54319993225049,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,1.0,True,True,False,True,False,0.65
wind_proxy_DLR_plus_battery_scale_0.75,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2427.70383865228,2427.70383865228,0.0,1232.8864341504668,1232.8864341504668,0.0,588.6138986380738,100.0,2.09455882201066,209.455882201066,0.0,33.0,33.0,100.0,59.836947901723256,121.2195792084242,1.095551488386187,1.2795012677194428,67.5,330.0,211.20000000000002,1140.73789382744,1026.664104444696,2167.401998272136,5.1311600337882,1.0,10.0,35.47452852407267,90.00000000000001,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,1.0,True,True,False,True,False,0.75
wind_proxy_DLR_plus_battery_scale_0.85,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2326.9046634756814,2326.9046634756814,0.0,1333.6856093270653,1333.6856093270653,0.0,588.6138986380738,100.0,2.265807199614087,226.5807199614087,0.0,35.0,35.0,100.0,59.86694902700869,121.2195792084242,1.095551488386187,1.2795012677194428,76.5,374.0,239.36,1273.4079410114675,1146.0671469103208,2419.475087921788,5.05405056801844,1.0,10.0,33.102691634545124,90.00000000000001,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,1.0,True,True,False,True,False,0.85
wind_proxy_DLR_plus_battery_scale_1.00,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2174.8959921847663,2174.8959921847663,0.0,1485.6942806179804,1485.6942806179804,0.0,588.6138986380738,100.0,2.524055724908224,252.40557249082238,0.0,35.0,35.0,100.0,60.29708000557336,121.2195792084242,1.095551488386187,1.2795012677194428,90.0,440.0,281.6,1472.4130117875088,1325.1717106087576,2797.5847223962664,4.967302419027462,1.0,10.0,35.02959971348929,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,1.0,True,True,False,True,False,1.0
wind_proxy_DLR_plus_battery_scale_1.10,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2085.8462532744247,2085.8462532744247,0.0,1574.744019528322,1574.744019528322,0.0,588.6138986380738,100.0,2.675342908436142,267.5342908436142,0.0,40.0,40.0,100.0,60.475673047912146,121.2195792084242,1.095551488386187,1.2795012677194428,99.00000000000001,484.00000000000006,309.76000000000005,1605.0830589715365,1444.5747530743827,3049.657812045919,4.922613978638169,1.0000000000000002,10.0,32.789882181997946,90.00000000000001,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,1.0,True,True,False,True,False,1.1
wind_proxy_DLR_plus_battery_scale_1.25,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,1952.2716449089123,1952.2716449089123,0.0,1708.3186278938344,1708.3186278938344,0.0,588.6138986380738,100.0,2.9022736837280187,290.2273683728019,0.0,39.0,39.0,100.0,60.7147364093675,121.2195792084242,1.095551488386187,1.2795012677194428,112.5,550.0,352.0,1804.0881297475773,1623.6793167728194,3427.767446520397,4.868987850171018,1.0,10.0,32.68185915401797,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,1.0,True,True,False,True,False,1.25
wind_proxy_DLR_plus_battery_scale_1.50,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,1762.436243968401,1762.4362439684007,0.0,1898.154028834346,1898.1540288343458,0.0,588.6138986380738,100.0,3.224786287286565,322.47862872865653,0.0,43.0,43.0,100.0,61.32283664195355,121.2195792084242,1.095551488386187,1.2795012677194428,135.0,660.0,422.40000000000003,2117.2851014857742,1905.5565913371966,4022.841692822971,4.761886473512039,1.0000000000000002,10.0,33.97550883808263,90.00000000000001,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,1.0,True,True,False,True,False,1.5
