case_id,technology,site_count,sites,allocations,wind_mw,battery_mw,battery_mwh,lifetime_net_renewable_gain_mwh,lifetime_project_revenue_eur,lifetime_energy_purchase_eur,lifetime_fixed_and_variable_om_eur,lifetime_maintenance_capex_eur,initial_capex_eur,lifetime_system_dispatch_cost_saving_eur,system_saving_included_in_project_cashflow,npv_eur,simple_payback_years,discounted_payback_years
NO_BUILD,no_build,0,-,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0
bess_7c9ae7b89d,bess,1,Croaghonagh,1.000000,0.0,45.0,220.0,557711.5129521354,68163962.69527394,75737736.32808216,10076385.447823385,38380000.0,53790000.00000001,81163894.33290258,False,-79495631.54330018,,
bess_5b04fafa56,bess,1,Croaghonagh,1.000000,0.0,62.22,226.92,589022.5268486275,73738887.8584518,81932097.62050201,12949659.341846088,41167680.0,62243060.00000001,85510889.54807578,False,-91041601.41703777,,
bess_f11231f128,bess,1,Croaghonagh,1.000000,0.0,85.0,310.0,782656.320142645,87609532.26061255,97343924.73401394,17366282.373290088,56240000.00000001,84810000.0,105621127.03646548,False,-121923701.47572485,,
bess_82e9b603c3,bess,2,Croaghonagh;Binbane,0.500000;0.500000,0.0,45.0,220.0,559493.6311121703,70527820.03287703,78364244.48097448,10723520.143091979,38380000.0,54395000.00000001,83841992.14607847,False,-80586718.36276588,,
bess_8a20fb4641,bess,2,Croaghonagh;Binbane,0.500000;0.500000,0.0,62.22,226.92,576011.9386140453,73492836.35242479,81658707.05824977,13578151.831088748,41167680.0,62848060.00000001,84711839.28817204,False,-91989229.01605971,,
bess_0ae3808498,bess,2,Croaghonagh;Binbane,0.500000;0.500000,0.0,85.0,310.0,774119.7402509593,91899251.56483915,102110279.51648796,18027173.225463137,56240000.00000001,85415000.0,110157545.52256809,False,-123142750.06105492,,
bess_0132aed50d,bess,3,Croaghonagh;Binbane;Ardnagappary,0.333333;0.333333;0.333333,0.0,45.0,220.0,559410.5512893735,70562076.13713048,78402306.81903386,11354014.829550933,38380000.0,55000000.00000001,82236604.42402871,False,-81532303.28122477,,
bess_37abb9cdca,bess,3,Croaghonagh;Binbane;Ardnagappary,0.333333;0.333333;0.333333,0.0,62.22,226.92,574113.9874709777,71200032.08446641,79111146.76051824,14192024.65774619,41167680.0,63453060.00000001,85730542.55334377,False,-92792329.4696737,,
bess_8b348cc5e2,bess,3,Croaghonagh;Binbane;Ardnagappary,0.333333;0.333333;0.333333,0.0,85.0,310.0,775838.1537600104,93409957.96318477,103788842.18131642,18668213.98545132,56240000.00000001,86020000.0,110712536.08193836,False,-125467606.71689433,,
bess_a87593d507,bess,4,Croaghonagh;Binbane;Ardnagappary;Drumkeen,0.250000;0.250000;0.250000;0.250000,0.0,45.0,220.0,552321.7349404651,71041005.30377676,78934450.33752973,11987685.752169833,38380000.0,55605000.00000001,82477989.64549619,False,-82506822.80749533,,
bess_fbdf9a42ae,bess,4,Croaghonagh;Binbane;Ardnagappary;Drumkeen,0.250000;0.250000;0.250000;0.250000,0.0,62.22,226.92,556455.673037983,71713159.07809873,79681287.86455414,14825939.850557849,41167680.0,64058060.00000001,85343448.22660203,False,-93740682.58257857,,
bess_e6fa1c1762,bess,4,Croaghonagh;Binbane;Ardnagappary;Drumkeen,0.250000;0.250000;0.250000;0.250000,0.0,85.0,310.0,744578.3395931455,95735206.68740526,106372451.87489471,19315072.90491004,56240000.00000001,86625000.0,112501861.4140351,False,-126570571.05677973,,
