initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
55000000.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-55000000.00000001,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-55000000.00000001,-55000000.00000001,-55000000.00000001
0.0,3785343.8978306176,0.0,4205937.664256242,542500.0,27038.170698790127,0.0,0.0,0.0,0.0,0.0,0.0,54076.341397580254,60084.823775089164,0.0,60084.823775089164,54076.341397580254,29894.66710640907,259.0975853715251,45000.0,1,-990131.9371244144,220.0,220.0,216.3399510406088,0.0,0.0,168.0,52.142857142857146,154970.486169368,4381703.455592151,137500.00000000003,0.9345794392523363,-925356.9505835647,-55990131.93712442,-55925356.95058357
0.0,3734649.3789904225,0.0,4149610.4211004684,542500.0,26676.066992788732,0.0,0.0,0.0,0.0,0.0,0.0,53352.133985577464,59280.148872863836,0.0,59280.148872863836,53352.133985577464,29492.3296552962,255.62766882560877,44251.35362194271,2,-984137.1091028345,216.3399510406088,220.0,212.70534813588768,0.0,0.0,168.0,52.142857142857146,155453.29111070314,4329737.550406441,137500.00000000003,0.8734387282732116,-859583.4650212546,-56974269.04622726,-56784940.41560482
0.0,3684307.307757403,0.0,4093674.7863971135,542500.0,26316.480769695732,0.0,0.0,0.0,0.0,0.0,0.0,52632.961539391465,58481.06837710163,0.0,58481.06837710163,52632.961539391465,29092.78940741572,252.18187646139265,43507.9121187043,3,-978183.9594094064,212.70534813588768,220.0,209.0960143751708,0.0,0.0,168.0,52.142857142857146,155932.73940816056,4278132.931990119,137500.00000000003,0.8162978768908519,-798489.4892745856,-57952453.00563667,-57583429.904879406
0.0,3634315.233781526,0.0,4038128.0375350285,542500.0,25959.394527010903,0.0,0.0,0.0,0.0,0.0,0.0,51918.78905402181,57687.543393357555,0.0,57687.543393357555,51918.78905402181,28696.026915542727,248.76004055837538,42769.639304012206,4,-972272.1982805133,209.0960143751708,220.0,205.5117740777427,0.0,0.0,168.0,52.142857142857146,156408.85439840695,4226887.088539936,137500.00000000003,0.7628952120475251,-741741.8048751255,-58924725.20391718,-58325171.709754534
0.0,3584670.7237485284,0.0,3982967.4708316987,542500.0,25604.790883918056,0.0,0.0,0.0,0.0,0.0,0.0,51209.58176783611,56899.53529759571,0.0,56899.53529759571,51209.58176783611,28302.022867661744,245.36199456211224,42036.49924317464,5,-966401.5379670886,205.5117740777427,220.0,201.9524527842872,0.0,0.0,168.0,52.142857142857146,156881.6592558641,4175997.525715621,137500.00000000003,0.7129861794836683,-689030.9404022957,-59891126.74188427,-59014202.65015683
0.0,3453492.9954685722,0.0,3837214.4394095237,542500.0,24667.807110489797,0.0,0.0,0.0,0.0,0.0,0.0,49335.614220979594,54817.34913442177,0.0,54817.34913442177,49335.614220979594,28040.723746007672,236.3831980328624,41308.456251331474,6,-950889.2510514413,201.9524527842872,220.0,198.45897599871287,0.0,0.0,168.0,52.142857142857146,157351.17699383598,4024016.688238214,137500.00000000003,0.6663422238165123,-633617.6581488353,-60842015.99293571,-59647820.308305666
0.0,3424460.576500022,0.0,3804956.196111135,542500.0,24460.43268928587,0.0,0.0,0.0,0.0,0.0,0.0,48920.86537857174,54356.51708730193,0.0,54356.51708730193,48920.86537857174,27625.974903600247,234.39599954963955,40593.88145428218,7,-947456.0523003992,198.45897599871287,220.0,194.98007200201553,0.0,0.0,168.0,52.142857142857146,157812.00904095583,3992695.4701023167,137500.00000000003,0.6227497418845909,-590028.012017067,-61789472.04523611,-60237848.32032273
0.0,3391423.4095408325,0.0,3768248.2328231474,542500.0,24224.452925291658,0.0,0.0,0.0,0.0,0.0,0.0,48448.905850583316,53832.11761175924,0.0,53832.11761175924,48448.905850583316,27219.50513200212,232.13468580439502,39882.287454957725,8,-943549.2762076068,194.98007200201553,220.0,191.5177509727833,0.0,0.0,168.0,52.142857142857146,158270.9187601077,3959540.213498882,137500.00000000003,0.5820091045650382,-549154.2693585791,-62733021.321443714,-60787002.58968131
0.0,3353058.742708307,0.0,3725620.8252314525,542500.0,23950.419590773625,0.0,0.0,0.0,0.0,0.0,0.0,47900.83918154725,53223.15464616362,0.0,53223.15464616362,47900.83918154725,26823.679204365304,229.50871764715922,39174.08542625113,9,-939012.5021139192,191.5177509727833,220.0,188.0746870433708,0.0,0.0,168.0,52.142857142857146,158727.64098430442,3923931.104085678,137500.00000000003,0.5439337425841478,-510760.5846081291,-63672033.82355763,-61297763.17428944
