parameter,value,npv_eur,method
capex_multiplier,0.8,-101061315.41322051,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-123142750.06105492,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-145224184.70888934,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-121232465.52959636,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-123142750.06105492,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-125053034.59251347,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-121508838.01659232,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-123142750.06105492,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-124776662.10551752,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-138285134.22713652,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-123142750.06105492,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-113021198.89029516,fixed_dispatch_and_replacement_schedule_financial_revaluation
