initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
63453060.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-63453060.00000001,226.92,226.92,226.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-63453060.00000001,-63453060.00000001,-63453060.00000001
0.0,4079548.127747995,0.0,4532831.253053328,684172.65,29139.629483914247,0.0,0.0,0.0,0.0,0.0,0.0,58279.25896782849,64754.73218647612,0.0,64754.73218647612,58279.25896782849,31238.408369733235,270.7197818396083,62220.0,1,-1166595.4047892476,226.92,226.92,223.0569155701652,0.0,0.0,168.0,52.142857142857146,153159.75406490482,4712640.169791757,158632.65000000002,0.9345794392523363,-1090276.0792422872,-64619655.404789254,-64543336.0792423
0.0,3858091.8270689943,0.0,4286768.696743327,684172.65,27557.79876477853,0.0,0.0,0.0,0.0,0.0,0.0,55115.59752955706,61239.55281061897,0.0,61239.55281061896,55115.59752955706,31080.338519774876,256.02388917467215,61160.76717246465,2,-1140407.3184391116,223.0569155701652,226.92,219.30499087244797,0.0,0.0,168.0,52.142857142857146,153669.3418524489,4577815.545693921,158632.65000000002,0.8734387282732116,-996075.9179309211,-65760062.723228365,-65539411.99717322
0.0,3752753.6020460944,0.0,4169726.224495662,684172.65,26805.382871757818,0.0,0.0,0.0,0.0,0.0,0.0,53610.765743515636,59567.51749279517,0.0,59567.51749279517,53610.765743515636,30752.61758369502,249.03361956525023,60132.01362631639,3,-1127950.6553213256,219.30499087244797,226.92,215.6059405740564,0.0,0.0,168.0,52.142857142857146,154164.2663203109,4499130.339328074,158632.65000000002,0.8162978768908519,-920743.7251764431,-66888013.37854969,-66460155.722349666
0.0,3711765.8279210557,0.0,4124184.2532456173,684172.65,26512.613056578964,0.0,0.0,0.0,0.0,0.0,0.0,53025.226113157936,58916.91790350881,0.0,58916.91790350881,53025.22611315793,30329.727850658663,246.31366114785874,59117.75789933805,4,-1123103.6883811406,215.6059405740564,226.92,211.92746404113402,0.0,0.0,168.0,52.142857142857146,154652.2160122756,4451490.184402569,158632.65000000002,0.7628952120475251,-856810.4264988878,-68011117.06693083,-67316966.14884855
0.0,3538140.0509327496,0.0,3931266.7232586117,684172.65,25272.428935233922,0.0,0.0,0.0,0.0,0.0,0.0,50544.85787046786,56160.953189408734,0.0,56160.953189408734,50544.857870467844,28011.104862052434,234.79181338528463,58109.1433661174,5,-1102571.751261096,211.92746404113402,226.92,208.33613876468772,0.0,0.0,168.0,52.142857142857146,157246.4354722926,4294339.704076233,158632.65000000002,0.7129861794836683,-786118.4205382662,-69113688.81819193,-68103084.56938681
0.0,3437160.249555311,0.0,3819066.9439503457,684172.65,24551.144639680788,0.0,0.0,0.0,0.0,0.0,0.0,49102.289279361576,54558.09919929067,0.0,54558.09919929066,49102.289279361576,27855.56395953065,228.09076980323528,57124.42514515631,6,-1090630.489034715,208.33613876468772,226.92,204.79550018189605,0.0,0.0,168.0,52.142857142857146,157562.2617738254,4194460.832102775,158632.65000000002,0.6663422238165123,-726733.1454254824,-70204319.30722664,-68829817.7148123
0.0,3397927.7756003165,0.0,3775475.3062225743,684172.65,24270.912682859394,0.0,0.0,0.0,0.0,0.0,0.0,48541.825365718796,53935.361517465346,0.0,53935.361517465346,48541.82536571879,27606.468886801107,225.48729352166302,56153.6048885844,7,-1085991.093305117,204.79550018189605,226.92,201.2745542936982,0.0,0.0,168.0,52.142857142857146,157873.63061473804,4149935.087852273,158632.65000000002,0.6227497418845909,-676300.6730447263,-71290310.40053175,-69506118.38785702
0.0,3358913.5089290324,0.0,3732126.1210322576,684172.65,23992.239349493084,0.0,0.0,0.0,0.0,0.0,0.0,47984.478698986175,53316.08744331798,0.0,53316.08744331796,47984.47869898617,27358.759257142203,222.89829752721874,55188.184241820476,8,-1081377.5014527184,201.2745542936982,226.92,197.77319157120232,0.0,0.0,168.0,52.142857142857146,158183.26765181174,4105656.991550748,158632.65000000002,0.5820091045650382,-629371.5513172749,-72371687.90198447,-70135489.9391743
0.0,3320116.235893329,0.0,3689018.039881477,684172.65,23715.115970666633,0.0,0.0,0.0,0.0,0.0,0.0,47430.23194133327,52700.25771259253,0.0,52700.25771259253,47430.231941333266,27112.42736485178,220.32370128192449,54228.133172749025,9,-1076789.569958815,197.77319157120232,226.92,194.29130309470582,0.0,0.0,168.0,52.142857142857146,158491.18251717443,4061625.165803873,158632.65000000002,0.5439337425841478,-585702.1807632733,-73448477.47194329,-70721192.11993757
0.0,3285625.2319088834,0.0,3650694.702120981,684172.65,23468.751656492022,0.0,0.0,0.0,0.0,0.0,0.0,46937.50331298405,52152.78145887116,0.0,52152.78145887116,46937.503312984045,26860.972718016732,218.03487007275507,53273.42181629031,10,-1072710.8718685894,194.29130309470582,226.92,190.82672733747552,0.0,0.0,168.0,52.142857142857146,158797.38478938126,4017448.671134138,158632.65000000002,0.5083492921347176,-545311.8123796132,-74521188.34381188,-71266503.93231718
0.0,3256832.993944818,0.0,3618703.326605354,684172.65,23263.09281389156,0.0,0.0,0.0,0.0,0.0,0.0,46526.18562778312,51695.76180864791,0.0,51695.76180864791,46526.18562778312,26601.99491622417,216.124210329023,52323.45749575942,11,-1069306.075474427,190.82672733747552,226.92,187.37660381054678,0.0,0.0,168.0,52.142857142857146,159102.0645561967,3972965.4251791155,158632.65000000002,0.4750927963875865,-508019.6135913812,-75590494.41928631,-71774523.54590857
0.0,3228160.860744833,0.0,3586845.400827593,684172.65,23058.29186246309,0.0,0.0,6222000.0,0.0,0.0,0.0,46116.58372492618,51240.648583251335,0.0,51240.64858325133,46116.58372492618,26344.097421832757,214.22152076593625,51377.455883537026,12,-7287915.481945223,187.37660381054678,226.92,183.94087222747322,0.0,0.0,168.0,52.142857142857146,159405.4733731278,3928667.7379071503,158632.65000000002,0.444011959240735,-3235921.631919384,-82878409.90123153,-75010445.17782795
0.0,3199608.3313004826,0.0,3555120.3681116463,684172.65,22854.345223574877,34945680.0,0.0,0.0,0.0,0.0,0.0,45708.69044714976,50787.433830166374,0.0,50787.43383016637,45708.690447149755,26087.27572841805,212.32676813645557,50435.40044946847,13,-36008219.03203474,183.94087222747322,226.92,180.5194725532891,226.92,0.0,168.0,52.142857142857146,159707.61654185114,3884554.8352735466,158632.65000000002,0.41496444788853737,-14942130.73007782,-118886628.93326627,-89952575.90790577
0.0,4079548.127747995,0.0,4532831.253053328,684172.65,29139.629483914247,0.0,0.0,0.0,0.0,0.0,0.0,58279.25896782849,64754.73218647612,0.0,64754.73218647612,58279.25896782849,31238.408369733235,270.7197818396083,62220.0,14,-1166595.4047892476,226.92,226.92,223.0569155701652,0.0,0.0,168.0,52.142857142857146,153159.75406490482,4712640.169791757,158632.65000000002,0.3878172410173246,-452425.811268855,-120053224.33805552,-90405001.71917462
0.0,3858091.8270689943,0.0,4286768.696743327,684172.65,27557.79876477853,0.0,0.0,0.0,0.0,0.0,0.0,55115.59752955706,61239.55281061897,0.0,61239.55281061896,55115.59752955706,31080.338519774876,256.02388917467215,61160.76717246465,15,-1140407.3184391116,223.0569155701652,226.92,219.30499087244797,0.0,0.0,168.0,52.142857142857146,153669.3418524489,4577815.545693921,158632.65000000002,0.36244601964235945,-413336.0933392727,-121193631.65649463,-90818337.8125139
0.0,3752753.6020460944,0.0,4169726.224495662,684172.65,26805.382871757818,0.0,0.0,0.0,0.0,0.0,0.0,53610.765743515636,59567.51749279517,0.0,59567.51749279517,53610.765743515636,30752.61758369502,249.03361956525023,60132.01362631639,16,-1127950.6553213256,219.30499087244797,226.92,215.6059405740564,0.0,0.0,168.0,52.142857142857146,154164.2663203109,4499130.339328074,158632.65000000002,0.3387345977965976,-382075.9115646779,-122321582.31181596,-91200413.72407858
