parameter,value,npv_eur,method
capex_multiplier,0.8,-76247244.8093931,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-92792329.4696737,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-109337414.12995434,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-91288348.21253474,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-92792329.4696737,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-94296310.72681268,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-91524062.53872979,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-92792329.4696737,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-94060596.40061761,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-103951399.10821672,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-92792329.4696737,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-85204682.6823611,fixed_dispatch_and_replacement_schedule_financial_revaluation
