initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
53790000.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-53790000.00000001,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-53790000.00000001,-53790000.00000001,-53790000.00000001
0.0,3767315.195728144,0.0,4185905.7730312734,479475.0,26909.394255201034,0.0,0.0,0.0,0.0,0.0,0.0,53818.78851040207,59798.65390044676,0.0,59798.65390044676,53818.78851040207,29923.28409387254,257.86356455116834,45000.0,1,-924974.9715583301,220.0,220.0,216.34900052662476,0.0,0.0,168.0,52.142857142857146,154970.48616936806,4427962.770337381,134475.00000000003,0.9345794392523363,-864462.5902414299,-54714974.97155834,-54654462.59024144
0.0,3508287.4493909236,0.0,3898097.165989915,479475.0,25059.19606707802,0.0,0.0,0.0,0.0,0.0,0.0,50118.39213415604,55687.102371284505,0.0,55687.102371284505,50118.39213415604,29852.828042645146,240.133745165758,44253.20465317325,2,-894343.9126660693,216.34900052662476,220.0,212.82801972874253,0.0,0.0,168.0,52.142857142857146,155452.0973735119,4230572.759860848,134475.00000000003,0.8734387282732116,-781154.6097179397,-55609318.88422441,-55435617.19995938
0.0,3488780.1226447914,0.0,3876422.358494214,479475.0,24919.85801889137,0.0,0.0,0.0,0.0,0.0,0.0,49839.71603778274,55377.46226420305,0.0,55377.46226420305,49839.71603778274,29419.33189273089,238.7985160839637,43533.00403542461,3,-892037.0938683134,212.82801972874253,220.0,209.31683061079346,0.0,0.0,168.0,52.142857142857146,155916.55753413407,4198076.030622639,134475.00000000003,0.8162978768908519,-728167.9858325897,-56501355.97809272,-56163785.18579197
0.0,3469327.0448454204,0.0,3854807.8276060238,479475.0,24780.907463181575,0.0,0.0,0.0,0.0,0.0,0.0,49561.81492636315,55068.68325151462,0.0,55068.68325151462,49561.81492636315,28987.04127496778,237.4670002106635,42814.80626129866,4,-889736.6902237847,209.31683061079346,220.0,205.81540594258195,0.0,0.0,168.0,52.142857142857146,156379.72605316667,4165669.673241014,134475.00000000003,0.7628952120475251,-678775.8609547373,-57391092.668316506,-56842561.04674671
0.0,3372537.441879368,0.0,3747263.8243104103,479475.0,24089.553156281203,0.0,0.0,0.0,0.0,0.0,0.0,48179.106312562406,53532.34034729157,0.0,53532.34034729157,48179.106312562406,28678.7950959529,230.84198724105067,42098.605760982675,5,-878290.9355873237,205.81540594258195,220.0,202.36256470281424,0.0,0.0,168.0,52.142857142857146,156841.60652260354,4016182.4066654486,134475.00000000003,0.7129861794836683,-626209.2986395425,-58269383.60390383,-57468770.34538625
0.0,3295146.8186296634,0.0,3661274.2429218492,479475.0,23536.762990211882,0.0,0.0,0.0,0.0,0.0,0.0,47073.525980423765,52303.91775602641,0.0,52303.91775602641,47073.525980423765,27269.566947313786,225.54478726249982,41392.3427801211,6,-869139.1872823979,202.36256470281424,220.0,198.94856959622257,0.0,0.0,168.0,52.142857142857146,158373.67693036914,3960937.0090728533,134475.00000000003,0.6663422238165123,-579144.1388598292,-59138522.79118623,-58047914.48424608
0.0,3295146.8186296634,0.0,3661274.2429218497,479475.0,23536.762990211882,0.0,0.0,0.0,0.0,0.0,0.0,47073.525980423765,52303.917756026414,0.0,52303.917756026414,47073.525980423765,26969.33531554372,225.54478726249982,40694.025599227345,7,-869139.1872823983,198.94856959622257,220.0,195.53457448963087,0.0,0.0,168.0,52.142857142857146,158673.90856213955,3942923.1111666253,134475.00000000003,0.6227497418845909,-541256.2045418967,-60007661.97846863,-58589170.68878798
0.0,3295146.8186296634,0.0,3661274.2429218497,479475.0,23536.762990211882,0.0,0.0,0.0,0.0,0.0,0.0,47073.525980423765,52303.917756026414,0.0,52303.917756026414,47073.525980423765,26669.103683772886,225.54478726249982,39995.70841833358,8,-869139.1872823983,195.53457448963087,220.0,192.1205793830392,0.0,0.0,168.0,52.142857142857146,158974.14019391002,3924909.2132603973,134475.00000000003,0.5820091045650382,-505846.9201326137,-60876801.165751025,-59095017.6089206
0.0,3295146.8186296634,0.0,3661274.2429218492,479475.0,23536.762990211882,0.0,0.0,0.0,0.0,0.0,0.0,47073.525980423765,52303.917756026414,0.0,52303.917756026414,47073.525980423765,26368.872052002826,225.54478726249982,39297.39123743984,9,-869139.1872823979,192.1205793830392,220.0,188.70658427644753,0.0,0.0,168.0,52.142857142857146,159274.3718256805,3906895.315354169,134475.00000000003,0.5439337425841478,-472754.1309650593,-61745940.35303342,-59567771.73988566
0.0,3295146.8186296634,0.0,3661274.2429218483,479475.0,23536.762990211882,0.0,0.0,0.0,0.0,0.0,0.0,47073.525980423765,52303.91775602641,0.0,52303.91775602641,47073.525980423765,26068.64042023201,225.54478726249982,38599.07405654609,10,-869139.187282397,188.70658427644753,220.0,185.29258916985586,0.0,0.0,168.0,52.142857142857146,159574.60345745095,3888881.417447941,134475.00000000003,0.5083492921347176,-441826.29062155023,-62615079.54031582,-60009598.03050721
0.0,3295146.8186296634,0.0,3661274.2429218492,479475.0,23536.762990211882,0.0,0.0,0.0,0.0,0.0,0.0,47073.525980423765,52303.917756026414,0.0,52303.917756026414,47073.525980423765,25768.408788461937,225.54478726249982,37900.75687565234,11,-869139.1872823979,185.29258916985586,220.0,181.8785940632642,0.0,0.0,168.0,52.142857142857146,159874.83508922142,3870867.5195417125,134475.00000000003,0.4750927963875865,-412921.76693602867,-63484218.72759822,-60422519.79744323
0.0,3295146.8186296634,0.0,3661274.2429218492,479475.0,23536.762990211882,0.0,0.0,4500000.0,0.0,0.0,0.0,47073.525980423765,52303.917756026414,0.0,52303.917756026414,47073.525980423765,25468.177156691116,225.54478726249982,37202.439694758585,12,-5369139.187282398,181.8785940632642,220.0,178.46459895667252,0.0,0.0,168.0,52.142857142857146,160175.06672099186,3852853.6216354845,134475.00000000003,0.444011959240735,-2383962.009981465,-68853357.91488062,-62806481.8074247
0.0,3295146.8186296634,0.0,3661274.2429218492,479475.0,23536.762990211882,33880000.0,0.0,0.0,0.0,0.0,0.0,47073.525980423765,52303.91775602642,0.0,52303.91775602642,47073.525980423765,25167.94552492105,225.54478726249982,36504.12251386484,13,-34749139.1872824,178.46459895667252,220.0,175.05060385008085,220.0,0.0,168.0,52.142857142857146,160475.2983527623,3834839.723729256,134475.00000000003,0.41496444788853737,-14419657.357452579,-103602497.10216302,-77226139.16487728
0.0,3767315.195728144,0.0,4185905.7730312734,479475.0,26909.394255201034,0.0,0.0,0.0,0.0,0.0,0.0,53818.78851040207,59798.65390044676,0.0,59798.65390044676,53818.78851040207,29923.28409387254,257.86356455116834,45000.0,14,-924974.9715583301,220.0,220.0,216.34900052662476,0.0,0.0,168.0,52.142857142857146,154970.48616936806,4427962.770337381,134475.00000000003,0.3878172410173246,-358721.2414798299,-104527472.07372135,-77584860.40635711
0.0,3508287.4493909236,0.0,3898097.165989915,479475.0,25059.19606707802,0.0,0.0,0.0,0.0,0.0,0.0,50118.39213415604,55687.102371284505,0.0,55687.102371284505,50118.39213415604,29852.828042645146,240.133745165758,44253.20465317325,15,-894343.9126660693,216.34900052662476,220.0,212.82801972874253,0.0,0.0,168.0,52.142857142857146,155452.0973735119,4230572.759860848,134475.00000000003,0.36244601964235945,-324151.39133719075,-105421815.98638742,-77909011.7976943
0.0,3488780.1226447914,0.0,3876422.358494214,479475.0,24919.85801889137,0.0,0.0,0.0,0.0,0.0,0.0,49839.71603778274,55377.46226420305,0.0,55377.46226420305,49839.71603778274,29419.33189273089,238.7985160839637,43533.00403542461,16,-892037.0938683134,212.82801972874253,220.0,209.31683061079346,0.0,0.0,168.0,52.142857142857146,155916.55753413407,4198076.030622639,134475.00000000003,0.3387345977965976,-302163.8262111289,-106313853.08025573,-78211175.62390542
0.0,3469327.0448454204,0.0,3854807.8276060238,479475.0,24780.907463181575,0.0,0.0,0.0,0.0,0.0,0.0,49561.81492636315,55068.68325151462,0.0,55068.68325151462,49561.81492636315,28987.04127496778,237.4670002106635,42814.80626129866,17,-889736.6902237847,209.31683061079346,220.0,205.81540594258195,0.0,0.0,168.0,52.142857142857146,156379.72605316667,4165669.673241014,134475.00000000003,0.31657439046410984,-281667.85038114915,-107203589.77047952,-78492843.47428657
0.0,3372537.441879368,0.0,3747263.8243104103,479475.0,24089.553156281203,0.0,0.0,0.0,0.0,0.0,0.0,48179.106312562406,53532.34034729157,0.0,53532.34034729157,48179.106312562406,28678.7950959529,230.84198724105067,42098.605760982675,18,-878290.9355873237,205.81540594258195,220.0,202.36256470281424,0.0,0.0,168.0,52.142857142857146,156841.60652260354,4016182.4066654486,134475.00000000003,0.295863916321598,-259854.59587262594,-108081880.70606683,-78752698.0701592
0.0,3295146.8186296634,0.0,3661274.2429218492,479475.0,23536.762990211882,0.0,0.0,0.0,0.0,0.0,0.0,47073.525980423765,52303.91775602641,0.0,52303.91775602641,47073.525980423765,27269.566947313786,225.54478726249982,41392.3427801211,19,-869139.1872823979,202.36256470281424,220.0,198.94856959622257,0.0,0.0,168.0,52.142857142857146,158373.67693036914,3960937.0090728533,134475.00000000003,0.2765083330108392,-240324.2278298514,-108951019.89334923,-78993022.29798906
0.0,3295146.8186296634,0.0,3661274.2429218497,479475.0,23536.762990211882,0.0,0.0,0.0,0.0,1613700.0000000002,537900.0000000001,47073.525980423765,52303.917756026414,0.0,52303.917756026414,47073.525980423765,26969.33531554372,225.54478726249982,40694.025599227345,20,-1944939.1872823983,198.94856959622257,220.0,195.53457448963087,0.0,0.0,168.0,52.142857142857146,158673.90856213955,3942923.1111666253,134475.00000000003,0.2584190028138684,-502609.24531113304,-110895959.08063163,-79495631.54330018
