parameter,value,npv_eur,method
capex_multiplier,0.8,-65185694.23531219,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-79495631.54330018,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-93805568.85128815,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-78427880.8414574,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-79495631.54330018,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-80563382.24514297,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-78286085.07535656,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-79495631.54330018,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-80705178.01124382,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-89447035.7396767,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-79495631.54330018,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-72737036.60948405,fixed_dispatch_and_replacement_schedule_financial_revaluation
