initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
62848060.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-62848060.00000001,226.92,226.92,226.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-62848060.00000001,-62848060.00000001,-62848060.00000001
0.0,3965075.2959057614,0.0,4405639.217673068,652660.15,28321.966399326873,0.0,0.0,0.0,0.0,0.0,0.0,56643.93279865375,62937.70310961524,0.0,62937.70310961524,56643.93279865375,31420.1112774186,263.123337554001,62220.0,1,-1121546.0381666338,226.92,226.92,223.11437507474153,0.0,0.0,168.0,52.142857142857146,153159.75406490493,4577695.3960513,157120.15000000002,0.9345794392523363,-1048173.867445452,-63969606.03816664,-63896233.86744546
0.0,3932200.708029847,0.0,4369111.897810942,652660.15,28087.14791449891,0.0,0.0,0.0,0.0,0.0,0.0,56174.29582899782,62415.884254442026,0.0,62415.884254442026,56174.29582899782,30970.28498239884,260.9417721013714,61176.522197913,2,-1117658.487695593,223.11437507474153,226.92,219.32525151056674,0.0,0.0,168.0,52.142857142857146,153661.76224544275,4536957.154975231,157120.15000000002,0.8734387282732116,-976206.2081365995,-65087264.52586223,-64872440.07558206
0.0,3890214.8661915264,0.0,4322460.96243503,652660.15,27787.249044225195,0.0,0.0,0.0,0.0,0.0,0.0,55574.49808845039,61749.44232050043,0.0,61749.44232050043,55574.49808845039,30537.09772533656,258.1555816736838,60137.568962574755,3,-1112693.495287729,219.32525151056674,226.92,215.55720269078702,0.0,0.0,168.0,52.142857142857146,154161.59369589892,4491988.985482538,157120.15000000002,0.8162978768908519,-908289.3378336342,-66199958.02114996,-65780729.41341569
0.0,3845248.9313915623,0.0,4272498.81265729,652660.15,27466.06379565402,0.0,0.0,0.0,0.0,0.0,0.0,54932.12759130804,61035.697323675595,0.0,61035.697323675595,54932.12759130804,30111.420789487027,255.17163156988144,59104.394286183546,4,-1107376.0950613823,215.55720269078702,226.92,211.81172446959243,0.0,0.0,168.0,52.142857142857146,154658.64513143068,4444567.407945061,157120.15000000002,0.7628952120475251,-844811.9208582136,-67307334.11621134,-66625541.334273905
0.0,3793371.150969337,0.0,4214856.834410375,652660.15,27095.50822120955,0.0,0.0,0.0,0.0,0.0,0.0,54191.0164424191,60212.24049157678,0.0,60212.24049157678,54191.0164424191,29699.69237343857,251.72900975039556,58077.4083223076,5,-1101241.3416622472,211.81172446959243,226.92,208.09228623984043,0.0,0.0,168.0,52.142857142857146,155152.71923068995,4391388.565728104,157120.15000000002,0.7129861794836683,-785169.8568812347,-68408575.45787358,-67410711.19115514
0.0,3741854.044639571,0.0,4157615.6051550796,652660.15,26727.528890282654,0.0,0.0,0.0,0.0,0.0,0.0,53455.05778056531,59394.50864507256,0.0,59394.50864507256,53455.05778056531,29290.826450185657,248.31032234927375,57057.562356085284,6,-1095149.2394057908,208.09228623984043,226.92,204.39870696159053,0.0,0.0,168.0,52.142857142857146,155643.3583385925,4333734.721170932,157120.15000000002,0.6663422238165123,-729744.1795966167,-69503724.69727938,-68140455.37075175
0.0,3690695.104858574,0.0,4100772.33873175,652660.15,26362.10789184696,0.0,0.0,0.0,0.0,0.0,0.0,52724.21578369392,58582.46198188213,0.0,58582.46198188213,52724.21578369392,28884.803118591022,244.91540296532165,56044.806747532886,7,-1089099.4917650227,204.39870696159053,226.92,200.73080685356084,0.0,0.0,168.0,52.142857142857146,156130.58633650676,4272668.812099023,157120.15000000002,0.6227497418845909,-678236.427383307,-70592824.1890444,-68818691.79813506
0.0,3639891.841516056,0.0,4044324.2683511726,652660.15,25999.2274394004,0.0,0.0,0.0,0.0,0.0,0.0,51998.4548788008,57776.06097644532,0.0,57776.06097644532,51998.4548788008,28481.602615872165,241.5440863542295,55039.09220178281,8,-1083091.804274517,200.73080685356084,226.92,197.08840738437743,0.0,0.0,168.0,52.142857142857146,156614.42693976886,4212027.4564901935,157120.15000000002,0.5820091045650382,-630369.2911675433,-71675915.99331892,-69449061.0893026
0.0,3497682.2992651085,0.0,3886313.6658501187,652660.15,24983.444994750775,0.0,0.0,0.0,0.0,0.0,0.0,49966.88998950155,55518.76665500171,0.0,55518.76665500171,49966.88998950155,26770.355565952144,232.10702738394116,54040.36976668413,9,-1066274.961579761,197.08840738437743,226.92,193.5173898292453,0.0,0.0,168.0,52.142857142857146,158551.4034218338,3892456.9569375156,157120.15000000002,0.5439337425841478,-579982.9304758478,-72742190.95489867,-70029044.01977845
0.0,3376245.997842693,0.0,3751384.442047436,652660.15,24116.04284173352,0.0,0.0,0.0,0.0,0.0,0.0,48232.08568346704,53591.206314963376,0.0,53591.206314963376,48232.08568346704,26649.071188594822,224.0484856045522,53061.219791889846,10,-1051914.6370464768,193.5173898292453,226.92,190.00732708413247,0.0,0.0,168.0,52.142857142857146,158865.4438331947,3773024.036290631,157120.15000000002,0.5083492921347176,-534740.0611287248,-73794105.59194514,-70563784.08090717
0.0,3347075.741826447,0.0,3718973.04647383,652660.15,23907.68387018891,0.0,0.0,0.0,0.0,0.0,0.0,47815.36774037782,53128.18637819756,0.0,53128.18637819756,47815.36774037782,26386.693224427283,222.1127404931732,52098.783232746,11,-1048465.1385175721,190.00732708413247,226.92,186.5119063150421,0.0,0.0,168.0,52.142857142857146,159174.12379103858,3731506.581960658,157120.15000000002,0.4750927963875865,-498118.2345732115,-74842570.73046272,-71061902.31548038
0.0,2966463.7602284662,0.0,3296070.8446982945,652660.15,21189.026858774756,0.0,0.0,6222000.0,0.0,0.0,0.0,42378.05371754951,47086.72635283278,0.0,47086.72635283278,42378.05371754951,23078.637381706136,196.85523907459657,51140.36140896316,12,-7225456.261328602,186.5119063150421,226.92,183.20753328668184,0.0,0.0,168.0,52.142857142857146,163086.3256362964,3519773.9154954976,157120.15000000002,0.444011959240735,-3208188.9910007487,-82068026.99179132,-74270091.30648112
0.0,2948156.507773667,0.0,3275729.4530818523,652660.15,21058.26076981191,34945680.0,0.0,0.0,0.0,0.0,0.0,42116.52153962382,46796.13504402646,0.0,46796.13504402646,42116.52153962382,22817.105203780186,195.64036545736056,50234.32364312244,13,-35946971.356078,183.20753328668184,226.92,179.91234956236238,226.92,0.0,168.0,52.142857142857146,163376.9169451027,3485048.2540931576,157120.15000000002,0.41496444788853737,-14916715.122039974,-118014998.34786932,-89186806.4285211
0.0,3965075.2959057614,0.0,4405639.217673068,652660.15,28321.966399326873,0.0,0.0,0.0,0.0,0.0,0.0,56643.93279865375,62937.70310961524,0.0,62937.70310961524,56643.93279865375,31420.1112774186,263.123337554001,62220.0,14,-1121546.0381666338,226.92,226.92,223.11437507474153,0.0,0.0,168.0,52.142857142857146,153159.75406490493,4577695.3960513,157120.15000000002,0.3878172410173246,-434954.890195695,-119136544.38603595,-89621761.3187168
0.0,3932200.708029847,0.0,4369111.897810942,652660.15,28087.14791449891,0.0,0.0,0.0,0.0,0.0,0.0,56174.29582899782,62415.884254442026,0.0,62415.884254442026,56174.29582899782,30970.28498239884,260.9417721013714,61176.522197913,15,-1117658.487695593,223.11437507474153,226.92,219.32525151056674,0.0,0.0,168.0,52.142857142857146,153661.76224544275,4536957.154975231,157120.15000000002,0.36244601964235945,-405090.87018476665,-120254202.87373154,-90026852.18890156
0.0,3890214.8661915264,0.0,4322460.96243503,652660.15,27787.249044225195,0.0,0.0,0.0,0.0,0.0,0.0,55574.49808845039,61749.44232050043,0.0,61749.44232050043,55574.49808845039,30537.09772533656,258.1555816736838,60137.568962574755,16,-1112693.495287729,219.32525151056674,226.92,215.55720269078702,0.0,0.0,168.0,52.142857142857146,154161.59369589892,4491988.985482538,157120.15000000002,0.3387345977965976,-376907.7835971792,-121366896.36901927,-90403759.97249874
0.0,3845248.9313915623,0.0,4272498.81265729,652660.15,27466.06379565402,0.0,0.0,0.0,0.0,0.0,0.0,54932.12759130804,61035.697323675595,0.0,61035.697323675595,54932.12759130804,30111.420789487027,255.17163156988144,59104.394286183546,17,-1107376.0950613823,215.55720269078702,226.92,211.81172446959243,0.0,0.0,168.0,52.142857142857146,154658.64513143068,4444567.407945061,157120.15000000002,0.31657439046410984,-350566.91230858327,-122474272.46408065,-90754326.88480733
0.0,3793371.150969337,0.0,4214856.834410375,652660.15,27095.50822120955,0.0,0.0,0.0,0.0,0.0,0.0,54191.0164424191,60212.24049157678,0.0,60212.24049157678,54191.0164424191,29699.69237343857,251.72900975039556,58077.4083223076,18,-1101241.3416622472,211.81172446959243,226.92,208.09228623984043,0.0,0.0,168.0,52.142857142857146,155152.71923068995,4391388.565728104,157120.15000000002,0.295863916321598,-325817.5761594434,-123575513.80574289,-91080144.46096678
0.0,3741854.044639571,0.0,4157615.6051550796,652660.15,26727.528890282654,0.0,0.0,0.0,0.0,0.0,0.0,53455.05778056531,59394.50864507256,0.0,59394.50864507256,53455.05778056531,29290.826450185657,248.31032234927375,57057.562356085284,19,-1095149.2394057908,208.09228623984043,226.92,204.39870696159053,0.0,0.0,168.0,52.142857142857146,155643.3583385925,4333734.721170932,157120.15000000002,0.2765083330108392,-302817.8905861837,-124670663.04514869,-91382962.35155296
0.0,3690695.104858574,0.0,4100772.33873175,652660.15,26362.10789184696,0.0,0.0,0.0,0.0,1885441.8,628480.6000000001,52724.21578369392,58582.46198188213,0.0,58582.46198188213,52724.21578369392,28884.803118591022,244.91540296532165,56044.806747532886,20,-2346060.6917650225,204.39870696159053,226.92,200.73080685356084,0.0,0.0,168.0,52.142857142857146,156130.58633650676,4272668.812099023,157120.15000000002,0.2584190028138684,-606266.6645067314,-127016723.73691371,-91989229.0160597
