initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
86020000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-86020000.0,310.0,310.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-86020000.0,-86020000.0,-86020000.0
0.0,5027373.914273295,0.0,5585971.0158592155,900050.0,35909.813673380675,0.0,0.0,0.0,0.0,0.0,0.0,71819.62734676135,79799.58594084594,0.0,79799.58594084594,71819.62734676135,41411.81570325296,244.2081753981521,85000.0,1,-1494556.9152593017,310.0,310.0,304.99651552088574,0.0,0.0,168.0,52.142857142857146,141481.86135594905,5931807.351311452,215050.0,0.9345794392523363,-1396782.1637937396,-87514556.9152593,-87416782.16379374
0.0,4971932.199474971,0.0,5524369.110527745,900050.0,35513.80142482121,0.0,0.0,0.0,0.0,0.0,0.0,71027.60284964243,78919.55872182493,0.0,78919.55872182493,71027.60284964243,40839.79801088868,241.5150556416518,83628.0768363719,2,-1488000.7124775955,304.99651552088574,310.0,300.02085994592204,0.0,0.0,168.0,52.142857142857146,142141.88177021482,5836506.566437586,215050.0,0.8734387282732116,-1299677.4499760638,-89002557.6277369,-88716459.6137698
0.0,4812144.600392631,0.0,5346827.3337695915,900050.0,34372.461431375945,0.0,0.0,0.0,0.0,0.0,0.0,68744.92286275189,76383.24762527988,0.0,76383.24762527988,68744.92286275189,40437.079676962334,233.75326217083736,82263.78417872055,3,-1469105.194808336,300.02085994592204,310.0,295.1254095701567,0.0,0.0,168.0,52.142857142857146,142798.2312137955,5727621.639676976,215050.0,0.8162978768908519,-1199227.451451366,-90471662.82254523,-89915687.06522116
0.0,4771461.12800322,0.0,5301623.475559133,900050.0,34081.865200023,0.0,0.0,0.0,0.0,0.0,0.0,68163.730400046,75737.47822227333,0.0,75737.47822227333,68163.730400046,39855.8872142559,231.77703427721042,80921.48326923652,4,-1464294.2127559362,295.1254095701567,310.0,290.2503802159589,0.0,0.0,168.0,52.142857142857146,143444.000616802,5675981.613083229,215050.0,0.7628952120475251,-1117103.0439404037,-91935957.03530116,-91032790.10916157
0.0,4737357.303727812,0.0,5263730.337475348,900050.0,33838.26645519866,0.0,0.0,0.0,0.0,0.0,0.0,67676.53291039732,75196.14767821926,0.0,75196.14767821926,67676.53291039732,39266.94464659372,230.12041735505332,79584.78167211777,5,-1460261.3002027348,290.2503802159589,310.0,285.39246923662336,0.0,0.0,168.0,52.142857142857146,144087.0762388703,5624546.824664014,215050.0,0.7129861794836683,-1041146.1254794018,-93396218.3355039,-92073936.23464097
0.0,4604492.860153275,0.0,5116103.177948083,900050.0,32889.23471538054,0.0,0.0,0.0,0.0,0.0,0.0,65778.46943076108,73087.18825640118,0.0,73087.18825640118,65778.46943076108,38837.02308840505,223.6664348397467,78252.7738229451,6,-1444549.552510189,285.39246923662336,310.0,280.601249409946,0.0,0.0,168.0,52.142857142857146,144727.89373924045,5522828.991987283,215050.0,0.6663422238165123,-962564.361232787,-94840767.8880141,-93036500.59587376
0.0,4577948.014828429,0.0,5086608.905364921,900050.0,32699.628677345918,0.0,0.0,0.0,0.0,0.0,0.0,65399.257354691836,72665.84150521315,0.0,72665.84150521315,65399.257354691836,38247.137636741514,222.37700056381135,76939.05225756584,7,-1441410.5192138385,280.601249409946,310.0,275.82335373745326,0.0,0.0,168.0,52.142857142857146,145359.91386602257,5472267.381844709,215050.0,0.6227497418845909,-897638.028790152,-96282178.40722793,-93934138.6246639
0.0,4551476.98945439,0.0,5057196.654949322,900050.0,32510.54992467421,0.0,0.0,0.0,0.0,0.0,0.0,65021.09984934842,72245.66649927605,0.0,72245.66649927605,65021.09984934842,37658.89262842981,221.0911521431958,75628.9840893017,8,-1438280.2154196072,275.82335373745326,310.0,271.0587451653069,0.0,0.0,168.0,52.142857142857146,145990.17637492824,5421846.38113224,215050.0,0.5820091045650382,-837092.1802899758,-97720458.62264754,-94771230.80495387
0.0,4525079.578741392,0.0,5027866.198601548,900050.0,32321.996991009943,0.0,0.0,0.0,0.0,0.0,0.0,64643.993982019885,71826.6599800221,0.0,71826.6599800221,64643.993982019885,37072.28350147408,219.80887960580716,74322.55915822931,9,-1435158.616851166,271.0587451653069,310.0,266.3073867427135,0.0,0.0,168.0,52.142857142857146,146618.68615380916,5371565.59882175,215050.0,0.5439337425841478,-780631.1976657438,-99155617.2394987,-95551862.00261962
0.0,4370765.667709249,0.0,4856406.297454723,900050.0,31219.75476935178,0.0,0.0,0.0,0.0,0.0,0.0,62439.50953870356,69377.23282078175,0.0,69377.23282078175,62439.50953870356,36690.46429428365,212.31297432915346,73019.7673326795,10,-1416910.3845148254,266.3073867427135,310.0,261.63348600797895,0.0,0.0,168.0,52.142857142857146,147245.44807692405,5146771.850480108,215050.0,0.5083492921347176,-720285.390986442,-100572527.62401353,-96272147.39360607
0.0,4344870.806576723,0.0,4827634.229529693,900050.0,31034.791475548023,0.0,0.0,0.0,0.0,0.0,0.0,62069.58295109605,68966.2032789956,0.0,68966.2032789956,62069.58295109605,36115.02293578283,211.05511348625714,71738.21390541358,11,-1413848.214428518,261.63348600797895,310.0,256.97258316862093,0.0,0.0,168.0,52.142857142857146,147861.99238960326,5104846.837217939,215050.0,0.4750927963875865,-671709.1018604407,-101986375.83844204,-96943856.4954665
0.0,4319047.957819918,0.0,4798942.175355464,900050.0,30850.342555856554,0.0,0.0,8500000.0,0.0,0.0,0.0,61700.68511171311,68556.31679079235,0.0,68556.31679079235,61700.68511171311,35541.18185229896,209.80075069446679,70460.22441720252,12,-9910794.560091402,256.97258316862093,310.0,252.32464207811145,0.0,0.0,168.0,52.142857142857146,148476.82212190813,5063038.415421202,215050.0,0.444011959240735,-4400511.310258602,-111897170.39853345,-101344367.8057251
0.0,4293296.921175846,0.0,4770329.912417607,900050.0,30666.406579827468,47740000.00000001,0.0,0.0,0.0,0.0,0.0,61332.813159654936,68147.57017739439,0.0,68147.57017739439,61332.813159654936,34968.936593540784,208.54987622586881,69185.78895690152,13,-49147749.3978216,252.32464207811145,310.0,247.68962669044416,310.0,0.0,168.0,52.142857142857146,149089.94204200513,5021346.26085462,215050.0,0.41496444788853737,-20394568.693831235,-161044919.79635504,-121738936.49955633
0.0,5027373.914273295,0.0,5585971.0158592155,900050.0,35909.813673380675,0.0,0.0,0.0,0.0,0.0,0.0,71819.62734676135,79799.58594084594,0.0,79799.58594084594,71819.62734676135,41411.81570325296,244.2081753981521,85000.0,14,-1494556.9152593017,310.0,310.0,304.99651552088574,0.0,0.0,168.0,52.142857142857146,141481.86135594905,5931807.351311452,215050.0,0.3878172410173246,-579614.9394192258,-162539476.71161434,-122318551.43897556
0.0,4971932.199474971,0.0,5524369.110527745,900050.0,35513.80142482121,0.0,0.0,0.0,0.0,0.0,0.0,71027.60284964243,78919.55872182493,0.0,78919.55872182493,71027.60284964243,40839.79801088868,241.5150556416518,83628.0768363719,15,-1488000.7124775955,304.99651552088574,310.0,300.02085994592204,0.0,0.0,168.0,52.142857142857146,142141.88177021482,5836506.566437586,215050.0,0.36244601964235945,-539319.9354624995,-164027477.42409194,-122857871.37443806
0.0,4812144.600392631,0.0,5346827.3337695915,900050.0,34372.461431375945,0.0,0.0,0.0,0.0,0.0,0.0,68744.92286275189,76383.24762527988,0.0,76383.24762527988,68744.92286275189,40437.079676962334,233.75326217083736,82263.78417872055,16,-1469105.194808336,300.02085994592204,310.0,295.1254095701567,0.0,0.0,168.0,52.142857142857146,142798.2312137955,5727621.639676976,215050.0,0.3387345977965976,-497636.7572842938,-165496582.61890027,-123355508.13172236
0.0,4771461.12800322,0.0,5301623.475559133,900050.0,34081.865200023,0.0,0.0,0.0,0.0,0.0,0.0,68163.730400046,75737.47822227333,0.0,75737.47822227333,68163.730400046,39855.8872142559,231.77703427721042,80921.48326923652,17,-1464294.2127559362,295.1254095701567,310.0,290.2503802159589,0.0,0.0,168.0,52.142857142857146,143444.000616802,5675981.613083229,215050.0,0.31657439046410984,-463558.04786333407,-166960876.83165622,-123819066.1795857
0.0,4737357.303727812,0.0,5263730.337475348,900050.0,33838.26645519866,0.0,0.0,0.0,0.0,0.0,0.0,67676.53291039732,75196.14767821926,0.0,75196.14767821926,67676.53291039732,39266.94464659372,230.12041735505332,79584.78167211777,18,-1460261.3002027348,290.2503802159589,310.0,285.39246923662336,0.0,0.0,168.0,52.142857142857146,144087.0762388703,5624546.824664014,215050.0,0.295863916321598,-432038.62713084975,-168421138.13185894,-124251104.80671655
0.0,4604492.860153275,0.0,5116103.177948083,900050.0,32889.23471538054,0.0,0.0,0.0,0.0,0.0,0.0,65778.46943076108,73087.18825640118,0.0,73087.18825640118,65778.46943076108,38837.02308840505,223.6664348397467,78252.7738229451,19,-1444549.552510189,285.39246923662336,310.0,280.601249409946,0.0,0.0,168.0,52.142857142857146,144727.89373924045,5522828.991987283,215050.0,0.2765083330108392,-399429.9887161461,-169865687.68436915,-124650534.79543269
0.0,4577948.014828429,0.0,5086608.905364921,900050.0,32699.628677345918,0.0,0.0,0.0,0.0,2580600.0,860200.0,65399.257354691836,72665.84150521315,0.0,72665.84150521315,65399.257354691836,38247.137636741514,222.37700056381135,76939.05225756584,20,-3161810.5192138385,280.601249409946,310.0,275.82335373745326,0.0,0.0,168.0,52.142857142857146,145359.91386602257,5472267.381844709,215050.0,0.2584190028138684,-817071.9214616397,-173027498.20358297,-125467606.71689433
