parameter,value,npv_eur,method
capex_multiplier,0.8,-99967096.8911865,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-121923701.47572485,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-143880306.0602632,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-120083532.96814042,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-121923701.47572485,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-123763869.98330928,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-120367891.9100699,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-121923701.47572485,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-123479511.04137984,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-136897235.18580112,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-121923701.47572485,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-111918289.69131345,fixed_dispatch_and_replacement_schedule_financial_revaluation
