initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
64058060.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-64058060.00000001,226.92,226.92,226.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-64058060.00000001,-64058060.00000001,-64058060.00000001
0.0,3732995.9259258946,0.0,4147773.251028773,715685.15,26664.256613756388,0.0,0.0,0.0,0.0,0.0,0.0,53328.513227512776,59253.903586125314,0.0,59253.903586125314,53328.513227512776,29020.27496212748,247.72249548939067,62220.0,1,-1157126.7317166347,226.92,226.92,223.2308670441182,0.0,0.0,168.0,52.142857142857146,155927.97033254575,4499592.866591993,160145.15000000002,0.9345794392523363,-1081426.852071621,-65215186.73171664,-65139486.85207163
0.0,3702337.513066787,0.0,4113708.347851987,715685.15,26445.267950477057,0.0,0.0,0.0,0.0,0.0,0.0,52890.53590095412,58767.262112171244,0.0,58767.262112171244,52890.53590095411,28744.511460219717,245.68799593677778,61208.463544355,2,-1153501.2527356776,223.2308670441182,226.92,219.55712304285245,0.0,0.0,168.0,52.142857142857146,156252.39798184848,4452226.429793787,160145.15000000002,0.8734387282732116,-1007512.6672510067,-66368687.984452315,-66146999.519322634
0.0,3671806.989587037,0.0,4079785.5439855973,715685.15,26227.192782764556,0.0,0.0,0.0,0.0,0.0,0.0,52454.38556552911,58282.65062836568,0.0,58282.65062836568,52454.38556552911,28469.898286063595,243.66198315372733,60201.14664078213,3,-1149890.8971813247,219.55712304285245,226.92,215.89870380227765,0.0,0.0,168.0,52.142857142857146,156575.4723043855,4397677.596242648,160145.15000000002,0.8162978768908519,-938653.4980252321,-67518578.88163364,-67085653.017347865
0.0,3641403.8220052286,0.0,4046004.246672476,715685.15,26010.02730003735,0.0,0.0,0.0,0.0,0.0,0.0,52020.054600074705,57800.06066674967,0.0,57800.06066674967,52020.0546000747,28196.430641147985,241.64442173828598,59198.0316877213,4,-1146295.601967285,215.89870380227765,226.92,212.25554539624926,0.0,0.0,168.0,52.142857142857146,156897.19894546285,4350705.50664535,160145.15000000002,0.7628952120475251,-874503.4263319772,-68664874.48360093,-67960156.44367984
0.0,3611127.4790653344,0.0,4012363.8656281494,715685.15,25793.767707609524,0.0,0.0,0.0,0.0,0.0,0.0,51587.53541521906,57319.48379468786,0.0,57319.48379468783,51587.53541521905,27924.103746978868,239.63527643617766,58199.10115703609,5,-1142715.3042704249,212.25554539624926,226.92,208.627584165286,0.0,0.0,168.0,52.142857142857146,157217.5835268374,4303929.357764663,160145.15000000002,0.7129861794836683,-814740.2190292878,-69807589.78787136,-68774896.66270913
0.0,3580977.4317274173,0.0,3978863.813030463,715685.15,25578.410226624404,0.0,0.0,0.0,0.0,0.0,0.0,51156.820453248816,56840.9116147209,0.0,56840.9116147209,51156.82045324881,27652.91284499845,237.63451214018676,57204.33759370746,6,-1139149.9415296703,208.627584165286,226.92,205.01475671545765,0.0,0.0,168.0,52.142857142857146,157536.63164681537,4257348.332247902,160145.15000000002,0.6663422238165123,-759063.7052993304,-70946739.72940104,-69533960.36800846
0.0,3550953.1531583956,0.0,3945503.503509328,715685.15,25363.95109398854,0.0,0.0,0.0,0.0,0.0,0.0,50727.90218797708,56364.33576441898,0.0,56364.33576441897,50727.90218797708,27382.853196494354,235.64209388954492,56213.72361552871,7,-1135599.451444921,205.01475671545765,226.92,201.4169999172771,0.0,0.0,168.0,52.142857142857146,157854.34888035,4210961.616151836,160145.15000000002,0.6227497418845909,-707194.2652716076,-72082339.18084596,-70241154.63328007
0.0,3521054.1187228328,0.0,3912282.354136481,715685.15,25150.386562305946,0.0,0.0,0.0,0.0,0.0,0.0,50300.7731246119,55889.74791623544,0.0,55889.74791623544,50300.77312461189,27113.920082523182,233.6579868693199,55227.241912801794,8,-1132063.771975954,201.4169999172771,226.92,197.83425090459758,0.0,0.0,168.0,52.142857142857146,158170.74077913899,4164768.3989286497,160145.15000000002,0.5820091045650382,-658871.4222382446,-73214402.95282191,-70900026.05551831
0.0,3481962.30008819,0.0,3868847.0000979886,715685.15,24871.159286344213,0.0,0.0,0.0,0.0,0.0,0.0,49742.31857268843,55269.242858542704,0.0,55269.2428585427,49742.318572688426,26860.898495709873,231.0638445081839,54244.87524803482,9,-1127441.009296143,197.83425090459758,226.92,194.27112398473767,0.0,0.0,168.0,52.142857142857146,158485.81287172163,4114330.9658470005,160145.15000000002,0.5439337425841478,-613253.2077293,-74341843.96211806,-71513279.26324761
0.0,3442480.6413949933,0.0,3824978.490438882,715685.15,24589.14743853567,0.0,0.0,0.0,0.0,0.0,0.0,49178.29487707134,54642.54986341258,0.0,54642.54986341258,49178.29487707134,26610.221297658078,228.44383226825278,53267.88883452485,10,-1122772.1464824239,194.27112398473767,226.92,190.7278148374606,0.0,0.0,168.0,52.142857142857146,158799.1593692867,4063882.1797390333,160145.15000000002,0.5083492921347176,-570760.4258929177,-75464616.10860048,-72084039.68914053
0.0,3477358.229764401,0.0,3863731.3664048905,715685.15,24838.273069745723,0.0,0.0,0.0,0.0,0.0,0.0,49676.546139491446,55196.16237721272,0.0,55196.16237721272,49676.546139491446,27420.076254266387,230.75831730894527,52296.336326400495,11,-1126896.5597102353,190.7278148374606,226.92,187.16699892533575,0.0,0.0,168.0,52.142857142857146,157933.94316129846,4077262.259692266,160145.15000000002,0.4750927963875865,-535380.4377922865,-76591512.66831072,-72619420.12693281
0.0,3428038.165648727,0.0,3808931.295165253,715685.15,24485.986897490908,0.0,0.0,6222000.0,0.0,0.0,0.0,48971.973794981815,54413.304216646466,0.0,54413.304216646466,48971.973794981815,27028.64717398254,227.48542615051164,51319.98357630174,12,-7343064.2664140165,187.16699892533575,226.92,183.63093916193327,0.0,0.0,168.0,52.142857142857146,158403.65805763824,4018391.3260176876,160145.15000000002,0.444011959240735,-3260408.351761118,-83934576.93472473,-75879828.47869393
0.0,3379060.9934073817,0.0,3754512.2148970906,715685.15,24136.14995290987,34945680.0,0.0,0.0,0.0,0.0,0.0,48272.29990581974,53635.88878424415,0.0,53635.88878424415,48272.29990581974,26639.939457782028,224.23528937822718,50350.41880246558,13,-36060952.521442614,183.63093916193327,226.92,180.11946343307636,226.92,0.0,168.0,52.142857142857146,158870.1073170796,3959929.6855010325,160145.15000000002,0.41496444788853737,-14964013.253395194,-119995529.45616734,-90843841.73208913
0.0,3732995.9259258946,0.0,4147773.251028773,715685.15,26664.256613756388,0.0,0.0,0.0,0.0,0.0,0.0,53328.513227512776,59253.903586125314,0.0,59253.903586125314,53328.513227512776,29020.27496212748,247.72249548939067,62220.0,14,-1157126.7317166347,226.92,226.92,223.2308670441182,0.0,0.0,168.0,52.142857142857146,155927.97033254575,4499592.866591993,160145.15000000002,0.3878172410173246,-448753.69660173927,-121152656.18788397,-91292595.42869087
0.0,3702337.513066787,0.0,4113708.347851987,715685.15,26445.267950477057,0.0,0.0,0.0,0.0,0.0,0.0,52890.53590095412,58767.262112171244,0.0,58767.262112171244,52890.53590095411,28744.511460219717,245.68799593677778,61208.463544355,15,-1153501.2527356776,223.2308670441182,226.92,219.55712304285245,0.0,0.0,168.0,52.142857142857146,156252.39798184848,4452226.429793787,160145.15000000002,0.36244601964235945,-418081.93770652165,-122306157.44061965,-91710677.36639738
0.0,3671806.989587037,0.0,4079785.5439855973,715685.15,26227.192782764556,0.0,0.0,0.0,0.0,0.0,0.0,52454.38556552911,58282.65062836568,0.0,58282.65062836568,52454.38556552911,28469.898286063595,243.66198315372733,60201.14664078213,16,-1149890.8971813247,219.55712304285245,226.92,215.89870380227765,0.0,0.0,168.0,52.142857142857146,156575.4723043855,4397677.596242648,160145.15000000002,0.3387345977965976,-389507.8305666848,-123456048.33780098,-92100185.19696407
