npv_eur,irr,irr_status,all_irrs,simple_payback_years,discounted_payback_years,sustained_discounted_payback_years,lifecycle_cost_pv_eur,equivalent_annual_cost_eur,lcos_eur_mwh,delivered_lcoe_eur_mwh,hybrid_levelised_export_cost_eur_mwh,additional_break_even_payment_eur_kw_year,initial_capex_eur,undiscounted_lifetime_replacements_eur,year_1_net_cashflow_eur,year_1_project_revenue_eur,year_1_operating_cost_eur,lifetime_project_revenue_eur,lifetime_energy_purchase_eur,lifetime_fixed_and_variable_om_eur,lifetime_maintenance_capex_eur,lifetime_decommission_eur,lifetime_residual_eur,lifetime_net_project_cashflow_eur,lifetime_system_dispatch_cost_saving_eur,pv_system_dispatch_cost_saving_eur,system_saving_included_in_project_cashflow,lifetime_net_renewable_gain_mwh,lifetime_battery_discharge_mwh,lifetime_efc,battery_energy_capex_eur,battery_power_capex_eur,battery_other_bop_capex_eur,wind_capex_eur,connection_capex_eur,shared_site_capex_eur,contingency_eur,site_count,block_hours,annualisation_factor,year_1_project_wind_acceptance_ratio,year_1_added_wind_available_mwh,year_1_total_dispatch_down_change_mwh,year_1_net_renewable_gain_proxy_mwh,block_binding_branch_hours,block_unserved_mwh,new_binding_branches,year_1_passive_constraint_dd_mwh,year_1_passive_constraint_relief_mwh,bus,wind_mw,battery_mw,battery_mwh,maintenance,connection_export_mw,connection_import_mw,battery_placements,case_id,technology,sites,allocations,dlr_label,dlr_mean_multiplier,dlr_max_multiplier,years,assumptions_status,result_scope,pareto_within_technology
-79495631.54330018,,no_real_irr,,,,,115782025.58160928,10929004.143128572,223.35484154628668,,,179.85323914038543,53790000.00000001,38380000.0,-924974.9715583301,3767315.195728144,4692290.167286474,68163962.69527394,75737736.32808216,10076385.447823385,38380000.0,1613700.0000000002,537900.0000000001,-110895959.08063163,81163894.33290258,43217721.539705575,False,557711.5129521354,973770.8956467705,4665.657499130208,30800000.0,11250000.0,3600000.0,0.0,2950000.0,300000.0,4890000.0,1,168.0,52.142857142857146,,0.0,-35903.14948391803,29923.28409387254,70.0,0.0,,27594.138731550218,3097.871697435084,Croaghonagh,0.0,45.0,220.0,replace,,,"(('Croaghonagh', 1.0),)",bess_7c9ae7b89d,bess,Croaghonagh,1.000000,none,1.0,1.0,20,illustrative_distributed_bess_architecture_comparison_mip_gap_0p5pct_not_market_quotes,conditional_design_screen,True
-91041601.41703777,,no_real_irr,,,,,130216112.21898192,12291479.811261807,232.6800684611579,,,149.22058808846032,62243060.00000001,41167680.0,-1071978.1745216977,3812392.3550156867,4884370.529537384,73738887.8584518,81932097.62050201,12949659.341846088,41167680.0,1867291.8,622430.6000000001,-125798470.30389631,85510889.54807578,45452497.32157617,False,589022.5268486275,1053412.6836921687,4893.330096624015,31768800.0,15555000.0,4977600.0,0.0,3983200.0,300000.0,5658460.0,1,168.0,52.142857142857146,,0.0,-37713.88158838112,31662.465151848024,68.0,0.0,,26341.081748330675,4350.928680654629,Croaghonagh,0.0,62.22,226.92,replace,,,"(('Croaghonagh', 1.0),)",bess_5b04fafa56,bess,Croaghonagh,1.000000,none,1.0,1.0,20,illustrative_distributed_bess_architecture_comparison_mip_gap_0p5pct_not_market_quotes,conditional_design_screen,True
-121923701.47572485,,no_real_irr,,,,,168597988.44537386,15914457.403786452,252.85569330390808,,,146.28234416952708,84810000.0,56240000.00000001,-1389979.6669457266,4675992.4855813,6065972.152527027,87609532.26061255,97343924.73401394,17366282.373290088,56240000.00000001,2544300.0,848100.0,-169846874.8466915,105621127.03646548,56195317.155432045,False,782656.320142645,1251564.746580179,4255.693804693333,43400000.0,21250000.0,6800000.0,0.0,5350000.0,300000.0,7710000.0,1,168.0,52.142857142857146,,0.0,-49391.77429733712,41969.564002763276,66.0,0.0,,28485.561904216313,2206.44852476899,Croaghonagh,0.0,85.0,310.0,replace,,,"(('Croaghonagh', 1.0),)",bess_f11231f128,bess,Croaghonagh,1.000000,none,1.0,1.0,20,illustrative_distributed_bess_architecture_comparison_mip_gap_0p5pct_not_market_quotes,conditional_design_screen,True
-80586718.36276588,,no_real_irr,,,,,118134093.98014185,11151022.760814317,220.23873686615426,,,182.59604404536412,54395000.00000001,38380000.0,-954804.887044583,3753086.6286991476,4707891.515743731,70527820.03287703,78364244.48097448,10723520.143091979,38380000.0,1631850.0000000002,543950.0000000001,-112422844.59118943,83841992.14607847,44601595.88588673,False,559493.6311121703,1007540.2861839575,4827.457785938159,30800000.0,11250000.0,3600000.0,0.0,3200000.0,600000.0,4945000.0,2,168.0,52.142857142857146,,0.0,-35903.14948391805,29945.869120902695,66.0,0.0,,29185.55382151293,1506.4566074723703,Croaghonagh,0.0,45.0,220.0,replace,,,"(('Croaghonagh', 0.5), ('Binbane', 0.5))",bess_82e9b603c3,bess,Croaghonagh;Binbane,0.500000;0.500000,none,1.0,1.0,20,illustrative_distributed_bess_architecture_comparison_mip_gap_0p5pct_not_market_quotes,conditional_design_screen,True
-91989229.01605971,,no_real_irr,,,,,131211576.311439,12385444.579421185,234.17288803831408,,,150.89418550327804,62848060.00000001,41167680.0,-1121546.0381666338,3965075.2959057614,5086621.334072395,73492836.35242479,81658707.05824977,13578151.831088748,41167680.0,1885441.8,628480.6000000001,-127016723.73691374,84711839.28817204,45196608.936622284,False,576011.9386140453,1049897.6621774973,4877.00206029571,31768800.0,15555000.0,4977600.0,0.0,4233200.0,600000.0,5713460.0,2,168.0,52.142857142857146,,0.0,-37713.88158838115,31420.1112774186,67.0,0.0,,29204.192873460594,1487.817555524709,Croaghonagh,0.0,62.22,226.92,replace,,,"(('Croaghonagh', 0.5), ('Binbane', 0.5))",bess_8a20fb4641,bess,Croaghonagh;Binbane,0.500000;0.500000,none,1.0,1.0,20,illustrative_distributed_bess_architecture_comparison_mip_gap_0p5pct_not_market_quotes,conditional_design_screen,False
-123142750.06105492,,no_real_irr,,,,,172160111.39493284,16250696.610852519,245.8559063503936,,,148.06153228560913,85415000.0,56240000.00000001,-1460625.8918049932,5006921.970968412,6467547.862773405,91899251.56483915,102110279.51648796,18027173.225463137,56240000.00000001,2562450.0,854150.0,-171601501.17711192,110157545.52256809,58700330.96727327,False,774119.7402509593,1312846.4509262736,4464.069895694084,43400000.0,21250000.0,6800000.0,0.0,5600000.0,600000.0,7765000.0,2,168.0,52.142857142857146,,0.0,-49391.774297336975,41444.27910532345,69.0,0.0,,25622.450779086583,5069.559649898721,Croaghonagh,0.0,85.0,310.0,replace,,,"(('Croaghonagh', 0.5), ('Binbane', 0.5))",bess_0ae3808498,bess,Croaghonagh;Binbane,0.500000;0.500000,none,1.0,1.0,20,illustrative_distributed_bess_architecture_comparison_mip_gap_0p5pct_not_market_quotes,conditional_design_screen,False
-81532303.28122477,,no_real_irr,,,,,119110241.71747617,11243164.201698963,221.8779759397323,,,184.74880664072828,55000000.00000001,38380000.0,-990131.9371244144,3785343.8978306176,4775475.834955032,70562076.13713048,78402306.81903386,11354014.829550933,38380000.0,1650000.0000000002,550000.0000000001,-113674245.51145428,82236604.42402871,43774030.64844686,False,559410.5512893735,1008029.659101864,4829.802532977229,30800000.0,11250000.0,3600000.0,0.0,3450000.0,900000.0,5000000.0,3,168.0,52.142857142857146,,0.0,-35903.14948391808,29894.66710640907,62.0,0.0,,26839.125250084337,3852.8851789009655,Croaghonagh,0.0,45.0,220.0,replace,,,"(('Croaghonagh', 0.3333333333333333), ('Binbane', 0.3333333333333333), ('Ardnagappary', 0.3333333333333334))",bess_0132aed50d,bess,Croaghonagh;Binbane;Ardnagappary,0.333333;0.333333;0.333333,none,1.0,1.0,20,illustrative_distributed_bess_architecture_comparison_mip_gap_0p5pct_not_market_quotes,conditional_design_screen,False
-92792329.4696737,,no_real_irr,,,,,130840337.39799152,12350402.252231132,240.71755964502975,,,152.01911541348582,63453060.00000001,41167680.0,-1166595.4047892476,4079548.127747995,5246143.532537242,71200032.08446641,79111146.76051824,14192024.65774619,41167680.0,1903591.8,634530.6000000001,-127992940.53379801,85730542.55334377,45720316.74290563,False,574113.9874709777,1017143.3154923773,4724.8510249884575,31768800.0,15555000.0,4977600.0,0.0,4483200.0,900000.0,5768460.0,3,168.0,52.142857142857146,,0.0,-37713.881588381264,31238.408369733235,69.0,0.0,,29204.192873460473,1487.8175555248274,Croaghonagh,0.0,62.22,226.92,replace,,,"(('Croaghonagh', 0.3333333333333333), ('Binbane', 0.3333333333333333), ('Ardnagappary', 0.3333333333333334))",bess_37abb9cdca,bess,Croaghonagh;Binbane;Ardnagappary,0.333333;0.333333;0.333333,none,1.0,1.0,20,illustrative_distributed_bess_architecture_comparison_mip_gap_0p5pct_not_market_quotes,conditional_design_screen,False
-125467606.71689433,,no_real_irr,,,,,175219643.23541585,16539494.772680359,246.53010981596682,,,150.14659147190355,86020000.0,56240000.00000001,-1494556.9152593017,5027373.914273295,6521930.829532596,93409957.96318477,103788842.18131642,18668213.98545132,56240000.00000001,2580600.0,860200.0,-173027498.20358297,110712536.08193836,58954311.68943087,False,775838.1537600104,1334427.97090264,4537.453506977676,43400000.0,21250000.0,6800000.0,0.0,5850000.0,900000.0,7820000.0,3,168.0,52.142857142857146,,0.0,-49391.77429733705,41411.81570325296,64.0,0.0,,25622.45077908651,5069.559649898792,Croaghonagh,0.0,85.0,310.0,replace,,,"(('Croaghonagh', 0.3333333333333333), ('Binbane', 0.3333333333333333), ('Ardnagappary', 0.3333333333333334))",bess_8b348cc5e2,bess,Croaghonagh;Binbane;Ardnagappary,0.333333;0.333333;0.333333,none,1.0,1.0,20,illustrative_distributed_bess_architecture_comparison_mip_gap_0p5pct_not_market_quotes,conditional_design_screen,False
-82506822.80749533,,no_real_irr,,,,,120360005.98102927,11361133.107025104,222.57574429203507,,,187.02131532409808,55605000.00000001,38380000.0,-1030740.0161095839,3862259.532201848,4892999.548311432,71041005.30377676,78934450.33752973,11987685.752169833,38380000.0,1668150.0000000002,556050.0000000001,-114978230.78592283,82477989.64549619,43916546.21552164,False,552321.7349404651,1014871.5043396677,4862.584069870921,30800000.0,11250000.0,3600000.0,0.0,3700000.0,1200000.0,5055000.0,4,168.0,52.142857142857146,,0.0,-35903.14948391799,29772.57879788253,65.0,0.0,,29185.553821513004,1506.456607472299,Croaghonagh,0.0,45.0,220.0,replace,,,"(('Croaghonagh', 0.25), ('Binbane', 0.25), ('Ardnagappary', 0.25), ('Drumkeen', 0.25))",bess_a87593d507,bess,Croaghonagh;Binbane;Ardnagappary;Drumkeen,0.250000;0.250000;0.250000;0.250000,none,1.0,1.0,20,illustrative_distributed_bess_architecture_comparison_mip_gap_0p5pct_not_market_quotes,conditional_design_screen,False
