initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
55000000.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-55000000.00000001,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-55000000.00000001,-55000000.00000001,-55000000.00000001
0.0,3931214.6190395406,0.0,4368016.243377267,542500.0,28080.104421711007,0.0,0.0,0.0,0.0,0.0,0.0,56160.20884342201,62400.232048246675,0.0,62400.232048246675,56160.20884342201,29663.126279092554,269.08208153930923,45000.0,1,-1007381.7287594373,220.0,220.0,216.26673140204505,0.0,0.0,168.0,52.142857142857146,154970.48616936797,4564022.357558029,137500.00000000003,0.9345794392523363,-941478.2511770441,-56007381.728759445,-55941478.25117705
0.0,3879505.951375702,0.0,4310562.168195224,542500.0,27710.75679554073,0.0,0.0,0.0,0.0,0.0,0.0,55421.51359108146,61579.45954564607,0.0,61579.45954564607,55421.51359108146,29252.74002779274,265.54274897241686,44236.37687769104,2,-1001266.9736150629,216.26673140204505,220.0,212.55941790958067,0.0,0.0,168.0,52.142857142857146,155462.94967092833,4511016.869340085,137500.00000000003,0.8734387282732116,-874545.3520963078,-57008648.70237451,-56816023.603273354
0.0,3828156.7820680034,0.0,4253507.535631115,542500.0,27343.977014771448,0.0,0.0,0.0,0.0,0.0,0.0,54687.954029542896,60764.39336615877,0.0,60764.39336615877,54687.954029542896,28845.206938049698,262.0280231938467,43478.062754232415,3,-995194.7305778828,212.55941790958067,220.0,208.8778790728258,0.0,0.0,168.0,52.142857142857146,155951.98937862075,4458379.895468793,137500.00000000003,0.8162978768908519,-812375.3456636891,-58003843.4329524,-57628398.94893704
0.0,3777164.6117469203,0.0,4196849.56860769,542500.0,26979.747226763713,0.0,0.0,0.0,0.0,0.0,0.0,53959.494453527426,59954.9938372527,0.0,59954.9938372527,53959.494453527426,28440.50717359594,258.5377331278324,42725.02071944164,4,-989164.704087533,208.8778790728258,220.0,205.22193569655502,0.0,0.0,168.0,52.142857142857146,156437.62909596437,4406108.873892046,137500.00000000003,0.7628952120475251,-754629.016674786,-58993008.13703993,-58383027.96561183
0.0,3726526.9584194967,0.0,4140585.5093549956,542500.0,26618.04970299641,0.0,0.0,0.0,0.0,0.0,0.0,53236.09940599282,59151.22156221424,0.0,59151.22156221424,53236.09940599282,28038.62103607694,255.07170888799126,41977.21411974989,5,-983176.6006384953,205.22193569655502,220.0,201.5914098313764,0.0,0.0,168.0,52.142857142857146,156919.8924609875,4354201.260370021,137500.00000000003,0.7129861794836683,-700991.328246981,-59976184.73767842,-59084019.29385881
0.0,3678868.4820071273,0.0,4087631.6466745874,542500.0,26277.63201433662,0.0,0.0,0.0,0.0,0.0,0.0,52555.26402867324,58394.73780963697,0.0,58394.73780963697,52555.26402867324,27635.358924944467,251.8096020638246,41234.6065564179,6,-977540.7966817971,201.5914098313764,220.0,197.98480608290836,0.0,0.0,168.0,52.142857142857146,157398.80294737758,4302650.3583124615,137500.00000000003,0.6663422238165123,-651376.7083323138,-60953725.53436022,-59735396.00219113
0.0,3638905.0730572664,0.0,4043227.8589525195,542500.0,25992.179093266186,0.0,0.0,0.0,0.0,0.0,0.0,51984.35818653237,57760.397985036,0.0,57760.397985036,51984.35818653237,27223.038038953797,249.07420389615535,40496.892153322166,7,-972814.964988519,197.98480608290836,220.0,194.3982619210032,0.0,0.0,168.0,52.142857142857146,157874.55781582827,4251427.417475946,137500.00000000003,0.6227497418845909,-605820.2683480675,-61926540.499348745,-60341216.270539194
0.0,3599163.936781945,0.0,3999071.0408688276,542500.0,25708.31383415675,0.0,0.0,0.0,0.0,0.0,0.0,51416.6276683135,57129.58629812611,0.0,57129.58629812611,51416.6276683135,26813.01044246193,246.35401975258057,39763.28084747793,8,-968115.4179210388,194.3982619210032,220.0,190.83166577615094,0.0,0.0,168.0,52.142857142857146,158347.6665810107,4200489.373757952,137500.00000000003,0.5820091045650382,-563451.9874998315,-62894655.91726978,-60904668.25803903
0.0,3559643.8369217156,0.0,3955159.818801907,542500.0,25426.027406583686,0.0,0.0,0.0,0.0,0.0,0.0,50852.05481316737,56502.283125741524,0.0,56502.283125741524,50852.05481316737,26405.263380412645,243.64896501414714,39033.74981784906,9,-963442.0092867748,190.83166577615094,220.0,187.28490669938054,0.0,0.0,168.0,52.142857142857146,158818.14396029906,4149834.642587894,137500.00000000003,0.5439337425841478,-524048.61787414673,-63858097.92655656,-61428716.87591317
