parameter,value,npv_eur,method
capex_multiplier,0.8,-67181335.66923594,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.0,-81740933.10381609,fixed_dispatch_and_replacement_schedule_financial_revaluation
capex_multiplier,1.2,-96300530.53839621,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,0.8,-80535279.42871001,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.0,-81740933.10381609,fixed_dispatch_and_replacement_schedule_financial_revaluation
om_multiplier,1.2,-82946586.77892216,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,0.7,-80429526.74957302,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.0,-81740933.10381609,fixed_dispatch_and_replacement_schedule_financial_revaluation
energy_settlement_multiplier,1.3,-83052339.45805915,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.04,-91987345.30828859,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.07,-81740933.10381609,fixed_dispatch_and_replacement_schedule_financial_revaluation
real_discount_rate,0.1,-74778408.31656478,fixed_dispatch_and_replacement_schedule_financial_revaluation
