initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
54395000.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-54395000.00000001,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-54395000.00000001,-54395000.00000001,-54395000.00000001
0.0,3931214.6190395467,0.0,4368016.243377275,510987.5,28080.104421711,0.0,0.0,0.0,0.0,0.0,0.0,56160.20884342209,62400.23204824677,0.0,62400.232048246675,56160.208843422,29663.126279092543,269.0820815393092,45000.0,1,-975869.2287594387,220.0,220.0,216.26673140204505,0.0,0.0,168.0,52.142857142857146,154970.48616936803,4564022.357558005,135987.50000000003,0.9345794392523363,-912027.3165976062,-55370869.228759445,-55307027.31659761
0.0,3879505.951375705,0.0,4310562.168195228,510987.5,27710.75679554074,0.0,0.0,0.0,0.0,0.0,0.0,55421.5135910815,61579.45954564611,0.0,61579.45954564609,55421.51359108148,29252.740027792734,265.5427489724169,44236.37687769104,2,-969754.4736150634,216.26673140204505,220.0,212.55941790958067,0.0,0.0,168.0,52.142857142857146,155462.94967092838,4511016.869340085,135987.50000000003,0.8734387282732116,-847021.1141715987,-56340623.70237451,-56154048.43076921
0.0,3828156.7820680025,0.0,4253507.535631116,510987.5,27343.977014771448,0.0,0.0,0.0,0.0,0.0,0.0,54687.954029542896,60764.3933661588,0.0,60764.3933661588,54687.954029542896,28845.20693804894,262.0280231938467,43478.062754232415,3,-963682.2305778847,212.55941790958067,220.0,208.8778790728258,0.0,0.0,168.0,52.142857142857146,155951.98937862075,4458379.895468841,135987.50000000003,0.8162978768908519,-786651.7588181676,-57304305.9329524,-56940700.18958738
0.0,3777164.61174692,0.0,4196849.56860769,510987.5,26979.747226763713,0.0,0.0,0.0,0.0,0.0,0.0,53959.49445352743,59954.99383725271,0.0,59954.9938372527,53959.494453527426,28440.507173595917,258.5377331278324,42725.02071944164,4,-957652.2040875335,208.8778790728258,220.0,205.22193569655502,0.0,0.0,168.0,52.142857142857146,156437.6290959645,4406108.87389207,135987.50000000003,0.7628952120475251,-730588.2813051386,-58261958.13703993,-57671288.47089252
0.0,3726526.9584194967,0.0,4140585.509354998,510987.5,26618.049702996406,0.0,0.0,0.0,0.0,0.0,0.0,53236.09940599281,59151.22156221426,0.0,59151.22156221426,53236.09940599281,28038.621036076922,255.07170888799124,41977.21411974989,5,-951664.1006384981,205.22193569655502,220.0,201.5914098313764,0.0,0.0,168.0,52.142857142857146,156919.89246098747,4354201.260370069,135987.50000000003,0.7129861794836683,-678523.3512660039,-59213622.23767843,-58349811.82215852
0.0,3678868.4820071273,0.0,4087631.6466745883,510987.5,26277.63201433663,0.0,0.0,0.0,0.0,0.0,0.0,52555.26402867326,58394.73780963698,0.0,58394.73780963697,52555.26402867326,27635.35892494523,251.80960206382466,41234.6065564179,6,-946028.2966817981,201.5914098313764,220.0,197.98480608290836,0.0,0.0,168.0,52.142857142857146,157398.80294737758,4302650.3583124615,135987.50000000003,0.6663422238165123,-630378.5990042966,-60159650.53436023,-58980190.42116282
0.0,3638905.073057268,0.0,4043227.858952521,510987.5,25992.179093266186,0.0,0.0,0.0,0.0,0.0,0.0,51984.3581865324,57760.397985036005,0.0,57760.397985036,51984.35818653237,27223.03803895379,249.07420389615535,40496.892153322166,7,-941302.4649885194,197.98480608290836,220.0,194.3982619210032,0.0,0.0,168.0,52.142857142857146,157874.5578158283,4251427.417475922,135987.50000000003,0.6227497418845909,-586195.8671069297,-61100952.99934875,-59566386.28826975
0.0,3599163.9367819442,0.0,3999071.0408688285,510987.5,25708.313834156754,0.0,0.0,0.0,0.0,0.0,0.0,51416.62766831351,57129.58629812612,0.0,57129.58629812612,51416.62766831351,26813.010442462677,246.3540197525806,39763.28084747793,8,-936602.9179210407,194.3982619210032,220.0,190.83166577615094,0.0,0.0,168.0,52.142857142857146,158347.66658101056,4200489.373757976,135987.50000000003,0.5820091045650382,-545111.4255922268,-62037555.917269796,-60111497.71386198
0.0,3559643.836921716,0.0,3955159.818801908,510987.5,25426.027406583693,0.0,0.0,0.0,0.0,0.0,0.0,50852.054813167386,56502.283125741546,0.0,56502.283125741546,50852.054813167386,26405.263380412634,243.6489650141472,39033.74981784906,9,-931929.5092867753,190.83166577615094,220.0,187.28490669938054,0.0,0.0,168.0,52.142857142857146,158818.14396029914,4149834.6425879425,135987.50000000003,0.5439337425841478,-506907.905810964,-62969485.42655657,-60618405.61967295
0.0,3520343.544093094,0.0,3911492.8267701045,510987.5,25145.31102923637,0.0,0.0,0.0,0.0,0.0,0.0,50290.62205847276,55878.468953858646,0.0,55878.468953858624,50290.62205847274,25999.78416868875,240.95895553254465,38308.27637032784,10,-927282.0937062474,187.28490669938054,220.0,183.75787435880855,0.0,0.0,168.0,52.142857142857146,159286.00458921134,4099461.648208384,135987.50000000003,0.5083492921347176,-471383.1959447697,-63896767.52026282,-61089788.81561772
0.0,3481261.835750296,0.0,3868068.706389217,510987.5,24866.155969644966,0.0,0.0,0.0,0.0,0.0,0.0,49732.31193928993,55258.124376988824,0.0,55258.124376988824,49732.31193928993,25596.560193722817,238.28390762748745,37586.83793702902,11,-922660.5266085668,183.75787435880855,220.0,180.25045903620696,0.0,0.0,168.0,52.142857142857146,159751.26302186368,4049368.8236261047,135987.50000000003,0.4750927963875865,-438349.36970290716,-64819428.04687139,-61528138.18532062
0.0,3442397.4961472345,0.0,3824886.106830261,510987.5,24588.553543908813,0.0,0.0,4500000.0,0.0,0.0,0.0,49177.107087817625,54641.23009757515,0.0,54641.23009757515,49177.107087817625,25195.5789121045,235.62373808411172,36869.41207558779,12,-5418064.664226936,180.25045903620696,220.0,176.76255162359013,0.0,0.0,168.0,52.142857142857146,160213.93373142392,3999554.6105634696,135987.50000000003,0.444011959240735,-2405685.506856397,-70237492.71109833,-63933823.69217702
0.0,3403749.3162996783,0.0,3781943.684777422,510987.5,24312.49511642627,33880000.0,0.0,0.0,0.0,0.0,0.0,48624.99023285255,54027.766925391734,0.0,54027.766925391734,48624.99023285254,24796.82785018463,232.9783641503867,36155.97646846162,13,-34793494.363594174,176.76255162359013,220.0,173.29404361982063,220.0,0.0,168.0,52.142857142857146,160674.0311105616,3950017.459409672,135987.50000000003,0.41496444788853737,-14438063.178701794,-105030987.0746925,-78371886.87087882
0.0,3931214.6190395467,0.0,4368016.243377275,510987.5,28080.104421711,0.0,0.0,0.0,0.0,0.0,0.0,56160.20884342209,62400.23204824677,0.0,62400.232048246675,56160.208843422,29663.126279092543,269.0820815393092,45000.0,14,-975869.2287594387,220.0,220.0,216.26673140204505,0.0,0.0,168.0,52.142857142857146,154970.48616936803,4564022.357558005,135987.50000000003,0.3878172410173246,-378458.9118911899,-106006856.30345194,-78750345.78277001
0.0,3879505.951375705,0.0,4310562.168195228,510987.5,27710.75679554074,0.0,0.0,0.0,0.0,0.0,0.0,55421.5135910815,61579.45954564611,0.0,61579.45954564609,55421.51359108148,29252.740027792734,265.5427489724169,44236.37687769104,15,-969754.4736150634,216.26673140204505,220.0,212.55941790958067,0.0,0.0,168.0,52.142857142857146,155462.94967092838,4511016.869340085,135987.50000000003,0.36244601964235945,-351483.6489921512,-106976610.777067,-79101829.43176216
0.0,3828156.7820680025,0.0,4253507.535631116,510987.5,27343.977014771448,0.0,0.0,0.0,0.0,0.0,0.0,54687.954029542896,60764.3933661588,0.0,60764.3933661588,54687.954029542896,28845.20693804894,262.0280231938467,43478.062754232415,16,-963682.2305778847,212.55941790958067,220.0,208.8778790728258,0.0,0.0,168.0,52.142857142857146,155951.98937862075,4458379.895468841,135987.50000000003,0.3387345977965976,-326432.5127785278,-107940293.00764489,-79428261.94454068
0.0,3777164.61174692,0.0,4196849.56860769,510987.5,26979.747226763713,0.0,0.0,0.0,0.0,0.0,0.0,53959.49445352743,59954.99383725271,0.0,59954.9938372527,53959.494453527426,28440.507173595917,258.5377331278324,42725.02071944164,17,-957652.2040875335,208.8778790728258,220.0,205.22193569655502,0.0,0.0,168.0,52.142857142857146,156437.6290959645,4406108.87389207,135987.50000000003,0.31657439046410984,-303168.16278562223,-108897945.21173243,-79731430.1073263
0.0,3726526.9584194967,0.0,4140585.509354998,510987.5,26618.049702996406,0.0,0.0,0.0,0.0,0.0,0.0,53236.09940599281,59151.22156221426,0.0,59151.22156221426,53236.09940599281,28038.621036076922,255.07170888799124,41977.21411974989,18,-951664.1006384981,205.22193569655502,220.0,201.5914098313764,0.0,0.0,168.0,52.142857142857146,156919.89246098747,4354201.260370069,135987.50000000003,0.295863916321598,-281563.0678375774,-109849609.31237093,-80012993.17516388
0.0,3678868.4820071273,0.0,4087631.6466745883,510987.5,26277.63201433663,0.0,0.0,0.0,0.0,0.0,0.0,52555.26402867326,58394.73780963698,0.0,58394.73780963697,52555.26402867326,27635.35892494523,251.80960206382466,41234.6065564179,19,-946028.2966817981,201.5914098313764,220.0,197.98480608290836,0.0,0.0,168.0,52.142857142857146,157398.80294737758,4302650.3583124615,135987.50000000003,0.2765083330108392,-261584.70729656762,-110795637.60905272,-80274577.88246045
0.0,3638905.073057268,0.0,4043227.858952521,510987.5,25992.179093266186,0.0,0.0,0.0,0.0,1631850.0000000002,543950.0000000001,51984.3581865324,57760.397985036005,0.0,57760.397985036,51984.35818653237,27223.03803895379,249.07420389615535,40496.892153322166,20,-2029202.4649885194,197.98480608290836,220.0,194.3982619210032,0.0,0.0,168.0,52.142857142857146,157874.5578158283,4251427.417475922,135987.50000000003,0.2584190028138684,-524384.477509777,-112824840.07404123,-80798962.35997023
