initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
55605000.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-55605000.00000001,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-55605000.00000001,-55605000.00000001,-55605000.00000001
0.0,3931214.6190395406,0.0,4368016.243377268,574012.5,28080.104421711,0.0,0.0,0.0,0.0,0.0,0.0,56160.208843422,62400.23204824669,0.0,62400.23204824669,56160.208843422,29663.126279092536,269.0820815393092,45000.0,1,-1038894.2287594383,220.0,220.0,216.26673140204505,0.0,0.0,168.0,52.142857142857146,154970.4861693682,4564022.357558029,139012.50000000003,0.9345794392523363,-970929.1857564843,-56643894.228759445,-56575929.18575649
0.0,3879505.951375703,0.0,4310562.168195226,574012.5,27710.756795540732,0.0,0.0,0.0,0.0,0.0,0.0,55421.513591081464,61579.459545646074,0.0,61579.459545646074,55421.513591081464,29252.740027792726,265.54274897241686,44236.37687769104,2,-1032779.4736150638,216.26673140204505,220.0,212.55941790958067,0.0,0.0,168.0,52.142857142857146,155462.94967092838,4511016.86934011,139012.50000000003,0.8734387282732116,-902069.5900210182,-57676673.70237451,-57477998.77577751
0.0,3828156.7820680025,0.0,4253507.535631116,574012.5,27343.977014771448,0.0,0.0,0.0,0.0,0.0,0.0,54687.954029542896,60764.3933661588,0.0,60764.3933661588,54687.954029542896,28845.20693804894,262.0280231938467,43478.062754232415,3,-1026707.2305778847,212.55941790958067,220.0,208.8778790728258,0.0,0.0,168.0,52.142857142857146,155951.98937862087,4458379.895468793,139012.50000000003,0.8162978768908519,-838098.9325092136,-58703380.9329524,-58316097.708286725
0.0,3777164.611746919,0.0,4196849.56860769,574012.5,26979.747226763706,0.0,0.0,0.0,0.0,0.0,0.0,53959.49445352741,59954.9938372527,0.0,59954.9938372527,53959.49445352741,28440.507173595157,258.53773312783227,42725.02071944164,4,-1020677.2040875345,208.8778790728258,220.0,205.22193569655502,0.0,0.0,168.0,52.142857142857146,156437.62909596448,4406108.873892046,139012.50000000003,0.7628952120475251,-778669.7520444347,-59724058.13703993,-59094767.46033116
0.0,3726526.9584194976,0.0,4140585.509354998,574012.5,26618.04970299641,0.0,0.0,0.0,0.0,0.0,0.0,53236.09940599282,59151.22156221426,0.0,59151.22156221426,53236.09940599282,28038.621036076158,255.07170888799126,41977.21411974989,5,-1014689.1006384972,205.22193569655502,220.0,201.5914098313764,0.0,0.0,168.0,52.142857142857146,156919.89246098755,4354201.260370069,139012.50000000003,0.7129861794836683,-723459.3052279615,-60738747.23767842,-59818226.76555912
0.0,3678868.482007128,0.0,4087631.6466745883,574012.5,26277.632014336625,0.0,0.0,0.0,0.0,0.0,0.0,52555.26402867325,58394.73780963697,0.0,58394.73780963697,52555.26402867325,27635.358924943714,251.80960206382463,41234.6065564179,6,-1009053.2966817971,201.5914098313764,220.0,197.98480608290836,0.0,0.0,168.0,52.142857142857146,157398.8029473776,4302650.358312486,139012.50000000003,0.6663422238165123,-672374.8176603316,-61747800.53436022,-60490601.58321945
0.0,3638905.073057267,0.0,4043227.8589525195,574012.5,25992.17909326619,0.0,0.0,0.0,0.0,0.0,0.0,51984.35818653238,57760.397985036,0.0,57760.397985036,51984.35818653238,27223.038038953786,249.07420389615538,40496.892153322166,7,-1004327.4649885185,197.98480608290836,220.0,194.3982619210032,0.0,0.0,168.0,52.142857142857146,157874.55781582842,4251427.417475922,139012.50000000003,0.6227497418845909,-625444.6695892054,-62752127.999348745,-61116046.25280866
0.0,3599163.9367819442,0.0,3999071.0408688285,574012.5,25708.313834156743,0.0,0.0,0.0,0.0,0.0,0.0,51416.627668313486,57129.58629812612,0.0,57129.58629812612,51416.627668313486,26813.010442461913,246.3540197525805,39763.28084747793,8,-999627.9179210407,194.3982619210032,220.0,190.83166577615094,0.0,0.0,168.0,52.142857142857146,158347.66658101077,4200489.373757952,139012.50000000003,0.5820091045650382,-581792.5494074384,-63751755.91726979,-61697838.8022161
0.0,3559643.836921716,0.0,3955159.818801908,574012.5,25426.027406583686,0.0,0.0,0.0,0.0,0.0,0.0,50852.05481316737,56502.283125741546,0.0,56502.283125741546,50852.05481316737,26405.26338041264,243.64896501414714,39033.74981784906,9,-994954.5092867753,190.83166577615094,220.0,187.28490669938054,0.0,0.0,168.0,52.142857142857146,158818.14396029912,4149834.642587894,139012.50000000003,0.5439337425841478,-541189.32993733,-64746710.426556565,-62239028.13215343
0.0,3520343.5440930924,0.0,3911492.826770104,574012.5,25145.311029236374,0.0,0.0,0.0,0.0,0.0,0.0,50290.62205847275,55878.468953858624,0.0,55878.468953858624,50290.62205847275,25999.78416868875,240.9589555325447,38308.27637032784,10,-990307.0937062479,187.28490669938054,220.0,183.75787435880855,0.0,0.0,168.0,52.142857142857146,159286.00458921134,4099461.6482083597,139012.50000000003,0.5083492921347176,-503421.91008156055,-65737017.520262815,-62742450.04223499
0.0,3481261.835750296,0.0,3868068.706389218,574012.5,24866.15596964497,0.0,0.0,0.0,0.0,0.0,0.0,49732.31193928994,55258.124376988824,0.0,55258.124376988824,49732.31193928994,25596.560193722817,238.2839076274875,37586.83793702902,11,-985685.5266085677,183.75787435880855,220.0,180.25045903620696,0.0,0.0,168.0,52.142857142857146,159751.26302186362,4049368.823626129,139012.50000000003,0.4750927963875865,-468292.09319523524,-66722703.04687138,-63210742.135430224
0.0,3442397.4961472326,0.0,3824886.1068302603,574012.5,24588.553543908805,0.0,0.0,4500000.0,0.0,0.0,0.0,49177.10708781761,54641.23009757514,0.0,54641.23009757514,49177.10708781761,25195.5789121045,235.62373808411166,36869.41207558779,12,-5481089.664226936,180.25045903620696,220.0,176.76255162359013,0.0,0.0,168.0,52.142857142857146,160213.93373142398,3999554.6105634696,139012.50000000003,0.444011959240735,-2433669.3605875443,-72203792.71109831,-65644411.49601777
0.0,3403749.3162996783,0.0,3781943.684777421,574012.5,24312.495116426275,33880000.0,0.0,0.0,0.0,0.0,0.0,48624.99023285255,54027.766925391734,0.0,54027.766925391734,48624.99023285255,24796.827850185397,232.97836415038674,36155.97646846162,13,-34856519.36359417,176.76255162359013,220.0,173.29404361982063,220.0,0.0,168.0,52.142857142857146,160674.0311105615,3950017.459409672,139012.50000000003,0.41496444788853737,-14464216.313029965,-107060312.07469249,-80108627.80904773
0.0,3931214.6190395406,0.0,4368016.243377268,574012.5,28080.104421711,0.0,0.0,0.0,0.0,0.0,0.0,56160.208843422,62400.23204824669,0.0,62400.23204824669,56160.208843422,29663.126279092536,269.0820815393092,45000.0,14,-1038894.2287594383,220.0,220.0,216.26673140204505,0.0,0.0,168.0,52.142857142857146,154970.4861693682,4564022.357558029,139012.50000000003,0.3878172410173246,-402901.09350630664,-108099206.30345193,-80511528.90255404
0.0,3879505.951375703,0.0,4310562.168195226,574012.5,27710.756795540732,0.0,0.0,0.0,0.0,0.0,0.0,55421.513591081464,61579.459545646074,0.0,61579.459545646074,55421.513591081464,29252.740027792726,265.54274897241686,44236.37687769104,15,-1032779.4736150638,216.26673140204505,220.0,212.55941790958067,0.0,0.0,168.0,52.142857142857146,155462.94967092838,4511016.86934011,139012.50000000003,0.36244601964235945,-374326.80938011105,-109131985.77706699,-80885855.71193415
0.0,3828156.7820680025,0.0,4253507.535631116,574012.5,27343.977014771448,0.0,0.0,0.0,0.0,0.0,0.0,54687.954029542896,60764.3933661588,0.0,60764.3933661588,54687.954029542896,28845.20693804894,262.0280231938467,43478.062754232415,16,-1026707.2305778847,212.55941790958067,220.0,208.8778790728258,0.0,0.0,168.0,52.142857142857146,155951.98937862087,4458379.895468793,139012.50000000003,0.3387345977965976,-347781.26080465835,-110158693.00764488,-81233636.9727388
0.0,3777164.611746919,0.0,4196849.56860769,574012.5,26979.747226763706,0.0,0.0,0.0,0.0,0.0,0.0,53959.49445352741,59954.9938372527,0.0,59954.9938372527,53959.49445352741,28440.507173595157,258.53773312783227,42725.02071944164,17,-1020677.2040875345,208.8778790728258,220.0,205.22193569655502,0.0,0.0,168.0,52.142857142857146,156437.62909596448,4406108.873892046,139012.50000000003,0.31657439046410984,-323120.26374462305,-111179370.21173242,-81556757.23648342
0.0,3726526.9584194976,0.0,4140585.509354998,574012.5,26618.04970299641,0.0,0.0,0.0,0.0,0.0,0.0,53236.09940599282,59151.22156221426,0.0,59151.22156221426,53236.09940599282,28038.621036076158,255.07170888799126,41977.21411974989,18,-1014689.1006384972,205.22193569655502,220.0,201.5914098313764,0.0,0.0,168.0,52.142857142857146,156919.89246098755,4354201.260370069,139012.50000000003,0.295863916321598,-300209.89116374584,-112194059.31237091,-81856967.12764718
0.0,3678868.482007128,0.0,4087631.6466745883,574012.5,26277.632014336625,0.0,0.0,0.0,0.0,0.0,0.0,52555.26402867325,58394.73780963697,0.0,58394.73780963697,52555.26402867325,27635.358924943714,251.80960206382463,41234.6065564179,19,-1009053.2966817971,201.5914098313764,220.0,197.98480608290836,0.0,0.0,168.0,52.142857142857146,157398.8029473776,4302650.358312486,139012.50000000003,0.2765083330108392,-279011.6449845755,-113203112.6090527,-82135978.77263175
0.0,3638905.073057267,0.0,4043227.8589525195,574012.5,25992.17909326619,0.0,0.0,0.0,0.0,1668150.0000000002,556050.0000000001,51984.35818653238,57760.397985036,0.0,57760.397985036,51984.35818653238,27223.038038953786,249.07420389615538,40496.892153322166,20,-2116427.4649885194,197.98480608290836,220.0,194.3982619210032,0.0,0.0,168.0,52.142857142857146,157874.55781582842,4251427.417475922,139012.50000000003,0.2584190028138684,-546925.0750302166,-115319540.07404122,-82682903.84766197
