initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
53790000.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-53790000.00000001,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-53790000.00000001,-53790000.00000001,-53790000.00000001
0.0,3931214.6190395397,0.0,4368016.243377268,479475.0,28080.104421710996,0.0,0.0,0.0,0.0,0.0,0.0,56160.20884342199,62400.232048246675,0.0,62400.232048246675,56160.20884342199,29663.126279092547,269.0820815393091,45000.0,1,-944356.7287594392,220.0,220.0,216.26673140204505,0.0,0.0,168.0,52.142857142857146,154970.48616936812,4564022.357558029,134475.00000000003,0.9345794392523363,-882576.3820181674,-54734356.728759445,-54672576.38201817
0.0,3879505.951375703,0.0,4310562.168195226,479475.0,27710.75679554073,0.0,0.0,0.0,0.0,0.0,0.0,55421.51359108148,61579.45954564609,0.0,61579.459545646074,55421.51359108146,29252.740027792734,265.54274897241686,44236.37687769104,2,-938241.9736150638,216.26673140204505,220.0,212.55941790958067,0.0,0.0,168.0,52.142857142857146,155462.9496709284,4511016.869340085,134475.00000000003,0.8734387282732116,-819496.8762468895,-55672598.70237451,-55492073.25826506
0.0,3828156.7820680034,0.0,4253507.535631116,479475.0,27343.977014771448,0.0,0.0,0.0,0.0,0.0,0.0,54687.954029542896,60764.39336615879,0.0,60764.39336615879,54687.954029542896,28845.20693804894,262.0280231938467,43478.062754232415,3,-932169.7305778838,212.55941790958067,220.0,208.8778790728258,0.0,0.0,168.0,52.142857142857146,155951.98937862078,4458379.895468769,134475.00000000003,0.8162978768908519,-760928.1719726439,-56604768.4329524,-56253001.43023771
0.0,3777164.611746919,0.0,4196849.568607689,479475.0,26979.747226763713,0.0,0.0,0.0,0.0,0.0,0.0,53959.494453527426,59954.9938372527,0.0,59954.9938372527,53959.494453527426,28440.507173596685,258.5377331278324,42725.02071944164,4,-926139.7040875335,208.8778790728258,220.0,205.22193569655502,0.0,0.0,168.0,52.142857142857146,156437.62909596442,4406108.873892046,134475.00000000003,0.7628952120475251,-706547.545935491,-57530908.13703993,-56959548.9761732
0.0,3726526.9584195,0.0,4140585.509355,479475.0,26618.04970299641,0.0,0.0,0.0,0.0,0.0,0.0,53236.099405992856,59151.2215622143,0.0,59151.22156221426,53236.09940599282,28038.621036076922,255.07170888799126,41977.21411974989,5,-920151.6006384967,205.22193569655502,220.0,201.5914098313764,0.0,0.0,168.0,52.142857142857146,156919.8924609875,4354201.260370021,134475.00000000003,0.7129861794836683,-656055.3742850239,-58451059.73767842,-57615604.35045823
0.0,3678868.482007128,0.0,4087631.6466745874,479475.0,26277.63201433663,0.0,0.0,0.0,0.0,0.0,0.0,52555.26402867326,58394.73780963696,0.0,58394.73780963696,52555.26402867326,27635.35892494447,251.80960206382466,41234.6065564179,6,-914515.7966817962,201.5914098313764,220.0,197.98480608290836,0.0,0.0,168.0,52.142857142857146,157398.80294737758,4302650.3583124615,134475.00000000003,0.6663422238165123,-609380.4896762775,-59365575.53436022,-58224984.8401345
0.0,3638905.0730572664,0.0,4043227.8589525186,479475.0,25992.179093266182,0.0,0.0,0.0,0.0,0.0,0.0,51984.358186532365,57760.39798503598,0.0,57760.39798503598,51984.358186532365,27223.03803895379,249.07420389615532,40496.892153322166,7,-909789.964988518,197.98480608290836,220.0,194.3982619210032,0.0,0.0,168.0,52.142857142857146,157874.55781582836,4251427.41747597,134475.00000000003,0.6227497418845909,-566571.4658657906,-60275365.49934874,-58791556.30600029
0.0,3599163.936781946,0.0,3999071.04086883,479475.0,25708.313834156743,0.0,0.0,0.0,0.0,0.0,0.0,51416.62766831352,57129.586298126145,0.0,57129.58629812611,51416.627668313486,26813.010442461913,246.3540197525805,39763.28084747793,8,-905090.4179210407,194.3982619210032,220.0,190.83166577615094,0.0,0.0,168.0,52.142857142857146,158347.66658101074,4200489.373757952,134475.00000000003,0.5820091045650382,-526770.863684621,-61180455.91726978,-59318327.16968492
0.0,3559643.836921716,0.0,3955159.818801908,479475.0,25426.02740658369,0.0,0.0,0.0,0.0,0.0,0.0,50852.05481316738,56502.28312574154,0.0,56502.28312574154,50852.05481316738,26405.263380412638,243.64896501414717,39033.74981784906,9,-900417.0092867753,190.83166577615094,220.0,187.28490669938054,0.0,0.0,168.0,52.142857142857146,158818.14396029914,4149834.64258787,134475.00000000003,0.5439337425841478,-489767.19374778104,-62080872.92655656,-59808094.3634327
