initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
106975000.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-106975000.00000001,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-106975000.00000001,-106975000.00000001,-106975000.00000001
0.0,7135516.154671613,0.0,7928351.28296846,927437.5,50967.972533368666,0.0,0.0,0.0,0.0,0.0,0.0,101935.94506673735,113262.16118526374,0.0,113262.16118526374,101935.94506673733,55214.13817595191,244.20436503992013,90000.0,1,-1771240.600830216,440.0,440.0,432.89833597941447,0.0,0.0,168.0,52.142857142857146,124333.28135880744,7866229.55892221,267437.50000000006,0.9345794392523363,-1655365.0475048744,-108746240.60083023,-108630365.04750489
0.0,7056825.307749568,0.0,7840917.008610633,927437.5,50405.895055354056,0.0,0.0,0.0,0.0,0.0,0.0,100811.79011070811,112013.10012300905,0.0,112013.10012300905,100811.79011070811,54402.2484854862,241.51126647626955,88547.38690488023,2,-1761935.0959164202,432.89833597941447,440.0,425.83617073776253,0.0,0.0,168.0,52.142857142857146,125270.0771554985,7800372.81441484,267437.50000000006,0.8734387282732116,-1538942.349477177,-110508175.69674665,-110169307.39698206
0.0,6978572.131823736,0.0,7753969.035359708,927437.5,49846.94379874096,0.0,0.0,0.0,0.0,0.0,0.0,99693.88759748194,110770.98621942439,0.0,110770.98621942439,99693.88759748192,53594.87444815621,238.83314667034435,87102.85310545143,3,-1752681.3473347118,425.83617073776253,440.0,418.8132845865975,0.0,0.0,168.0,52.142857142857146,126201.66258318699,7734882.358848335,267437.50000000006,0.8162978768908519,-1430710.062695523,-112260857.04408136,-111600017.45967758
0.0,6900626.46068683,0.0,7667362.734096477,927437.5,49290.18900490591,0.0,0.0,0.0,0.0,0.0,0.0,98580.37800981183,109533.75334423537,0.0,109533.75334423537,98580.37800981181,52792.19369741301,236.16555084195613,85666.3536654404,4,-1743463.9624145525,418.8132845865975,440.0,411.82952317424883,0.0,0.0,168.0,52.142857142857146,127128.06662144906,7669648.697944025,267437.50000000006,0.7628952120475251,-1330080.3093034683,-114004321.00649591,-112930097.76898104
0.0,6803895.944668642,0.0,7559884.38296516,927437.5,48599.25674763316,0.0,0.0,0.0,0.0,0.0,0.0,97198.51349526634,107998.34832807371,0.0,107998.34832807368,97198.51349526632,52024.491189332366,232.85506653610258,84237.85701291452,5,-1732025.1950441496,411.82952317424883,440.0,404.89431553171926,0.0,0.0,168.0,52.142857142857146,128049.30963114602,7588610.021191,267437.50000000006,0.7129861794836683,-1234910.0265839836,-115736346.20154005,-114165007.79556502
0.0,6707837.936047531,0.0,7453153.262275037,927437.5,47913.12811462522,0.0,0.0,0.0,0.0,0.0,0.0,95826.25622925044,106473.61803250051,0.0,106473.61803250051,95826.25622925044,51262.12604154519,229.56759797828008,82819.2918133062,6,-1720665.9543421315,404.89431553171926,440.0,398.00732409470453,0.0,0.0,168.0,52.142857142857146,128964.14780849002,7508134.756190671,267437.50000000006,0.6663422238165123,-1146552.3784616974,-117457012.15588218,-115311560.17402673
0.0,6612447.759295884,0.0,7347164.176995427,927437.5,47231.769709256325,0.0,0.0,0.0,0.0,0.0,0.0,94463.53941851265,104959.48824279183,0.0,104959.48824279183,94463.53941851265,50505.06114669101,226.30298515424064,81410.58901937137,7,-1709385.6874088002,398.00732409470453,440.0,391.16821364577567,0.0,0.0,168.0,52.142857142857146,129872.62568231524,7428218.985889822,267437.50000000006,0.6227497418845909,-1064519.4956150444,-119166397.84329098,-116376079.66964178
0.0,6517720.771392133,0.0,7241911.968213482,927437.5,46555.14836708665,0.0,0.0,0.0,0.0,0.0,0.0,93110.29673417333,103455.8852601926,0.0,103455.88526019258,93110.2967341733,49753.25965539169,223.06106916221594,80011.68006390866,8,-1698183.8451884352,391.16821364577567,440.0,384.37665129806317,0.0,0.0,168.0,52.142857142857146,130774.78747187478,7348858.820468221,267437.50000000006,0.5820091045650382,-988358.4591249346,-120864581.68847942,-117364438.12876672
0.0,6423652.361594752,0.0,7137391.5128830625,927437.5,45883.231154248235,0.0,0.0,0.0,0.0,0.0,0.0,91766.46230849647,101962.73589832945,0.0,101962.73589832945,91766.46230849647,49006.684974459975,219.84169220518334,78622.49685642202,9,-1687059.8824425582,384.37665129806317,440.0,377.6323064790538,0.0,0.0,168.0,52.142857142857146,131670.6770889926,7270050.397149106,267437.50000000006,0.5439337425841478,-917648.7958205532,-122551641.57092199,-118282086.92458726
