initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
80382500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-80382500.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-80382500.0,-80382500.0,-80382500.0
0.0,5135775.675250727,0.0,5706417.416945252,703456.25,36684.11196607662,0.0,0.0,0.0,0.0,0.0,0.0,73368.22393215324,81520.2488135036,0.0,81520.2488135036,73368.22393215324,40388.33643614533,234.35423788573664,67500.0,1,-1310782.1036606012,330.0,330.0,324.7821033832569,0.0,0.0,168.0,52.142857142857146,112324.02928853102,5728903.768242559,200956.25,0.9345794392523363,-1225030.0034211224,-81693282.1036606,-81607530.00342113
0.0,5092412.524438504,0.0,5658236.138265004,703456.25,36374.37517456073,0.0,0.0,0.0,0.0,0.0,0.0,72748.75034912149,80831.9448323572,0.0,80831.94483235719,72748.75034912146,39768.86285311348,232.3755030648418,66432.70296475709,2,-1305654.2390010608,324.7821033832569,330.0,319.5859728495436,0.0,0.0,168.0,52.142857142857146,113012.33326967743,5680493.05490195,200956.25,0.8734387282732116,-1140408.9780776144,-82998936.34266166,-82747938.98149875
0.0,5037805.005031174,0.0,5597561.116701305,703456.25,35984.321464508386,0.0,0.0,0.0,0.0,0.0,0.0,71968.64292901679,79965.15881001863,0.0,79965.15881001863,71968.64292901677,39170.108685093204,229.88366845158055,65369.858082861196,3,-1299196.6831346396,319.5859728495436,330.0,314.4172524965762,0.0,0.0,168.0,52.142857142857146,113697.76603993103,5622672.561033583,200956.25,0.8162978768908519,-1060531.4941064431,-84298133.02579631,-83808470.47560519
0.0,4980532.3741521025,0.0,5533924.860169003,703456.25,35575.23124394355,0.0,0.0,0.0,0.0,0.0,0.0,71150.46248788718,79056.06943098575,0.0,79056.06943098565,71150.4624878871,38579.20058872218,227.27022023847843,64312.61982884514,4,-1292423.967260844,314.4172524965762,330.0,309.27728007395297,0.0,0.0,168.0,52.142857142857146,114379.58307420579,5562672.6620174255,200956.25,0.7628952120475251,-985984.0565587652,-85590556.99305715,-84794454.53216395
0.0,4923578.288191435,0.0,5470642.542434925,703456.25,35168.41634422453,0.0,0.0,0.0,0.0,0.0,0.0,70336.83268844907,78152.03632049893,0.0,78152.03632049893,70336.83268844907,37991.579066905746,224.6713077754379,63261.26183330856,5,-1285688.9205877148,309.27728007395297,330.0,304.1658956884232,0.0,0.0,168.0,52.142857142857146,115057.60790707084,5503006.476725311,200956.25,0.7129861794836683,-916678.4314943161,-86876245.91364487,-85711132.96365826
0.0,4866940.975432682,0.0,5407712.194925203,703456.25,34763.86411023344,0.0,0.0,0.0,0.0,0.0,0.0,69527.72822046687,77253.03135607432,0.0,77253.03135607432,69527.72822046687,37407.2258400301,222.08685021600098,62215.751390813835,6,-1278991.3336027544,304.1658956884232,330.0,299.08294033604716,0.0,0.0,168.0,52.142857142857146,115731.86163038929,5443672.149073297,200956.25,0.6663422238165123,-852245.9294749062,-88155237.24724762,-86563378.89313316
0.0,4810618.674013466,0.0,5345131.860014963,703456.25,34361.56195723905,0.0,0.0,0.0,0.0,0.0,0.0,68723.1239144781,76359.02657164233,0.0,76359.02657164233,68723.1239144781,36826.1227301489,219.5167671633711,61176.05597782783,7,-1272330.9979587365,299.08294033604716,330.0,294.0282558972501,0.0,0.0,168.0,52.142857142857146,116402.36521871328,5384667.833300761,200956.25,0.6227497418845909,-792343.800570567,-89427568.24520636,-87355722.69370373
0.0,4751640.586504143,0.0,5279600.651671271,703456.25,33940.28990360102,0.0,0.0,0.0,0.0,0.0,0.0,67880.57980720204,75422.86645244672,0.0,75422.86645244672,67880.57980720204,36252.96443084567,216.82549604403215,60142.14325171025,8,-1265356.6050707288,294.0282558972501,330.0,289.00317544076574,0.0,0.0,168.0,52.142857142857146,117069.13952993652,5324577.862786177,200956.25,0.5820091045650382,-736449.0646726715,-90692924.85027708,-88092171.7583764
0.0,4682039.321957912,0.0,5202265.91328657,703456.25,33443.13801398509,0.0,0.0,0.0,0.0,0.0,0.0,66886.27602797018,74318.08447552242,0.0,74318.08447552242,66886.27602797018,35700.57344238354,213.64947116677362,59114.28588561118,9,-1257125.9793426432,289.00317544076574,330.0,284.01303125793123,0.0,0.0,168.0,52.142857142857146,117732.00871609109,5259616.682543029,200956.25,0.5439337425841478,-683793.238843606,-91950050.82961972,-88775964.99722001
