initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
27197500.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-27197500.000000004,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-27197500.000000004,-27197500.000000004,-27197500.000000004
0.0,2000810.5615786514,0.0,2223122.8461985015,255493.75,14291.504011276076,0.0,0.0,0.0,0.0,0.0,0.0,28583.00802255216,31758.897802835738,0.0,31758.897802835734,28583.008022552152,14770.72691193455,273.9012355458492,22500.0,1,-492097.5386311263,110.0,110.0,108.11569546966523,0.0,0.0,168.0,52.142857142857146,142917.77391380793,2226340.5372152813,67993.75000000001,0.9345794392523363,-459904.2417113329,-27689597.53863113,-27657404.241711337
0.0,1974711.4813276567,0.0,2194123.8681418407,255493.75,14105.082009483256,0.0,0.0,0.0,0.0,0.0,0.0,28210.164018966516,31344.626687740583,0.0,31344.626687740572,28210.164018966512,14563.591354387532,270.3283983844353,22114.574073340613,2,-489011.21882366715,108.11569546966523,110.0,106.24449134225563,0.0,0.0,168.0,52.142857142857146,143166.33658286504,2201981.3956476925,67993.75000000001,0.8734387282732116,-427121.337080677,-28178608.757454798,-28084525.578792013
0.0,1949180.4730952727,0.0,2165756.0812169695,255493.75,13922.71766496623,0.0,0.0,0.0,0.0,0.0,0.0,27845.435329932465,30939.372588813854,0.0,30939.372588813847,27845.43532993246,14357.282197589126,266.83332751972347,21731.827774552286,3,-485992.0757866632,106.24449134225563,110.0,104.3861024746833,0.0,0.0,168.0,52.142857142857146,143413.1711495563,2177754.7870386066,67993.75000000001,0.8162978768908519,-396714.29965043114,-28664600.833241463,-28481239.878442444
0.0,1928588.3705294696,0.0,2142875.9672549665,255493.75,13775.631218067636,0.0,0.0,0.0,0.0,0.0,0.0,27551.26243613528,30612.513817928088,0.0,30612.513817928088,27551.262436135272,14144.823996513664,264.01436882189944,21351.702778912495,4,-483556.97794356477,104.3861024746833,110.0,102.538049789003,0.0,0.0,168.0,52.142857142857146,143658.31522772062,2153240.3792221607,67993.75000000001,0.7628952120475251,-368903.3032253162,-29148157.81118503,-28850143.18166776
0.0,1908110.799276985,0.0,2120123.1103077615,255493.75,13629.362851978462,0.0,0.0,0.0,0.0,0.0,0.0,27258.725703956927,30287.473004396594,0.0,30287.47300439659,27258.725703956923,13933.547467717604,261.21108890388047,20973.69200229607,5,-481135.42388275475,102.538049789003,110.0,100.70027579635544,0.0,0.0,168.0,52.142857142857146,143902.09583786936,2128862.3182072975,67993.75000000001,0.7129861794836683,-343042.9076884206,-29629293.235067785,-29193186.08935618
0.0,1887747.1223255615,0.0,2097496.8025839576,255493.75,13483.908016611153,0.0,0.0,0.0,0.0,0.0,0.0,26967.816033222305,29964.240036913685,0.0,29964.240036913685,26967.816033222305,13723.446038853966,258.4234005617865,20597.783685618157,6,-478727.33827500744,100.70027579635544,110.0,98.87272332762889,0.0,0.0,168.0,52.142857142857146,144144.52056348152,2104619.8456460806,67993.75000000001,0.6663422238165123,-318996.2391879282,-30108020.573342793,-29512182.32854411
0.0,1867496.7062059501,0.0,2074996.340228833,255493.75,13339.26218718532,0.0,0.0,0.0,0.0,0.0,0.0,26678.52437437072,29642.804860411903,0.0,29642.804860411827,26678.52437437064,13514.513174127911,255.6512170767572,20223.966135196817,7,-476332.6462100684,98.87272332762889,110.0,97.05533553168078,0.0,0.0,168.0,52.142857142857146,144385.5969458579,2080512.2074084587,67993.75000000001,0.6227497418845909,-296636.0324785242,-30584353.21955286,-29808818.361022633
0.0,1847358.9209721766,0.0,2052621.0233024189,255493.75,13195.420864086956,0.0,0.0,0.0,0.0,0.0,0.0,26390.841728173957,29323.157475748838,0.0,29323.1574757488,26390.841728173913,13306.742374096551,252.89445221225404,19852.227722389252,8,-473951.2731943291,97.05533553168078,110.0,95.24805587356919,0.0,0.0,168.0,52.142857142857146,144625.33248435517,2056538.6535587143,67993.75000000001,0.5820091045650382,-275843.95611929125,-31058304.492747188,-30084662.317141924
0.0,1827333.14018199,0.0,2030370.1557577671,255493.75,13052.379572728498,0.0,0.0,0.0,0.0,0.0,0.0,26104.759145457007,29005.287939396676,0.0,29005.287939396665,26104.759145456996,13100.127175467938,250.15302021137836,19482.55688323006,9,-471583.1451485057,95.24805587356919,110.0,93.45082813279413,0.0,0.0,168.0,52.142857142857146,144863.73463661922,2032698.438332298,67993.75000000001,0.5439337425841478,-256509.9850802301,-31529887.637895692,-30341172.302222155
0.0,1807418.740877343,0.0,2008243.0454192704,255493.75,12910.133863409586,0.0,0.0,0.0,0.0,0.0,0.0,25820.267726819184,28689.18636313243,0.0,28689.186363132423,25820.267726819173,12894.661150895949,247.4268357942026,19114.942118071525,10,-469228.18840533704,93.45082813279413,110.0,91.66359640154872,0.0,0.0,168.0,52.142857142857146,145100.8108188174,2008990.8201124964,67993.75000000001,0.5083492921347176,-238531.81742550898,-31999115.82630103,-30579704.119647663
0.0,1787615.1035650184,0.0,1986239.003961132,255493.75,12768.679311178701,0.0,0.0,0.0,0.0,0.0,0.0,25537.358622357402,28374.84291373045,0.0,28374.84291373045,25537.358622357402,12690.33790878496,244.71581415511864,18749.371991225875,11,-466886.32970729214,91.66359640154872,110.0,89.88630508297994,0.0,0.0,168.0,52.142857142857146,145336.56840586895,1985415.0614073628,67993.75000000001,0.4750927963875865,-221814.3319757741,-32466002.15600832,-30801518.451623436
0.0,1767921.612197365,0.0,1964357.3468859615,255493.75,12628.011515695463,0.0,0.0,2250000.0,0.0,0.0,0.0,25256.023031390927,28062.24781265659,0.0,28062.24781265659,25256.023031390927,12487.151093086739,242.01987096019877,18385.835130609536,12,-2714557.4962042924,89.88630508297994,110.0,88.11889888945922,0.0,0.0,168.0,52.142857142857146,145571.01473167428,1961970.428826823,67993.75000000001,0.444011959240735,-1205295.992361292,-35180559.65221261,-32006814.44398473
0.0,1748337.654153128,0.0,1942597.3935034752,255493.75,12488.126101093769,16940000.0,0.0,0.0,0.0,0.0,0.0,24976.25220218754,27751.391335763936,0.0,27751.391335763936,24976.252202187537,12285.094383106245,239.33892234457255,18024.320227389388,13,-17402241.61545144,88.11889888945922,110.0,86.36132284086246,110.0,0.0,168.0,52.142857142857146,145804.15708934385,1938656.1930598496,67993.75000000001,0.41496444788853737,-7221311.583978736,-52582801.26766405,-39228126.02796347
0.0,2000810.5615786514,0.0,2223122.8461985015,255493.75,14291.504011276076,0.0,0.0,0.0,0.0,0.0,0.0,28583.00802255216,31758.897802835738,0.0,31758.897802835734,28583.008022552152,14770.72691193455,273.9012355458492,22500.0,14,-492097.5386311263,110.0,110.0,108.11569546966523,0.0,0.0,168.0,52.142857142857146,142917.77391380793,2226340.5372152813,67993.75000000001,0.3878172410173246,-190843.90974333973,-53074898.80629518,-39418969.937706806
0.0,1974711.4813276567,0.0,2194123.8681418407,255493.75,14105.082009483256,0.0,0.0,0.0,0.0,0.0,0.0,28210.164018966516,31344.626687740583,0.0,31344.626687740572,28210.164018966512,14563.591354387532,270.3283983844353,22114.574073340613,15,-489011.21882366715,108.11569546966523,110.0,106.24449134225563,0.0,0.0,168.0,52.142857142857146,143166.33658286504,2201981.3956476925,67993.75000000001,0.36244601964235945,-177240.169823097,-53563910.02511884,-39596210.1075299
0.0,1949180.4730952727,0.0,2165756.0812169695,255493.75,13922.71766496623,0.0,0.0,0.0,0.0,0.0,0.0,27845.435329932465,30939.372588813854,0.0,30939.372588813847,27845.43532993246,14357.282197589126,266.83332751972347,21731.827774552286,16,-485992.0757866632,106.24449134225563,110.0,104.3861024746833,0.0,0.0,168.0,52.142857142857146,143413.1711495563,2177754.7870386066,67993.75000000001,0.3387345977965976,-164622.33032392894,-54049902.10090551,-39760832.43785383
0.0,1928588.3705294696,0.0,2142875.9672549665,255493.75,13775.631218067636,0.0,0.0,0.0,0.0,0.0,0.0,27551.26243613528,30612.513817928088,0.0,30612.513817928088,27551.262436135272,14144.823996513664,264.01436882189944,21351.702778912495,17,-483556.97794356477,104.3861024746833,110.0,102.538049789003,0.0,0.0,168.0,52.142857142857146,143658.31522772062,2153240.3792221607,67993.75000000001,0.31657439046410984,-153081.75554715103,-54533459.07884907,-39913914.19340098
0.0,1908110.799276985,0.0,2120123.1103077615,255493.75,13629.362851978462,0.0,0.0,0.0,0.0,0.0,0.0,27258.725703956927,30287.473004396594,0.0,30287.47300439659,27258.725703956923,13933.547467717604,261.21108890388047,20973.69200229607,18,-481135.42388275475,102.538049789003,110.0,100.70027579635544,0.0,0.0,168.0,52.142857142857146,143902.09583786936,2128862.3182072975,67993.75000000001,0.295863916321598,-142350.6107910039,-55014594.50273182,-40056264.804191984
0.0,1887747.1223255615,0.0,2097496.8025839576,255493.75,13483.908016611153,0.0,0.0,0.0,0.0,0.0,0.0,26967.816033222305,29964.240036913685,0.0,29964.240036913685,26967.816033222305,13723.446038853966,258.4234005617865,20597.783685618157,19,-478727.33827500744,100.70027579635544,110.0,98.87272332762889,0.0,0.0,168.0,52.142857142857146,144144.52056348152,2104619.8456460806,67993.75000000001,0.2765083330108392,-132372.09827313843,-55493321.84100683,-40188636.90246512
0.0,1867496.7062059501,0.0,2074996.340228833,255493.75,13339.26218718532,0.0,0.0,0.0,0.0,815925.0000000001,271975.00000000006,26678.52437437072,29642.804860411903,0.0,29642.804860411827,26678.52437437064,13514.513174127911,255.6512170767572,20223.966135196817,20,-1020282.6462100684,98.87272332762889,110.0,97.05533553168078,0.0,0.0,168.0,52.142857142857146,144385.5969458579,2080512.2074084587,67993.75000000001,0.2584190028138684,-263660.4240219008,-56513604.4872169,-40452297.32648702
