initial_capex_eur,energy_sales_eur,grid_service_eur,energy_purchase_eur,fixed_om_eur,variable_om_eur,replacement_eur,augmentation_eur,inverter_replacement_eur,wind_overhaul_eur,decommission_eur,residual_eur,export_mwh,import_mwh,wind_generated_mwh,battery_charge_mwh,battery_discharge_mwh,net_renewable_gain_proxy_mwh,efc,support_eligible_kw_year,year,net_cashflow_eur,available_battery_mwh,installed_battery_mwh,post_age_available_battery_mwh,replaced_mwh,augmented_mwh,operating_block_hours,annualisation_factor,annual_dispatch_down_mwh,model_dispatch_cost_saving_eur,insurance_component_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur,cumulative_discounted_cashflow_eur
53790000.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-53790000.00000001,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-53790000.00000001,-53790000.00000001,-53790000.00000001
0.0,3717985.960605089,0.0,4131095.5117834327,479475.0,26557.04257575063,0.0,0.0,0.0,0.0,0.0,0.0,53114.08515150126,59015.650168334745,0.0,59015.65016833473,53114.08515150126,27728.602881758194,254.4870983558689,45000.0,1,-919141.5937540946,220.0,220.0,216.37376127872363,0.0,0.0,168.0,52.142857142857146,127234.22270743545,4133235.254159252,134475.00000000003,0.9345794392523363,-859010.8352842004,-54709141.593754105,-54649010.83528421
0.0,3667759.739804652,0.0,4075288.599782948,479475.0,26198.28385574752,0.0,0.0,0.0,0.0,0.0,0.0,52396.56771149504,58218.40856832783,0.0,58218.40856832783,52396.56771149504,27329.982081754737,251.04923567206149,44258.269352466195,2,-913202.1438340438,216.37376127872363,220.0,212.77273355046185,0.0,0.0,168.0,52.142857142857146,127712.56766743958,4086357.4480788438,134475.00000000003,0.8734387282732116,-797626.1191667776,-55622343.73758815,-55446636.95445099
0.0,3617882.7108250177,0.0,4019869.6786944657,479475.0,25842.019363035844,0.0,0.0,0.0,0.0,0.0,0.0,51684.03872607169,57426.70969563523,0.0,57426.70969563523,51684.03872607169,26934.13264540788,247.63527431929376,43521.695498958106,3,-907303.9872324839,212.77273355046185,220.0,209.19674153878702,0.0,0.0,168.0,52.142857142857146,128187.58699105511,4039805.554364512,134475.00000000003,0.8162978768908519,-740630.3184724812,-56529647.724820636,-56187267.27292347
0.0,3568352.4459516252,0.0,3964836.0510573615,479475.0,25488.23175679732,0.0,0.0,0.0,0.0,0.0,0.0,50976.46351359464,56640.515015105164,0.0,56640.515015105164,50976.46351359464,26541.035305142952,244.2450481264073,42790.242587479166,4,-901446.8368625338,209.19674153878702,220.0,205.64561118586005,0.0,0.0,168.0,52.142857142857146,128659.30379937311,3993577.3071493455,134475.00000000003,0.7628952120475251,-687709.4757578135,-57431094.56168317,-56874976.748681284
0.0,3519166.5343483025,0.0,3910185.038164781,479475.0,25136.90381677359,0.0,0.0,0.0,0.0,0.0,0.0,50273.80763354718,55859.78625949688,0.0,55859.78625949688,50273.80763354718,26150.670927338404,240.87839207752847,42063.87501528955,5,-895630.4076332524,205.64561118586005,220.0,202.11916964395817,0.0,0.0,168.0,52.142857142857146,129127.7410527381,3947670.456319571,134475.00000000003,0.7129861794836683,-638572.1025678331,-58326724.96931642,-57513548.85124912
0.0,3470322.5819399427,0.0,3855913.9799332707,479475.0,24788.01844242812,0.0,0.0,0.0,0.0,0.0,0.0,49576.03688485634,55084.48542761816,0.0,55084.48542761805,49576.03688485624,25763.020511399583,237.53514230403707,41342.55742717326,6,-889854.4164357563,202.11916964395817,220.0,198.6172452670619,0.0,0.0,168.0,52.142857142857146,129592.92155186534,3902082.7674051193,134475.00000000003,0.6663422238165123,-592947.5707207466,-59216579.38575218,-58106496.42196987
0.0,3421818.2112959344,0.0,3802020.234773261,479475.0,24441.558652113818,0.0,0.0,0.0,0.0,0.0,0.0,48883.117304227635,54314.57478247515,0.0,54314.57478247515,48883.117304227635,25378.06518882846,234.21513607659,40626.25471371721,7,-884118.5821294403,198.6172452670619,220.0,195.13966760250023,0.0,0.0,168.0,52.142857142857146,130054.86793895108,3856812.0214707027,134475.00000000003,0.6227497418845909,-550584.6188164793,-60100697.96788162,-58657081.04078635
0.0,3373651.061514504,0.0,3748501.179460561,479475.0,24097.507582246457,0.0,0.0,0.0,0.0,0.0,0.0,48195.015164492914,53550.01684943658,0.0,53550.01684943658,48195.015164492914,24995.78622230842,230.91821179720034,39914.93200960232,8,-878422.6255283034,195.13966760250023,220.0,191.68626738265408,0.0,0.0,168.0,52.142857142857146,130513.60269877431,3811856.0150080305,134475.00000000003,0.5820091045650382,-511249.9657133977,-60979120.593409926,-59168331.006499745
0.0,3325818.788107745,0.0,3695354.209008605,479475.0,23755.84848648389,0.0,0.0,0.0,0.0,0.0,0.0,47511.69697296778,52790.77441440865,0.0,52790.77441440864,47511.69697296778,24616.16500479491,227.64420899137215,39208.55469190652,9,-872766.2693873444,191.68626738265408,220.0,188.25687651671734,0.0,0.0,168.0,52.142857142857146,130969.148159791,3767212.5598284155,134475.00000000003,0.5439337425841478,-474727.0233090628,-61851886.86279727,-59643058.029808804
0.0,3278319.0628875275,0.0,3642576.7365416978,479475.0,23416.564734910906,0.0,0.0,0.0,0.0,0.0,0.0,46833.12946982182,52036.81052202426,0.0,52036.81052202425,46833.12946982181,24239.183058603096,224.39296830028923,38507.08837841946,10,-867149.2383890813,188.25687651671734,220.0,184.85132808251524,0.0,0.0,168.0,52.142857142857146,131421.52649522174,3722879.482956204,134475.00000000003,0.5083492921347176,-440814.70151024894,-62719036.10118635,-60083872.731319055
0.0,3231149.573852175,0.0,3590166.1931690844,479475.0,23079.63981322982,0.0,0.0,0.0,0.0,0.0,0.0,46159.27962645965,51288.08847384406,0.0,51288.08847384406,46159.27962645964,23864.82203451263,221.1643314730587,37810.49892596903,11,-861571.2591301394,184.85132808251524,220.0,181.46945631837946,0.0,0.0,168.0,52.142857142857146,131870.75972412972,3678854.626523204,134475.00000000003,0.4750927963875865,-409326.2987873118,-63580607.36031649,-60493199.030106366
0.0,3184308.0250739246,0.0,3538120.0278599174,479475.0,22745.057321956607,0.0,0.0,4500000.0,0.0,0.0,0.0,45490.11464391321,50544.571826570245,0.0,50544.571826570245,45490.11464391321,23493.06371087556,217.9581413590079,37118.752428759435,12,-5356032.060107948,181.46945631837946,220.0,178.11109661508007,0.0,0.0,168.0,52.142857142857146,132316.86971249408,3635135.847663523,134475.00000000003,0.444011959240735,-2378142.2887647203,-68936639.42042445,-62871341.31887109
0.0,3137792.136587183,0.0,3486435.7073190925,479475.0,22412.800975622722,33880000.0,0.0,0.0,0.0,0.0,0.0,44825.601951245466,49806.22439027275,0.0,49806.22439027273,44825.601951245444,23123.889992726934,214.77424190003575,36431.81521672092,13,-34730531.37170754,178.11109661508007,220.0,174.77608550781312,220.0,0.0,168.0,52.142857142857146,132759.87817427248,3591721.01840921,134475.00000000003,0.41496444788853737,-14411935.775536144,-103667170.79213199,-77283277.09440723
