snapshot,duration_h,project_wind_mw,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,pcc_export_mw,pcc_import_mw,charge_mw__Croaghonagh,discharge_mw__Croaghonagh,soc_mwh__Croaghonagh
2030-01-14 06:00:00,1.0,0.0,0.0,0.0,31.0,0.0,0.0,-0.0,-0.0,31.0
2030-01-14 07:00:00,1.0,0.0,6.414953240586016,0.0,37.08575899711897,0.0,6.414953240586016,6.414953240586016,-0.0,37.08575899711897
2030-01-14 08:00:00,1.0,0.0,0.0,0.0,37.08575899711897,0.0,0.0,-0.0,-0.0,37.08575899711897
2030-01-14 09:00:00,1.0,0.0,85.0,0.0,117.72383933141265,0.0,85.0,85.0,-0.0,117.72383933141265
2030-01-14 10:00:00,1.0,0.0,85.0,0.0,198.36191966570632,0.0,85.0,85.0,-0.0,198.36191966570632
2030-01-14 11:00:00,1.0,0.0,85.0,0.0,279.0,0.0,85.0,85.0,-0.0,279.0
2030-01-14 12:00:00,1.0,0.0,0.0,60.727742483024144,214.9873388644915,60.727742483024144,0.0,-0.0,60.727742483024144,214.9873388644915
2030-01-14 13:00:00,1.0,0.0,0.0,70.38698436504811,140.79294278975397,70.38698436504811,0.0,-0.0,70.38698436504811,140.79294278975397
2030-01-14 14:00:00,1.0,0.0,0.0,0.0,140.79294278975397,0.0,0.0,-0.0,-0.0,140.79294278975397
2030-01-14 15:00:00,1.0,0.0,37.96683010576973,0.0,176.81144039101912,0.0,37.96683010576973,37.96683010576973,-0.0,176.81144039101912
2030-01-14 16:00:00,1.0,0.0,0.0,0.0,176.81144039101912,0.0,0.0,-0.0,-0.0,176.81144039101912
2030-01-14 17:00:00,1.0,0.0,0.0,0.0,176.81144039101912,0.0,0.0,-0.0,-0.0,176.81144039101912
2030-01-14 18:00:00,1.0,0.0,0.0,0.0,176.81144039101912,0.0,0.0,-0.0,-0.0,176.81144039101912
2030-01-14 19:00:00,1.0,0.0,0.0,2.5579538487363607e-13,176.8114403910189,2.5579538487363607e-13,0.0,-0.0,2.5579538487363607e-13,176.8114403910189
2030-01-14 20:00:00,1.0,0.0,0.0,53.32887816364768,120.59786703810408,53.32887816364768,0.0,-0.0,53.32887816364768,120.59786703810408
2030-01-14 21:00:00,1.0,0.0,0.0,85.0,31.0,85.0,0.0,-0.0,85.0,31.0
2030-01-14 22:00:00,1.0,0.0,0.0,0.0,31.0,0.0,0.0,-0.0,-0.0,31.0
2030-01-14 23:00:00,1.0,0.0,0.0,0.0,31.0,0.0,0.0,-0.0,-0.0,31.0
2030-01-15 00:00:00,1.0,0.0,0.0,0.0,31.0,0.0,0.0,-0.0,-0.0,31.0
2030-01-15 01:00:00,1.0,0.0,0.0,0.0,31.0,0.0,0.0,-0.0,-0.0,31.0
2030-01-15 02:00:00,1.0,0.0,6.414953240586016,0.0,37.08575899711897,0.0,6.414953240586016,6.414953240586016,-0.0,37.08575899711897
2030-01-15 03:00:00,1.0,0.0,85.0,0.0,117.72383933141265,0.0,85.0,85.0,-0.0,117.72383933141265
2030-01-15 04:00:00,1.0,0.0,85.0,0.0,198.36191966570632,0.0,85.0,85.0,-0.0,198.36191966570632
2030-01-15 05:00:00,1.0,0.0,85.0,0.0,279.0,0.0,85.0,85.0,-0.0,279.0
