npv_eur,irr,irr_status,all_irrs,simple_payback_years,discounted_payback_years,sustained_discounted_payback_years,lifecycle_cost_pv_eur,equivalent_annual_cost_eur,lcos_eur_mwh,delivered_lcoe_eur_mwh,hybrid_levelised_export_cost_eur_mwh,additional_break_even_payment_eur_kw_year,initial_capex_eur,undiscounted_lifetime_replacements_eur,year_1_net_cashflow_eur,year_1_project_revenue_eur,year_1_operating_cost_eur,lifetime_project_revenue_eur,lifetime_energy_purchase_eur,lifetime_fixed_and_variable_om_eur,lifetime_maintenance_capex_eur,lifetime_decommission_eur,lifetime_residual_eur,lifetime_net_project_cashflow_eur,lifetime_system_dispatch_cost_saving_eur,pv_system_dispatch_cost_saving_eur,system_saving_included_in_project_cashflow,lifetime_net_renewable_gain_mwh,lifetime_battery_discharge_mwh,lifetime_efc,battery_energy_capex_eur,battery_power_capex_eur,battery_other_bop_capex_eur,wind_capex_eur,connection_capex_eur,shared_site_capex_eur,contingency_eur,site_count,block_hours,annualisation_factor,year_1_project_wind_acceptance_ratio,year_1_added_wind_available_mwh,year_1_total_dispatch_down_change_mwh,year_1_net_renewable_gain_proxy_mwh,block_binding_branch_hours,block_unserved_mwh,new_binding_branches,year_1_passive_constraint_dd_mwh,year_1_passive_constraint_relief_mwh,bus,wind_mw,battery_mw,battery_mwh,maintenance,connection_export_mw,connection_import_mw,battery_placements,case_id,technology,sites,allocations,dlr_label,dlr_mean_multiplier,dlr_max_multiplier,years,assumptions_status,result_scope,lifetime_total_project_cost_undiscounted_eur,scenario
-41129703.0863509,,no_real_irr,,,,,62814744.04237979,5929267.469973967,202.76798609154213,,,186.63213085473205,27197500.000000004,19190000.0,-509027.0952632632,2143973.2552463845,2653000.350509648,40761593.34223583,45290659.269150935,5401029.238158828,19190000.0,815925.0000000001,271975.00000000006,-56861545.16507392,47876313.00940525,25477465.609218925,False,281012.8387330078,582308.4763176542,5580.063896927291,15400000.0,5625000.0,1800000.0,0.0,1600000.0,300000.0,2472500.0,1,168.0,52.142857142857146,,0.0,-18478.32976899941,15075.197617814669,62.0,0.0,,29753.608044344644,938.4023846406584,Croaghonagh,0.0,22.5,110.0,replace,,,"(('Croaghonagh', 1.0),)",bess_5fae7d20e8,bess,Croaghonagh,1.0,none,1.0,1.0,20,illustrative_q2_derived_economic_downsizing_not_market_quotes,conditional_design_screen,97623138.50730976,fixed_lines
-79856991.61612435,,no_real_irr,,,,,119199182.2434163,11251559.558159592,212.08637912630348,,,181.28356417359663,53790000.00000001,38380000.0,-944356.7287594392,3931214.61903954,4875571.347798979,73927244.92142208,82141383.24602455,10117551.74943873,38380000.0,1613700.0000000002,537900.0000000001,-111577490.0740412,86144340.6229881,45836806.15002968,False,553004.2217845875,1056103.498877458,5060.140153524011,30800000.0,11250000.0,3600000.0,0.0,2950000.0,300000.0,4890000.0,1,168.0,52.142857142857146,,0.0,-35903.14948391799,29663.126279092547,63.0,0.0,,29185.55382151296,1506.4566074723466,Croaghonagh,0.0,45.0,220.0,replace,,,"(('Croaghonagh', 1.0),)",bess_7c9ae7b89d,bess,Croaghonagh,1.0,none,1.0,1.0,20,illustrative_q2_derived_economic_downsizing_not_market_quotes,conditional_design_screen,185504734.99546328,fixed_lines
-92444917.00939502,,no_real_irr,,,,,134902451.30373532,12733837.068496652,222.41450777136333,,,151.35788462236735,62243060.00000001,41167680.0,-1118603.3322969358,4206672.212712346,5325275.5450092815,79787552.68727839,88652836.31919856,12992864.090623416,41167680.0,1867291.8,622430.6000000001,-126513748.92254356,91894369.29723118,48916578.63036549,False,579760.9689732565,1139822.1812468343,5294.720930021236,31768800.0,15555000.0,4977600.0,0.0,3983200.0,300000.0,5658460.0,1,168.0,52.142857142857146,,0.0,-37713.88158838112,31036.62410788506,69.0,0.0,,29204.19287346062,1487.817555524685,Croaghonagh,0.0,62.22,226.92,replace,,,"(('Croaghonagh', 1.0),)",bess_5b04fafa56,bess,Croaghonagh,1.0,none,1.0,1.0,20,illustrative_q2_derived_economic_downsizing_not_market_quotes,conditional_design_screen,206301301.609822,fixed_lines
-118941650.80609012,,no_real_irr,,,,,174801966.47737366,16500069.041473798,219.04884543476487,,,179.6163847303545,80382500.0,57570000.00000001,-1366971.0850973334,5610930.820286176,6977901.90538351,104902609.85421664,116558455.39357406,14818429.356101546,57570000.00000001,2411475.0,803825.0,-166034424.89545894,119739807.0629725,63690273.36691293,False,795545.681800637,1498608.7122030947,4786.885709023788,46200000.0,16875000.0,5400000.0,0.0,4300000.0,300000.0,7307500.0,1,168.0,52.142857142857146,,0.0,-51586.700690290745,42680.46129301037,67.0,0.0,,28928.87858774606,1763.131841239242,Croaghonagh,0.0,67.5,330.0,replace,,,"(('Croaghonagh', 1.0),)",bess_57f6d83931,bess,Croaghonagh,1.0,none,1.0,1.0,20,illustrative_q2_derived_economic_downsizing_not_market_quotes,conditional_design_screen,270937034.74967563,fixed_lines
-124119703.65624572,,no_real_irr,,,,,178404682.5779508,16840139.954829607,230.05125963976897,,,149.03420535994996,84810000.0,56240000.00000001,-1474825.1777945124,5393478.013564322,6868303.1913588345,102033172.02354704,113370191.1372745,17469308.37159676,56240000.00000001,2544300.0,848100.0,-171552527.48532423,118070121.86458474,62839523.2086001,False,759382.7477168768,1457616.7431935286,4956.332111922888,43400000.0,21250000.0,6800000.0,0.0,5350000.0,300000.0,7710000.0,1,168.0,52.142857142857146,,0.0,-49391.77429733712,40830.69808532992,69.0,0.0,,28485.561904216316,2206.44852476899,Croaghonagh,0.0,85.0,310.0,replace,,,"(('Croaghonagh', 1.0),)",bess_f11231f128,bess,Croaghonagh,1.0,none,1.0,1.0,20,illustrative_q2_derived_economic_downsizing_not_market_quotes,conditional_design_screen,273585699.50887126,fixed_lines
-157909623.83724087,,no_real_irr,,,,,229301322.5383749,21644422.71119514,224.8313581230317,,,178.54454174971673,106975000.0,76760000.0,-1771240.600830216,7135516.154671613,8906756.75550183,134099753.84634192,148999726.4959355,19506605.38461673,76760000.0,3209250.0000000005,1069750.0000000002,-220281078.03421035,150114122.10337627,79816204.89951041,False,1027014.4737308782,1915710.769233456,4589.4010370385895,61600000.0,22500000.0,7200000.0,0.0,5650000.0,300000.0,9725000.0,1,168.0,52.142857142857146,,0.0,-66540.35429447866,55214.13817595191,68.0,0.0,,28013.66658454496,2678.343844440346,Croaghonagh,0.0,90.0,440.0,replace,,,"(('Croaghonagh', 1.0),)",bess_0f03f4b792,bess,Croaghonagh,1.0,none,1.0,1.0,20,illustrative_q2_derived_economic_downsizing_not_market_quotes,conditional_design_screen,354380831.88055223,fixed_lines
-40452297.32648702,,no_real_irr,,,,,60570025.82531705,5717381.94999623,210.75449984419345,,,183.82872329157212,27197500.000000004,19190000.0,-492097.5386311263,2000810.5615786517,2492908.1002097777,37819276.20062611,42021418.00069568,5380012.68714733,19190000.0,815925.0000000001,271975.00000000006,-56513604.4872169,42130892.53606871,22413277.54709964,False,274779.9763676871,540275.3742946585,5177.274989306388,15400000.0,5625000.0,1800000.0,0.0,1600000.0,300000.0,2472500.0,1,168.0,52.142857142857146,,0.0,-17946.616692218697,14770.72691193455,35.0,0.0,,276.0760738659104,406.6893078599414,Croaghonagh,0.0,22.5,110.0,replace,,,"(('Croaghonagh', 1.0),)",bess_5fae7d20e8,bess,Croaghonagh,1.0,q3_selected_wind_proxy_40pct,1.095551488386187,1.2795012677194428,20,illustrative_q2_derived_economic_downsizing_not_market_quotes,conditional_design_screen,94332880.68784302,q3_dlr
-79580949.85455304,,no_real_irr,,,,,116588827.59875897,11005160.54602289,220.52650487883977,,,180.22043125604915,53790000.00000001,38380000.0,-919141.5937540946,3717985.960605089,4637127.554359184,69497615.01756419,77219572.241738,10085911.535839744,38380000.0,1613700.0000000002,537900.0000000001,-111053668.76001357,78126741.16828327,41565735.90803078,False,515983.929107082,992823.0716794884,4756.942757684538,30800000.0,11250000.0,3600000.0,0.0,2950000.0,300000.0,4890000.0,1,168.0,52.142857142857146,,0.0,-33630.1678985912,27728.602881758197,38.0,0.0,,1449.290359580291,-766.5249778544393,Croaghonagh,0.0,45.0,220.0,replace,,,"(('Croaghonagh', 1.0),)",bess_7c9ae7b89d,bess,Croaghonagh,1.0,q3_selected_wind_proxy_40pct,1.095551488386187,1.2795012677194428,20,illustrative_q2_derived_economic_downsizing_not_market_quotes,conditional_design_screen,180551283.77757776,q3_dlr
-90907513.8551756,,no_real_irr,,,,,128948129.83868805,12171791.24459497,237.28241132110952,,,148.8736485200315,62243060.00000001,41167680.0,-1073130.7724337596,3822139.156151233,4895269.928584993,71436354.50030893,79373727.2225655,12933212.675002204,41167680.0,1867291.8,622430.6000000001,-125526186.59725872,83493584.60317242,44413957.48225176,False,537785.8185393413,1020519.3500044128,4740.533436583393,31768800.0,15555000.0,4977600.0,0.0,3983200.0,300000.0,5658460.0,1,168.0,52.142857142857146,,0.0,-34942.85650130062,28875.968951854346,42.0,0.0,,1965.9729132816635,-1283.2075315558116,Croaghonagh,0.0,62.22,226.92,replace,,,"(('Croaghonagh', 1.0),)",bess_5b04fafa56,bess,Croaghonagh,1.0,q3_selected_wind_proxy_40pct,1.095551488386187,1.2795012677194428,20,illustrative_q2_derived_economic_downsizing_not_market_quotes,conditional_design_screen,196962541.09756774,q3_dlr
-117046342.0129398,,no_real_irr,,,,,168545808.3396349,15909531.970940158,229.09376398059408,,,177.0785607918207,80382500.0,57570000.00000001,-1310782.1036606012,5135775.675250727,6446557.778911328,96701384.95914684,107445983.28794096,14759849.178279622,57570000.00000001,2411475.0,803825.0,-165064597.50707373,108391067.2117626,57689652.67801529,False,745740.7744528428,1381448.3565592407,4412.64977436728,46200000.0,16875000.0,5400000.0,0.0,4300000.0,300000.0,7307500.0,1,168.0,52.142857142857146,,0.0,-48540.36131749562,40388.33643614533,43.0,0.0,,1965.9729132817345,-1283.2075315558827,Croaghonagh,0.0,67.5,330.0,replace,,,"(('Croaghonagh', 1.0),)",bess_57f6d83931,bess,Croaghonagh,1.0,q3_selected_wind_proxy_40pct,1.095551488386187,1.2795012677194428,20,illustrative_q2_derived_economic_downsizing_not_market_quotes,conditional_design_screen,261765982.4662206,q3_dlr
