wind_farm,nearest_substation,mapping_method,installed_capacity_mw,monitored_line,component,line_bus0,line_bus1,positive_flow_orientation,single_slack_bus,shift_factor_load_weighted,shift_factor_uniform,shift_factor_single_slack,primary_reference,primary_shift_factor,reference_range_min,reference_range_max,reference_range_width
Moy wind,Moy,official_model_generator_bus_assignment,36.0,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,0.0,0.0,,load_weighted,0.0,0.0,0.0,0.0
Corderry wind,Corderry,official_model_generator_bus_assignment,161.603,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,0.5787987642873462,0.5837103333387765,0.8171944666742862,load_weighted,0.5787987642873462,0.5787987642873462,0.8171944666742862,0.23839570238693997
Clogher wind,Clogher,official_model_generator_bus_assignment,98.25,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,-0.23839570238694086,-0.23348413333551052,-8.604228440844963e-16,load_weighted,-0.23839570238694086,-0.23839570238694086,-8.604228440844963e-16,0.23839570238694
Croaghonagh wind,Croaghonagh,official_model_generator_bus_assignment,139.2,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,-0.23839570238694077,-0.23348413333551044,-7.771561172376096e-16,load_weighted,-0.23839570238694077,-0.23839570238694077,-7.771561172376096e-16,0.23839570238694
Cathaleen's Fall wind,Cathaleen's Fall,official_model_generator_bus_assignment,55.0,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,-0.23839570238694127,-0.23348413333551093,-1.27675647831893e-15,load_weighted,-0.23839570238694127,-0.23839570238694127,-1.27675647831893e-15,0.23839570238694
Binbane wind,Binbane,official_model_generator_bus_assignment,89.3,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,-0.23839570238694266,-0.23348413333551232,-2.6645352591003757e-15,load_weighted,-0.23839570238694266,-0.23839570238694266,-2.6645352591003757e-15,0.23839570238694
Letterkenny wind,Letterkenny,official_model_generator_bus_assignment,90.77000000000001,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,-0.23839570238694,-0.23348413333550966,0.0,load_weighted,-0.23839570238694,-0.23839570238694,0.0,0.23839570238694
Drumkeen wind,Drumkeen,official_model_generator_bus_assignment,84.96,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,-0.2383957023869402,-0.23348413333550985,-1.942890293094024e-16,load_weighted,-0.2383957023869402,-0.2383957023869402,-1.942890293094024e-16,0.23839570238694
Glenree wind,Glenree,official_model_generator_bus_assignment,77.3,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,0.5787987642873477,0.583710333338778,0.8171944666742876,load_weighted,0.5787987642873477,0.5787987642873477,0.8171944666742876,0.23839570238693997
Sorne Hill wind,Sorne Hill,official_model_generator_bus_assignment,63.24999999999999,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,-0.23839570238693952,-0.2334841333355092,4.718447854656915e-16,load_weighted,-0.23839570238693952,-0.23839570238693952,4.718447854656915e-16,0.23839570238694
Sligo wind,Sligo,official_model_generator_bus_assignment,52.529999999999994,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,0.5787987642873477,0.583710333338778,0.8171944666742876,load_weighted,0.5787987642873477,0.5787987642873477,0.8171944666742876,0.23839570238693997
Trillick wind,Trillick,official_model_generator_bus_assignment,44.69,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,-0.2383957023869395,-0.23348413333550916,4.996003610813204e-16,load_weighted,-0.2383957023869395,-0.2383957023869395,4.996003610813204e-16,0.23839570238694
Tievebrack wind,Tievebrack,official_model_generator_bus_assignment,29.9,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,-0.238395702386943,-0.23348413333551266,-2.9976021664879227e-15,load_weighted,-0.238395702386943,-0.238395702386943,-2.9976021664879227e-15,0.23839570238694
Ardnagappary wind,Ardnagappary,official_model_generator_bus_assignment,22.94,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,-0.23839570238694588,-0.23348413333551554,-5.88418203051333e-15,load_weighted,-0.23839570238694588,-0.23839570238694588,-5.88418203051333e-15,0.23839570238694
