wind_farm,nearest_substation,1571-5191-1,1341-1701-1,1341-5191-1,2870-17010-1,1701-28712-2,1701-5041-1,5041-17010-2,28710-51911-1,2321-28710-1,3581-28019-1,1631-5041-1,2321-3581-1,1931-4371-1,3591-5191-1,3581-5361-1,4981-5041-1,4981-5041-2,4991-5361-1
Moy wind,Moy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corderry wind,Corderry,-0.05203890938713089,-0.2225803318513462,0.12185677058822703,-0.1969900583304004,0.1969900583304004,-0.1294766681722813,0.5787987642873462,8.049116928532385e-16,-0.20730821012619524,-0.18667190653460602,0.9999999999999982,0.207308210126196,-1.3877787807814457e-16,-0.06981786120109525,0.10805500982318188,-0.14799307410414508,-0.14373149343622466,-4.85722573273506e-16
Clogher wind,Clogher,-0.05203890938713006,-0.11377595459810243,0.013052393334984425,0.2486077530429778,-0.2486077530429778,0.053328865153430105,-0.23839570238694086,1.5265566588595902e-15,-0.26455993362290464,-0.23822456029114153,7.494005416219807e-16,0.26455993362290564,1.8041124150158794e-16,0.03898651605214598,0.10805500982318221,-0.14799307410414553,-0.14373149343622516,5.828670879282072e-16
Croaghonagh wind,Croaghonagh,-0.0520389093871301,-0.11377595459810226,0.013052393334984501,0.24860775304297786,-0.24860775304297786,0.053328865153430084,-0.23839570238694077,-1.0000000000000002,-0.2645599336229044,-0.23822456029114142,8.881784197001252e-16,0.26455993362290564,3.0531133177191805e-16,0.03898651605214605,0.1080550098231821,-0.1479930741041454,-0.143731493436225,5.412337245047638e-16
Cathaleen's Fall wind,Cathaleen's Fall,-0.05203890938712946,-0.2225803318513453,0.12185677058822705,-0.19699005833040117,0.19699005833040117,0.053328865153430195,-0.23839570238694127,1.8318679906315083e-15,-0.20730821012619594,-0.18667190653460658,-4.579669976578771e-16,0.20730821012619627,2.498001805406602e-16,-0.06981786120109737,0.10805500982318235,-0.14799307410414525,-0.14373149343622482,-5.967448757360216e-16
Binbane wind,Binbane,-0.05203890938712458,0.502810404177075,0.3964660345598084,-0.059685426344609785,0.059685426344609785,0.05332886515343051,-0.23839570238694266,-2.914335439641036e-16,-0.06281169217873318,-0.05655916051048547,-1.457167719820518e-15,0.06281169217873345,3.3306690738754696e-16,-0.3444271251726847,0.10805500982318407,-0.14799307410414567,-0.14373149343622527,-6.800116025829084e-16
Letterkenny wind,Letterkenny,-0.052038909387128754,0.03979209362408891,-0.14051565488720694,0.1718237289318818,-0.1718237289318818,0.05332886515342992,-0.23839570238694,-5.412337245047638e-16,0.1808236923425479,0.16282376552121525,1.5543122344752192e-15,-0.18082369234254797,-3.7470027081099033e-16,0.19255456427433587,0.10805500982318268,-0.14799307410414592,-0.14373149343622554,7.216449660063518e-16
Drumkeen wind,Drumkeen,-0.052038909387128934,0.004024345683730398,-0.1047479069468481,0.1897076029020613,-0.1897076029020613,0.05332886515342995,-0.2383957023869402,-4.85722573273506e-16,0.3100001642695819,0.06941504153453955,1.5404344466674047e-15,0.6899998357304196,-3.469446951953614e-16,0.1567868163339779,0.10805500982318265,-0.14799307410414603,-0.1437314934362256,9.71445146547012e-17
Glenree wind,Glenree,-0.05203890938713045,-0.22258033185134604,0.12185677058822697,-0.1969900583304011,0.1969900583304011,-0.1294766681722816,0.5787987642873477,1.4710455076283324e-15,-0.20730821012619527,-0.18667190653460602,-7.91033905045424e-16,0.20730821012619582,-0.9999999999999987,-0.06981786120109598,0.10805500982318296,0.3593110427617248,0.3489643896979057,-4.85722573273506e-16
Sorne Hill wind,Sorne Hill,-0.05203890938713081,0.039792093624087074,-0.14051565488720608,0.1718237289318822,-0.1718237289318822,0.053328865153429814,-0.23839570238693952,-2.345346139520643e-15,0.1808236923425472,0.1628237655212148,2.3175905639050143e-15,-0.18082369234254814,1.3877787807814457e-16,0.19255456427433815,-0.8919449901768199,-0.1479930741041471,-0.14373149343622676,1.0000000000000047
Sligo wind,Sligo,-0.05203890938713049,-0.22258033185134596,0.12185677058822733,-0.1969900583304011,0.1969900583304011,-0.1294766681722816,0.5787987642873477,9.575673587391975e-16,-0.2073082101261958,-0.1866719065346064,-1.6653345369377348e-15,0.207308210126196,2.3592239273284576e-16,-0.06981786120109632,0.10805500982318252,0.35931104276172493,0.3489643896979057,-9.298117831235686e-16
Trillick wind,Trillick,-0.052038909387130586,0.03979209362408715,-0.1405156548872061,0.17182372893188205,-0.17182372893188205,0.0533288651534298,-0.2383957023869395,-2.6229018956769323e-15,0.1808236923425473,0.1628237655212148,2.345346139520643e-15,-0.18082369234254786,0.0,0.19255456427433792,-0.8919449901768198,-0.1479930741041471,-0.1437314934362267,2.4424906541753444e-15
Tievebrack wind,Tievebrack,-0.052038909387126575,0.31218478057707144,-0.41290834184018554,0.03562738545539222,-0.03562738545539222,0.053328865153430584,-0.238395702386943,1.942890293094024e-16,0.03749351400183712,0.033761256908949294,-1.1379786002407855e-15,-0.03749351400183809,1.3877787807814457e-17,-0.5350527487726896,0.10805500982318463,-0.14799307410414603,-0.14373149343622554,-8.743006318923108e-16
Ardnagappary wind,Ardnagappary,0.9479610906128689,0.3121847805770767,-0.4129083418401824,0.03562738545539139,-0.03562738545539139,0.05332886515343123,-0.23839570238694588,1.0130785099704553e-15,0.03749351400183859,0.03376125690895049,-2.4702462297909733e-15,-0.03749351400183892,-2.7755575615628914e-17,-0.535052748772692,0.10805500982318648,-0.14799307410414614,-0.1437314934362257,-2.4147350785597155e-15
