generator,bus,priority_status,neutral_dispatch_down_mwh,priority_dispatch_down_mwh,additional_dispatch_down_mwh,interpretation,dispatched_energy_change_mwh,annualised_dispatched_energy_change_mwh,energy_value_eur_mwh,annual_energy_value_transfer_eur,annuity_present_value_factor,pv_energy_value_transfer_eur,data_class,included_in_bess_npv,included_in_system_dispatch_cost,interpretation_limit
Letterkenny wind,Letterkenny,non_priority,64.8655695285733,1230.6128886988884,1165.747319170315,additional burden under priority policy,-1165.747319170315,-60785.39592816643,70.0,-4254977.71497165,10.594014245516165,-45077294.526763484,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Clogher wind,Clogher,non_priority,992.0990274656577,1893.2950697115948,901.1960422459372,additional burden under priority policy,-901.1960422459372,-46990.93648853816,70.0,-3289365.554197671,10.594014245516165,-34847585.5398803,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Trillick wind,Trillick,non_priority,0.0,333.69796708155553,333.69796708155553,additional burden under priority policy,-333.69796708155553,-17399.965426395396,70.0,-1217997.5798476778,10.594014245516165,-12903483.711910512,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Sorne Hill wind,Sorne Hill,non_priority,0.0,174.57459591922924,174.57459591922924,additional burden under priority policy,-174.57459591922924,-9102.818215788382,70.0,-637197.2751051867,10.594014245516165,-6750477.009668431,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Corderry wind,Corderry,non_priority,0.0,28.40974139146556,28.40974139146556,additional burden under priority policy,-28.40974139146556,-1481.3650868407042,70.0,-103695.55607884929,10.594014245516165,-1098552.1982960498,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Ardnagappary wind,Ardnagappary,priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Cathaleen's Fall wind,Cathaleen's Fall,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Glenree wind,Glenree,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Moy wind,Moy,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Sligo wind,Sligo,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Tievebrack wind,Tievebrack,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Binbane wind,Binbane,priority,452.395129239591,1.0000013340061287e-05,-452.39511923957764,energy protected under priority policy,452.39511923957764,23589.17407463512,70.0,1651242.1852244583,10.594014245516165,17493283.233065154,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Croaghonagh wind,Croaghonagh,priority,772.4371420433802,0.0,-772.4371420433802,energy protected under priority policy,772.4371420433802,40277.07954940482,70.0,2819395.5684583373,10.594014245516165,29868716.815992773,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Drumkeen wind,Drumkeen,priority,1378.7934045255445,0.0,-1378.7934045255445,energy protected under priority policy,1378.7934045255445,71894.22752168911,70.0,5032595.926518238,10.594014245516165,53315392.93746084,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
