generator,bus,priority_status,neutral_dispatch_down_mwh,priority_dispatch_down_mwh,additional_dispatch_down_mwh,interpretation,dispatched_energy_change_mwh,annualised_dispatched_energy_change_mwh,energy_value_eur_mwh,annual_energy_value_transfer_eur,annuity_present_value_factor,pv_energy_value_transfer_eur,data_class,included_in_bess_npv,included_in_system_dispatch_cost,interpretation_limit
Clogher wind,Clogher,non_priority,287.53405104910104,454.6341340969853,167.10008304788425,additional burden under priority policy,-167.10008304788425,-60991.53031247776,70.0,-4269407.121873443,10.594014245516165,-45230159.86903542,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Letterkenny wind,Letterkenny,non_priority,73.95698509290774,236.35024028518097,162.39325519227322,additional burden under priority policy,-162.39325519227322,-59273.53814517972,70.0,-4149147.6701625804,10.594014245516165,-43956129.52445258,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Corderry wind,Corderry,non_priority,0.0,5.388969188403365,5.388969188403365,additional burden under priority policy,-5.388969188403365,-1966.9737537672283,70.0,-137688.16276370597,10.594014245516165,-1458670.3577576494,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Ardnagappary wind,Ardnagappary,priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Binbane wind,Binbane,priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Cathaleen's Fall wind,Cathaleen's Fall,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Glenree wind,Glenree,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Moy wind,Moy,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Sligo wind,Sligo,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Sorne Hill wind,Sorne Hill,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Tievebrack wind,Tievebrack,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Trillick wind,Trillick,non_priority,0.0,0.0,0.0,no material allocation change,-0.0,-0.0,70.0,-0.0,10.594014245516165,-0.0,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Croaghonagh wind,Croaghonagh,priority,1.2701774837534003,1.0000000230547812e-05,-1.2701674837531698,energy protected under priority policy,1.2701674837531698,463.611131569907,70.0,32452.77920989349,10.594014245516165,343805.2052562025,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
Drumkeen wind,Drumkeen,priority,333.6121399448077,0.0,-333.6121399448077,energy protected under priority policy,333.6121399448077,121768.43107985482,70.0,8523790.175589837,10.594014245516165,90301154.54598947,COMMERCIAL_ASSUMPTION,False,False,"Energy-only owner allocation proxy; no contract, imbalance or curtailment compensation data supplied"
