generator,bus,p_nom_mw,p_min_pu,p_max_pu,fixed_by_static_bounds,dispatch_min_mw,dispatch_mean_mw,dispatch_max_mw,dispatch_range_mw,dispatch_std_mw
boundary Cathaleen's Fall - CORRACLASSY 1,Cathaleen's Fall,210.0,-0.06370211262691283,-0.06370211262691283,True,-13.377443651651696,-13.377443651651701,-13.377443651651696,0.0,3.563334670145586e-15
boundary Corderry - AGHALEAGUE 1,Corderry,140.0,0.02857142857142857,0.02857142857142857,True,4.0,4.0,4.0,0.0,0.0
boundary Corderry - ARIGNA_T 1,Corderry,210.0,0.013720370272380662,0.013720370272380662,True,2.881277757199939,2.881277757199939,2.881277757199939,0.0,0.0
boundary Glenree - FIRLOUGH 1,Glenree,210.0,0.2833100922083174,0.2833100922083174,True,59.495119363746646,59.49511936374664,59.495119363746646,0.0,2.636867655907734e-13
boundary Letterkenny - STRA_PST 1,Letterkenny,123.0,-0.5647089823160808,-0.5647089823160808,True,-69.45920482487794,-69.45920482487794,-69.45920482487794,0.0,9.977337076407642e-14
boundary Moy - FIRLOUGH 1,Moy,210.0,-0.24731009220831657,-0.24731009220831657,True,-51.93511936374648,-51.93511936374648,-51.93511936374648,0.0,1.7104006416698813e-13
boundary Moy - LAGHTANVACK 1,Moy,192.0,0.32793758855796246,0.32793758855796246,True,62.96401700312879,62.964017003128795,62.96401700312879,0.0,9.977337076407642e-14
boundary Moy - TONROE 1,Moy,228.0,-0.3655653405236622,-0.3655653405236622,True,-83.34889763939498,-83.34889763939498,-83.34889763939498,0.0,2.138000802087352e-13
boundary Sligo - FLAGFORD 1,Sligo,121.0,0.08448559873556179,0.08448559873556179,True,10.222757447002977,10.222757447002977,10.222757447002977,0.0,2.3161675355946313e-14
boundary Srananagh 220 - FLAGFORD 1,Srananagh 220,513.0,-1.0,1.0,False,-513.0,-307.61080561368976,-9.869181208911336,503.13081879108864,159.9881607364485
