scenario_label,scenario,scope,target_label,target_lines,dlr_mode,nominal_max_uplift_pct,dlr_line_count,dlr_lines,mean_dlr_multiplier,max_dlr_multiplier,dlr_added_capacity_mva_hours,total_dispatch_down_mwh,wind_dispatch_down_mwh,solar_dispatch_down_mwh,wind_dispatch_down_saved_mwh,total_dispatch_down_saved_mwh,wind_constraint_component_mwh,wind_constraint_saved_mwh,wind_constraint_reduction_pct,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_dynamic_loading_pct,target_mean_max_dynamic_loading_pct,target_max_static_equivalent_loading_pct,target_mean_dlr_multiplier,target_max_dlr_multiplier,battery_power_mw,battery_nameplate_energy_mwh,battery_usable_energy_mwh,battery_charge_mwh,battery_discharge_mwh,battery_throughput_mwh,battery_efc_week,battery_max_daily_efc,battery_soc_min_pct,battery_soc_mean_pct,battery_soc_max_pct,simultaneous_charge_discharge_hours,battery_sites,battery_allocations,battery_soc_window,battery_round_trip_efficiency_pct,battery_state_of_health_pct,battery_max_efc_per_day_limit,battery_success_mode,battery_recovery_target,unserved_ok,target_recovery_ok,target_headroom_ok,battery_cycle_ok,effective_success_mode,criterion_success,combined_success,battery_scale_vs_q2
wind_proxy_DLR_plus_battery_scale_0.7510,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2517.8264563710613,2517.826456371062,0.0,1142.763816431685,1142.7638164316854,0.0,588.6138986380738,100.0,678.782955294937,1.9414489176619762,0.8391177716103652,0.8391177716103652,83.91177716103651,0.0,34.0,34.0,100.0,59.50179798603865,121.2195792084242,1.095551488386187,1.2795012677194428,63.835,232.81,148.99840000000003,992.0244713899247,892.8220242509321,1884.8464956408568,6.3250561604717115,1.974219838709891,10.0,30.190080783330803,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.751
wind_proxy_DLR_plus_battery_scale_0.7520,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2517.199060483284,2517.1990604832845,0.0,1143.3912123194623,1143.3912123194627,0.0,588.6138986380738,100.0,973.0298097126288,1.942514804636832,1.2028684563561975,1.2028684563561975,120.28684563561976,0.0,35.0,35.0,100.0,59.43373919482218,121.2195792084242,1.095551488386187,1.2795012677194428,63.92,233.12,149.19680000000002,993.0701312028868,893.7631180825981,1886.833249285485,6.323303345934647,1.7599830462971784,10.0,30.36890468318282,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,True,False,True,benchmark,True,True,0.752
wind_proxy_DLR_plus_battery_scale_0.7530,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2516.5716645955067,2516.571664595507,0.0,1144.0186082072396,1144.01860820724,0.0,588.6138986380738,100.0,973.4939416752168,1.9435806916116873,1.2034422205839848,1.2034422205839848,120.34422205839847,0.0,35.0,35.0,100.0,59.43532480899461,121.2195792084242,1.095551488386187,1.2795012677194428,64.005,233.43,149.39520000000002,994.1157910158491,894.7042119142643,1888.8200029301133,6.321555186947482,1.759960024870611,10.0,30.367541833580965,89.99999999999999,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,True,False,True,benchmark,True,True,0.753
wind_proxy_DLR_plus_battery_scale_0.7540,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2515.9442687077294,2515.9442687077294,0.0,1144.6460040950174,1144.6460040950174,0.0,588.6138986380738,100.0,973.958073637812,1.944646578586543,1.204015984811781,1.204015984811781,120.40159848117811,0.0,35.0,35.0,100.0,59.43691042316702,121.2195792084242,1.095551488386187,1.2795012677194428,64.09,233.74,149.5936,995.1614508288113,895.6453057459304,1890.8067565747417,6.319811664986809,1.7599370645088364,10.0,30.36618259896479,89.99999999999999,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,True,False,True,benchmark,True,True,0.754
wind_proxy_DLR_plus_battery_scale_0.7550,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2515.316872819952,2515.3168728199526,0.0,1145.2733999827942,1145.2733999827947,0.0,588.6138986380738,100.0,974.4222056004037,1.9457124655613987,1.204589749039573,1.204589749039573,120.4589749039573,0.0,35.0,35.0,100.0,59.43849603733946,121.2195792084242,1.095551488386187,1.2795012677194428,64.175,234.05,149.792,996.2071106417739,896.5863995775965,1892.7935102193703,6.3180727616273575,1.7599141649692118,10.0,30.36482696497012,89.99999999999999,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,True,False,True,benchmark,True,True,0.755
wind_proxy_DLR_plus_battery_scale_0.7560,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2514.689476932175,2514.689476932175,0.0,1145.900795870572,1145.900795870572,0.0,588.6138986380738,100.0,974.8863375629953,1.9467783525362543,1.2051635132673648,1.2051635132673648,120.51635132673648,0.0,35.0,35.0,100.0,59.440086744899226,121.2195792084242,1.095551488386187,1.2795012677194428,64.26,234.36,149.99040000000002,997.2527704547363,897.5274934092625,1894.7802638639987,6.316338458541342,1.7598913260103792,10.0,30.363751989788945,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,True,False,True,benchmark,True,True,0.756
wind_proxy_DLR_plus_battery_scale_0.7570,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2514.0620810443975,2514.062081044397,0.0,1146.5281917583497,1146.5281917583493,0.0,588.6138986380738,100.0,975.3504695255906,1.94784423951111,1.2057372774951611,1.2057372774951611,120.57372774951611,0.0,35.0,35.0,100.0,59.44167758818703,121.2195792084242,1.095551488386187,1.2795012677194428,64.345,234.67000000000002,150.18880000000001,998.2984302676986,898.4685872409286,1896.7670175086273,6.314608737497826,1.7598685473922577,10.0,30.362687228345354,89.99999999999999,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,True,False,True,benchmark,True,True,0.757
wind_proxy_DLR_plus_battery_scale_0.7580,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2513.4346851566197,2513.4346851566197,0.0,1147.155587646127,1147.155587646127,0.0,588.6138986380738,100.0,975.8146014881786,1.9489101264859663,1.2063110417229483,1.2063110417229483,120.63110417229484,0.0,35.0,35.0,100.0,59.44326843147484,121.2195792084242,1.095551488386187,1.2795012677194428,64.43,234.98,150.3872,999.3440900806609,899.4096810725947,1898.7537711532555,6.312883580362077,1.7598458288760306,10.0,30.361625276298714,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,True,False,True,benchmark,True,True,0.758
wind_proxy_DLR_plus_battery_scale_0.7590,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2512.807289268842,2512.8072892688424,0.0,1147.7829835339044,1147.7829835339048,0.0,588.6138986380738,100.0,976.2787334507739,1.9499760134608226,1.2068848059507447,1.2068848059507447,120.68848059507447,0.0,35.0,35.0,100.0,59.44485927476265,121.2195792084242,1.095551488386187,1.2795012677194428,64.515,235.29,150.5856,1000.3897498936233,900.3507749042608,1900.740524797884,6.311162969094934,1.7598231702241416,10.0,30.360566122544686,89.99999999999999,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,True,False,True,benchmark,True,True,0.759
wind_proxy_DLR_plus_battery_scale_0.7600,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2512.179893381065,2512.179893381065,0.0,1148.4103794216817,1148.4103794216817,0.0,588.6138986380738,100.0,976.7428654133619,1.9510419004356776,1.2074585701785319,1.2074585701785319,120.74585701785318,0.0,35.0,35.0,100.0,59.44645011805045,121.2195792084242,1.095551488386187,1.2795012677194428,64.6,235.6,150.78400000000002,1001.4354097065856,901.291868735927,1902.7272784425127,6.309446885752177,1.7598005712002833,10.0,30.359509756037387,90.00000000000001,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,True,False,True,benchmark,True,True,0.76
