bus_a,bus_b,ac_component,response_zone_a,response_zone_b,same_response_zone,geographic_distance_km,electrical_response_cosine,electrical_response_distance
3934,43844,3,C003-Z001,C003-Z001,True,154.73839607084423,0.9972627113287571,0.01460147608962132
3944,43844,3,C003-Z001,C003-Z001,True,154.73839607084423,0.9971961049469366,0.014212352570162755
3954,43844,3,C003-Z001,C003-Z001,True,154.73839607084423,0.9971536363894989,0.013923903835763151
3464,43844,3,C003-Z001,C003-Z001,True,155.03087302727184,0.9970896862020937,0.015750181436205553
5351,15010,3,C003-Z001,C003-Z001,True,155.39470516665656,0.9921233572471904,0.021978872672246713
1501,5351,3,C003-Z001,C003-Z001,True,155.39470516665656,0.9921233572471895,0.02197887267224237
1441,5351,3,C003-Z001,C003-Z001,True,157.24954101281656,0.9921233572471876,0.021978872672247556
5351,14461,3,C003-Z001,C003-Z001,True,157.24954101281656,0.9921233572471865,0.02197887267224754
3554,3954,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9916537716090744,0.011027769836653625
3954,star:3554-3550-35542-2,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9916537716089994,0.011027769836657408
3550,3954,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9916537716089918,0.011027769836657967
3554,3944,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9915038226118289,0.011320200676419236
3944,star:3554-3550-35542-2,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9915038226117531,0.011320200676422929
3550,3944,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9915038226117454,0.011320200676423482
3554,3934,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9912304286398567,0.011723537297305587
3934,star:3554-3550-35542-2,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9912304286397795,0.011723537297309197
3550,3934,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9912304286397716,0.011723537297309742
3464,3554,3,C003-Z001,C003-Z001,True,192.66427426729337,0.9900992272868603,0.012920681542806024
3464,star:3554-3550-35542-2,3,C003-Z001,C003-Z001,True,192.66427426729337,0.99009922728678,0.012920681542809368
3464,3550,3,C003-Z001,C003-Z001,True,192.66427426729337,0.990099227286772,0.01292068154280988
2225,5351,3,C003-Z001,C003-Z001,True,172.39889517617127,0.9897733077156735,0.023784344405837824
1281,5351,3,C003-Z001,C003-Z001,True,184.20826872221028,0.9897717300468053,0.023785346694720728
3891,5351,3,C003-Z001,C003-Z001,True,165.47170033201553,0.9897717300467215,0.023785346694777703
2221,5351,3,C003-Z001,C003-Z001,True,172.39889517617127,0.9897717300467139,0.023785346694781672
5351,22261,3,C003-Z001,C003-Z001,True,172.39889517617127,0.9897717300467127,0.023785346694781693
2225,3101,3,C003-Z001,C003-Z001,True,160.2933761310509,0.9896521219353575,0.023649857486278018
2225,31019,3,C003-Z001,C003-Z001,True,160.2933761310509,0.9896521219353559,0.023649857486278233
1281,3101,3,C003-Z001,C003-Z001,True,174.19512367119168,0.9896504585923035,0.023650862607617812
1281,31019,3,C003-Z001,C003-Z001,True,174.19512367119168,0.9896504585923017,0.023650862607618027
3101,3891,3,C003-Z001,C003-Z001,True,154.0901879921117,0.9896504585922217,0.023650862607674766
3891,31019,3,C003-Z001,C003-Z001,True,154.0901879921117,0.9896504585922196,0.02365086260767498
2221,3101,3,C003-Z001,C003-Z001,True,160.2933761310509,0.9896504585922147,0.02365086260767871
3101,22261,3,C003-Z001,C003-Z001,True,160.2933761310509,0.9896504585922138,0.02365086260767873
2221,31019,3,C003-Z001,C003-Z001,True,160.2933761310509,0.9896504585922129,0.023650862607678926
22261,31019,3,C003-Z001,C003-Z001,True,160.2933761310509,0.9896504585922119,0.023650862607678947
1281,4261,3,C003-Z001,C003-Z001,True,152.29640824056727,0.989637558855383,0.005963472283083049
2312,3954,3,C003-Z001,C003-Z001,True,213.48534382726206,0.985810949477067,0.015220837099359839
3954,4662,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9858109494770662,0.015220837099360097
3954,star:4664-4662-46622-2,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9858109494770565,0.015220837099360965
3954,star:4664-4662-46621-1,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9858109494770536,0.015220837099361085
3954,4664,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9858109494770323,0.015220837099363003
2312,3944,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9856391184018168,0.015515155447525795
3944,4662,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9856391184018161,0.015515155447526052
3944,star:4664-4662-46622-2,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9856391184018061,0.015515155447526918
3944,star:4664-4662-46621-1,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9856391184018031,0.015515155447527039
3944,4664,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9856391184017815,0.015515155447528954
2312,3934,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9853220063771175,0.015918933661748798
3934,4662,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9853220063771169,0.015918933661749055
