mode_id,branch,flow_sign,reference_a,reference_b,member_count_a,member_count_b,membership_jaccard,maximum_absolute_raw_relief_change,maximum_absolute_centered_response_change,interpretation
3581-89516-1::+1,3581-89516-1,1,load_weighted_component_local,uniform_component_local,73,72,0.9863013698630136,0.008073114459030029,1.1102230246251565e-16,membership is reference dependent; pairwise response differences are invariant
T89510-89515-1::-1,T89510-89515-1,-1,load_weighted_component_local,uniform_component_local,65,59,0.9076923076923077,0.012067788227341184,1.1102230246251565e-16,membership is reference dependent; pairwise response differences are invariant
T89515-89516-1::-1,T89515-89516-1,-1,load_weighted_component_local,uniform_component_local,71,58,0.8169014084507042,0.009404672381798818,1.3877787807814457e-17,membership is reference dependent; pairwise response differences are invariant
T3662-36671-1::+1,T3662-36671-1,1,load_weighted_component_local,uniform_component_local,0,750,0.0,0.001331557922770431,6.505213034913027e-19,membership is reference dependent; pairwise response differences are invariant
2742-3662-1::+1,2742-3662-1,1,load_weighted_component_local,uniform_component_local,0,749,0.0,0.002663115845552998,1.1102230246251565e-16,membership is reference dependent; pairwise response differences are invariant
2781-4951-1::-1,2781-4951-1,-1,load_weighted_component_local,uniform_component_local,6,6,1.0,0.0007646924106696207,1.734723475976807e-18,membership is reference dependent; pairwise response differences are invariant
1122-11260-1::-1,1122-11260-1,-1,load_weighted_component_local,uniform_component_local,2,2,1.0,0.0026631158455390214,1.3010426069826053e-18,membership is reference dependent; pairwise response differences are invariant
T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,load_weighted_component_local,uniform_component_local,243,219,0.9012345679012346,0.019403808775457887,1.3877787807814457e-17,membership is reference dependent; pairwise response differences are invariant
T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,load_weighted_component_local,uniform_component_local,265,242,0.9132075471698113,0.018072250852677274,2.7755575615628914e-17,membership is reference dependent; pairwise response differences are invariant
T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,load_weighted_component_local,uniform_component_local,243,219,0.9012345679012346,0.01877326489754011,1.3877787807814457e-17,membership is reference dependent; pairwise response differences are invariant
1122-1742-1::+1,1122-1742-1,1,load_weighted_component_local,uniform_component_local,198,158,0.797979797979798,0.01636383275638159,2.7755575615628914e-17,membership is reference dependent; pairwise response differences are invariant
3621-5301-1::+1,3621-5301-1,1,load_weighted_component_local,uniform_component_local,2,2,1.0,0.0026631158455254576,1.1102230246251565e-16,membership is reference dependent; pairwise response differences are invariant
3082-3122-1::-1,3082-3122-1,-1,load_weighted_component_local,uniform_component_local,225,162,0.72,0.023802480134378134,6.938893903907228e-18,membership is reference dependent; pairwise response differences are invariant
T54640-54630-1::+1,T54640-54630-1,1,load_weighted_component_local,uniform_component_local,0,750,0.0,0.0013315579227718985,1.1102230246251565e-16,membership is reference dependent; pairwise response differences are invariant
3691-4041-1::+1,3691-4041-1,1,load_weighted_component_local,uniform_component_local,29,29,1.0,0.0017287774687516078,2.7755575615628914e-17,membership is reference dependent; pairwise response differences are invariant
2561-3781-1::+1,2561-3781-1,1,load_weighted_component_local,uniform_component_local,746,746,1.0,0.009187381755477064,5.551115123125783e-17,membership is reference dependent; pairwise response differences are invariant
