renewable_resource,carrier,installed_capacity_mw,official_connection_bus,response_zone_id,constraint_group_count,mode_id,branch,flow_sign,normalized_positive_relief,relief_mw_per_mw_curtailment,mapping_method
10271-1,hydro,21.0,1021,C003-Z001,6,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.24983459035857575,0.13099572477062332,official_model_generator_bus_assignment
10271-1,hydro,21.0,1021,C003-Z001,6,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.6220972370562496,0.130995724770544,official_model_generator_bus_assignment
10271-1,hydro,21.0,1021,C003-Z001,6,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.23998002681477054,0.12687309785253337,official_model_generator_bus_assignment
10271-1,hydro,21.0,1021,C003-Z001,6,1122-1742-1::+1,1122-1742-1,1,0.062392768269780255,0.03507209561649339,official_model_generator_bus_assignment
10271-1,hydro,21.0,1021,C003-Z001,6,3082-3122-1::-1,3082-3122-1,-1,0.05529111377160289,0.03659917401848073,official_model_generator_bus_assignment
10271-1,hydro,21.0,1021,C003-Z001,6,2561-3781-1::+1,2561-3781-1,1,0.9999999999640808,0.012039979995828558,official_model_generator_bus_assignment
10272-2,hydro,22.0,1021,C003-Z001,6,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.24983459035857575,0.13099572477062332,official_model_generator_bus_assignment
10272-2,hydro,22.0,1021,C003-Z001,6,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.6220972370562496,0.130995724770544,official_model_generator_bus_assignment
10272-2,hydro,22.0,1021,C003-Z001,6,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.23998002681477054,0.12687309785253337,official_model_generator_bus_assignment
10272-2,hydro,22.0,1021,C003-Z001,6,1122-1742-1::+1,1122-1742-1,1,0.062392768269780255,0.03507209561649339,official_model_generator_bus_assignment
10272-2,hydro,22.0,1021,C003-Z001,6,3082-3122-1::-1,3082-3122-1,-1,0.05529111377160289,0.03659917401848073,official_model_generator_bus_assignment
10272-2,hydro,22.0,1021,C003-Z001,6,2561-3781-1::+1,2561-3781-1,1,0.9999999999640808,0.012039979995828558,official_model_generator_bus_assignment
10273-3,hydro,19.0,1021,C003-Z001,6,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.24983459035857575,0.13099572477062332,official_model_generator_bus_assignment
10273-3,hydro,19.0,1021,C003-Z001,6,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.6220972370562496,0.130995724770544,official_model_generator_bus_assignment
10273-3,hydro,19.0,1021,C003-Z001,6,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.23998002681477054,0.12687309785253337,official_model_generator_bus_assignment
10273-3,hydro,19.0,1021,C003-Z001,6,1122-1742-1::+1,1122-1742-1,1,0.062392768269780255,0.03507209561649339,official_model_generator_bus_assignment
10273-3,hydro,19.0,1021,C003-Z001,6,3082-3122-1::-1,3082-3122-1,-1,0.05529111377160289,0.03659917401848073,official_model_generator_bus_assignment
10273-3,hydro,19.0,1021,C003-Z001,6,2561-3781-1::+1,2561-3781-1,1,0.9999999999640808,0.012039979995828558,official_model_generator_bus_assignment
10274-4,hydro,24.0,1021,C003-Z001,6,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.24983459035857575,0.13099572477062332,official_model_generator_bus_assignment
10274-4,hydro,24.0,1021,C003-Z001,6,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.6220972370562496,0.130995724770544,official_model_generator_bus_assignment
10274-4,hydro,24.0,1021,C003-Z001,6,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.23998002681477054,0.12687309785253337,official_model_generator_bus_assignment
10274-4,hydro,24.0,1021,C003-Z001,6,1122-1742-1::+1,1122-1742-1,1,0.062392768269780255,0.03507209561649339,official_model_generator_bus_assignment
10274-4,hydro,24.0,1021,C003-Z001,6,3082-3122-1::-1,3082-3122-1,-1,0.05529111377160289,0.03659917401848073,official_model_generator_bus_assignment
10274-4,hydro,24.0,1021,C003-Z001,6,2561-3781-1::+1,2561-3781-1,1,0.9999999999640808,0.012039979995828558,official_model_generator_bus_assignment
10275-3,wind,7.5,1021,C003-Z001,6,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.24983459035857575,0.13099572477062332,official_model_generator_bus_assignment
10275-3,wind,7.5,1021,C003-Z001,6,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.6220972370562496,0.130995724770544,official_model_generator_bus_assignment
10275-3,wind,7.5,1021,C003-Z001,6,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.23998002681477054,0.12687309785253337,official_model_generator_bus_assignment
10275-3,wind,7.5,1021,C003-Z001,6,1122-1742-1::+1,1122-1742-1,1,0.062392768269780255,0.03507209561649339,official_model_generator_bus_assignment
10275-3,wind,7.5,1021,C003-Z001,6,3082-3122-1::-1,3082-3122-1,-1,0.05529111377160289,0.03659917401848073,official_model_generator_bus_assignment
10275-3,wind,7.5,1021,C003-Z001,6,2561-3781-1::+1,2561-3781-1,1,0.9999999999640808,0.012039979995828558,official_model_generator_bus_assignment
10276-2,wind,0.66,1021,C003-Z001,6,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.24983459035857575,0.13099572477062332,official_model_generator_bus_assignment
10276-2,wind,0.66,1021,C003-Z001,6,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.6220972370562496,0.130995724770544,official_model_generator_bus_assignment
10276-2,wind,0.66,1021,C003-Z001,6,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.23998002681477054,0.12687309785253337,official_model_generator_bus_assignment
10276-2,wind,0.66,1021,C003-Z001,6,1122-1742-1::+1,1122-1742-1,1,0.062392768269780255,0.03507209561649339,official_model_generator_bus_assignment
10276-2,wind,0.66,1021,C003-Z001,6,3082-3122-1::-1,3082-3122-1,-1,0.05529111377160289,0.03659917401848073,official_model_generator_bus_assignment
10276-2,wind,0.66,1021,C003-Z001,6,2561-3781-1::+1,2561-3781-1,1,0.9999999999640808,0.012039979995828558,official_model_generator_bus_assignment
10277-1,solar,4.0,1021,C003-Z001,6,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.24983459035857575,0.13099572477062332,official_model_generator_bus_assignment
10277-1,solar,4.0,1021,C003-Z001,6,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.6220972370562496,0.130995724770544,official_model_generator_bus_assignment
10277-1,solar,4.0,1021,C003-Z001,6,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.23998002681477054,0.12687309785253337,official_model_generator_bus_assignment
10277-1,solar,4.0,1021,C003-Z001,6,1122-1742-1::+1,1122-1742-1,1,0.062392768269780255,0.03507209561649339,official_model_generator_bus_assignment
10277-1,solar,4.0,1021,C003-Z001,6,3082-3122-1::-1,3082-3122-1,-1,0.05529111377160289,0.03659917401848073,official_model_generator_bus_assignment
10277-1,solar,4.0,1021,C003-Z001,6,2561-3781-1::+1,2561-3781-1,1,0.9999999999640808,0.012039979995828558,official_model_generator_bus_assignment
10671-2,wind,4.8,1061,C003-Z001,4,3581-89516-1::+1,3581-89516-1,1,0.19481315854174996,0.10002300251415745,official_model_generator_bus_assignment
10671-2,wind,4.8,1061,C003-Z001,4,T89510-89515-1::-1,T89510-89515-1,-1,0.12672833709835324,0.10002300251409892,official_model_generator_bus_assignment
10671-2,wind,4.8,1061,C003-Z001,4,T89515-89516-1::-1,T89515-89516-1,-1,0.13752262940915405,0.10002300251429178,official_model_generator_bus_assignment
10671-2,wind,4.8,1061,C003-Z001,4,2561-3781-1::+1,2561-3781-1,1,0.9999999999632729,0.012039979995818831,official_model_generator_bus_assignment
10672-3,wind,5.0,1061,C003-Z001,4,3581-89516-1::+1,3581-89516-1,1,0.19481315854174996,0.10002300251415745,official_model_generator_bus_assignment
10672-3,wind,5.0,1061,C003-Z001,4,T89510-89515-1::-1,T89510-89515-1,-1,0.12672833709835324,0.10002300251409892,official_model_generator_bus_assignment
10672-3,wind,5.0,1061,C003-Z001,4,T89515-89516-1::-1,T89515-89516-1,-1,0.13752262940915405,0.10002300251429178,official_model_generator_bus_assignment
10672-3,wind,5.0,1061,C003-Z001,4,2561-3781-1::+1,2561-3781-1,1,0.9999999999632729,0.012039979995818831,official_model_generator_bus_assignment
10673-1,wind,1.2,1061,C003-Z001,4,3581-89516-1::+1,3581-89516-1,1,0.19481315854174996,0.10002300251415745,official_model_generator_bus_assignment
10673-1,wind,1.2,1061,C003-Z001,4,T89510-89515-1::-1,T89510-89515-1,-1,0.12672833709835324,0.10002300251409892,official_model_generator_bus_assignment
10673-1,wind,1.2,1061,C003-Z001,4,T89515-89516-1::-1,T89515-89516-1,-1,0.13752262940915405,0.10002300251429178,official_model_generator_bus_assignment
10673-1,wind,1.2,1061,C003-Z001,4,2561-3781-1::+1,2561-3781-1,1,0.9999999999632729,0.012039979995818831,official_model_generator_bus_assignment
10674-5,wind,4.6,1061,C003-Z001,4,3581-89516-1::+1,3581-89516-1,1,0.19481315854174996,0.10002300251415745,official_model_generator_bus_assignment
10674-5,wind,4.6,1061,C003-Z001,4,T89510-89515-1::-1,T89510-89515-1,-1,0.12672833709835324,0.10002300251409892,official_model_generator_bus_assignment
10674-5,wind,4.6,1061,C003-Z001,4,T89515-89516-1::-1,T89515-89516-1,-1,0.13752262940915405,0.10002300251429178,official_model_generator_bus_assignment
10674-5,wind,4.6,1061,C003-Z001,4,2561-3781-1::+1,2561-3781-1,1,0.9999999999632729,0.012039979995818831,official_model_generator_bus_assignment
10811-1,solar,4.0,1081,C003-Z001,6,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.2538479739570774,0.1331000614540013,official_model_generator_bus_assignment
10811-1,solar,4.0,1081,C003-Z001,6,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.6320907085138011,0.13310006145390613,official_model_generator_bus_assignment
10811-1,solar,4.0,1081,C003-Z001,6,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.24182457080214917,0.12784827488251438,official_model_generator_bus_assignment
10811-1,solar,4.0,1081,C003-Z001,6,1122-1742-1::+1,1122-1742-1,1,0.07121877983378191,0.040033355231493845,official_model_generator_bus_assignment
10811-1,solar,4.0,1081,C003-Z001,6,3082-3122-1::-1,3082-3122-1,-1,0.06076140873962139,0.04022015872669173,official_model_generator_bus_assignment
10811-1,solar,4.0,1081,C003-Z001,6,2561-3781-1::+1,2561-3781-1,1,0.9999999999659097,0.012039979995850578,official_model_generator_bus_assignment
10872-1,solar,4.0,1081,C003-Z001,6,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.2538479739570774,0.1331000614540013,official_model_generator_bus_assignment
10872-1,solar,4.0,1081,C003-Z001,6,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.6320907085138011,0.13310006145390613,official_model_generator_bus_assignment
10872-1,solar,4.0,1081,C003-Z001,6,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.24182457080214917,0.12784827488251438,official_model_generator_bus_assignment
10872-1,solar,4.0,1081,C003-Z001,6,1122-1742-1::+1,1122-1742-1,1,0.07121877983378191,0.040033355231493845,official_model_generator_bus_assignment
10872-1,solar,4.0,1081,C003-Z001,6,3082-3122-1::-1,3082-3122-1,-1,0.06076140873962139,0.04022015872669173,official_model_generator_bus_assignment
10872-1,solar,4.0,1081,C003-Z001,6,2561-3781-1::+1,2561-3781-1,1,0.9999999999659097,0.012039979995850578,official_model_generator_bus_assignment
11262-1,wind,800.0,11261,C003-Z001,4,1122-11260-1::-1,1122-11260-1,-1,1.0,1.0000000000000295,official_model_generator_bus_assignment
11262-1,wind,800.0,11261,C003-Z001,4,1122-1742-1::+1,1122-1742-1,1,1.0,0.5621179599668517,official_model_generator_bus_assignment
11262-1,wind,800.0,11261,C003-Z001,4,3082-3122-1::-1,3082-3122-1,-1,0.5639961968072714,0.373329338923755,official_model_generator_bus_assignment
11262-1,wind,800.0,11261,C003-Z001,4,2561-3781-1::+1,2561-3781-1,1,0.9999999999600884,0.012039979995780489,official_model_generator_bus_assignment
11271-1,wind,25.2,1121,C003-Z001,3,1122-1742-1::+1,1122-1742-1,1,0.8325405977811493,0.46798602241432286,official_model_generator_bus_assignment
11271-1,wind,25.2,1121,C003-Z001,3,3082-3122-1::-1,3082-3122-1,-1,0.5641047573259386,0.373401199030076,official_model_generator_bus_assignment
11271-1,wind,25.2,1121,C003-Z001,3,2561-3781-1::+1,2561-3781-1,1,0.9999999999593902,0.012039979995772082,official_model_generator_bus_assignment
11272-1,solar,4.0,1121,C003-Z001,3,1122-1742-1::+1,1122-1742-1,1,0.8325405977811493,0.46798602241432286,official_model_generator_bus_assignment
11272-1,solar,4.0,1121,C003-Z001,3,3082-3122-1::-1,3082-3122-1,-1,0.5641047573259386,0.373401199030076,official_model_generator_bus_assignment
11272-1,solar,4.0,1121,C003-Z001,3,2561-3781-1::+1,2561-3781-1,1,0.9999999999593902,0.012039979995772082,official_model_generator_bus_assignment
11273-1,wind,39.99,1121,C003-Z001,3,1122-1742-1::+1,1122-1742-1,1,0.8325405977811493,0.46798602241432286,official_model_generator_bus_assignment
11273-1,wind,39.99,1121,C003-Z001,3,3082-3122-1::-1,3082-3122-1,-1,0.5641047573259386,0.373401199030076,official_model_generator_bus_assignment
11273-1,wind,39.99,1121,C003-Z001,3,2561-3781-1::+1,2561-3781-1,1,0.9999999999593902,0.012039979995772082,official_model_generator_bus_assignment
11274-1,solar,10.0,1121,C003-Z001,3,1122-1742-1::+1,1122-1742-1,1,0.8325405977811493,0.46798602241432286,official_model_generator_bus_assignment
11274-1,solar,10.0,1121,C003-Z001,3,3082-3122-1::-1,3082-3122-1,-1,0.5641047573259386,0.373401199030076,official_model_generator_bus_assignment
11274-1,solar,10.0,1121,C003-Z001,3,2561-3781-1::+1,2561-3781-1,1,0.9999999999593902,0.012039979995772082,official_model_generator_bus_assignment
11275-1,solar,22.0,1121,C003-Z001,3,1122-1742-1::+1,1122-1742-1,1,0.8325405977811493,0.46798602241432286,official_model_generator_bus_assignment
11275-1,solar,22.0,1121,C003-Z001,3,3082-3122-1::-1,3082-3122-1,-1,0.5641047573259386,0.373401199030076,official_model_generator_bus_assignment
11275-1,solar,22.0,1121,C003-Z001,3,2561-3781-1::+1,2561-3781-1,1,0.9999999999593902,0.012039979995772082,official_model_generator_bus_assignment
11371-1,wind,34.35,1131,C003-Z001,4,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.39150812506401467,0.20527938314202301,official_model_generator_bus_assignment
11371-1,wind,34.35,1131,C003-Z001,4,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.9748695028093264,0.20527938314193267,official_model_generator_bus_assignment
11371-1,wind,34.35,1131,C003-Z001,4,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.3669415802132386,0.19399537382538548,official_model_generator_bus_assignment
11371-1,wind,34.35,1131,C003-Z001,4,2561-3781-1::+1,2561-3781-1,1,0.9999999999634446,0.012039979995820897,official_model_generator_bus_assignment
11372-1,wind,23.15,11310,C003-Z001,4,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.39150812506401517,0.2052793831420233,official_model_generator_bus_assignment
11372-1,wind,23.15,11310,C003-Z001,4,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.974869502809328,0.205279383141933,official_model_generator_bus_assignment
11372-1,wind,23.15,11310,C003-Z001,4,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.3669415802132388,0.1939953738253856,official_model_generator_bus_assignment
11372-1,wind,23.15,11310,C003-Z001,4,2561-3781-1::+1,2561-3781-1,1,0.9999999999634458,0.012039979995820913,official_model_generator_bus_assignment
11412-1,solar,4.0,1141,C003-Z001,4,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.06486144077633094,0.03400878730190085,official_model_generator_bus_assignment
11412-1,solar,4.0,1141,C003-Z001,4,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.16150735188625862,0.034008787301845464,official_model_generator_bus_assignment
11412-1,solar,4.0,1141,C003-Z001,4,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.06372300593430479,0.03368920019998518,official_model_generator_bus_assignment
11412-1,solar,4.0,1141,C003-Z001,4,2561-3781-1::+1,2561-3781-1,1,0.9999999999665569,0.012039979995858369,official_model_generator_bus_assignment
11424-1,solar,4.0,1141,C003-Z001,4,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.06486144077633094,0.03400878730190085,official_model_generator_bus_assignment
11424-1,solar,4.0,1141,C003-Z001,4,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.16150735188625862,0.034008787301845464,official_model_generator_bus_assignment
11424-1,solar,4.0,1141,C003-Z001,4,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.06372300593430479,0.03368920019998518,official_model_generator_bus_assignment
11424-1,solar,4.0,1141,C003-Z001,4,2561-3781-1::+1,2561-3781-1,1,0.9999999999665569,0.012039979995858369,official_model_generator_bus_assignment
11471-1,wind,0.9,1141,C003-Z001,4,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.06486144077633094,0.03400878730190085,official_model_generator_bus_assignment
11471-1,wind,0.9,1141,C003-Z001,4,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.16150735188625862,0.034008787301845464,official_model_generator_bus_assignment
11471-1,wind,0.9,1141,C003-Z001,4,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.06372300593430479,0.03368920019998518,official_model_generator_bus_assignment
11471-1,wind,0.9,1141,C003-Z001,4,2561-3781-1::+1,2561-3781-1,1,0.9999999999665569,0.012039979995858369,official_model_generator_bus_assignment
11571-1,solar,50.0,1151,C003-Z001,5,T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,1,0.3215853411323468,0.16861678271522781,official_model_generator_bus_assignment
11571-1,solar,50.0,1151,C003-Z001,5,T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,-1,0.8007592219678413,0.1686167827150945,official_model_generator_bus_assignment
11571-1,solar,50.0,1151,C003-Z001,5,T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,1,0.3036611680820429,0.16054016496057974,official_model_generator_bus_assignment
11571-1,solar,50.0,1151,C003-Z001,5,3082-3122-1::-1,3082-3122-1,-1,0.051539314114174915,0.0341157230771252,official_model_generator_bus_assignment
