mode_id,branch,branch_kind,bus0,bus1,flow_sign,flow_direction,ac_component,near_congestion_hours,binding_hours,event_count,event_weighted_severity_hours,maximum_loading_pu,mean_rating_mva_during_events
3581-89516-1::+1,3581-89516-1,Line,3581,89516,1,3581 to 89516,3,132.0,118.0,132,126.52270001369422,1.0000000000003806,123.0
T89510-89515-1::-1,T89510-89515-1,Transformer,89510,89515,-1,89515 to 89510,3,132.0,0.0,132,105.49033681348439,0.9840000000003747,125.0
T89515-89516-1::-1,T89515-89516-1,Transformer,89515,89516,-1,89516 to 89515,3,132.0,0.0,132,105.49033681348234,0.9840000000003742,125.0
T3662-36671-1::+1,T3662-36671-1,Transformer,3662,36671,1,3662 to 36671,3,77.0,75.0,77,76.61426421374146,1.0000000000000009,582.0
2742-3662-1::+1,2742-3662-1,Line,2742,3662,1,2742 to 3662,3,77.0,0.0,77,62.338114287347686,0.9814502529511022,593.0
2781-4951-1::-1,2781-4951-1,Line,2781,4951,-1,4951 to 2781,3,57.0,37.0,57,44.889271717762526,1.0,106.0
1122-11260-1::-1,1122-11260-1,Line,1122,11260,-1,11260 to 1122,3,42.0,32.0,42,36.59630023322595,1.0000000000000036,513.0
T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w1,Transformer,star:3464-3462-34641-1,3464,1,star:3464-3462-34641-1 to 3464,3,34.0,20.0,34,26.938608407084455,1.0000000000000322,500.0
T3464-3462-34641-1-w2::-1,T3464-3462-34641-1-w2,Transformer,star:3464-3462-34641-1,3462,-1,3462 to star:3464-3462-34641-1,3,34.0,20.0,34,26.9386084070844,1.0000000000000318,500.0
T3934-3942-39402-1-w1::+1,T3934-3942-39402-1-w1,Transformer,star:3934-3942-39402-1,3934,1,star:3934-3942-39402-1 to 3934,3,31.0,0.0,31,20.88056081331797,0.9839106442462889,500.0
1122-1742-1::+1,1122-1742-1,Line,1122,1742,1,1122 to 1742,3,19.0,9.0,19,13.43877061909249,0.9999999999999646,513.0
3621-5301-1::+1,3621-5301-1,Line,3621,5301,1,3621 to 5301,3,37.0,0.0,37,12.498785712122213,0.9398360655736416,122.0
3082-3122-1::-1,3082-3122-1,Line,3082,3122,-1,3122 to 3082,3,17.0,7.0,17,12.496402131310427,1.0,634.0
T54640-54630-1::+1,T54640-54630-1,Transformer,54640,54630,1,54640 to 54630,3,5.0,4.0,5,4.749560954873352,1.0,582.0
3691-4041-1::+1,3691-4041-1,Line,3691,4041,1,3691 to 4041,3,2.0,2.0,2,2.0,1.00000000000022,192.0
2561-3781-1::+1,2561-3781-1,Line,2561,3781,1,2561 to 3781,3,10.0,0.0,10,1.8466475849577617,0.9285348748004819,114.0
