mode_id,branch,flow_sign,ac_component,bus,relief_mw_per_mw_curtailment_or_charge,normalized_positive_relief,membership_threshold,balancing_reference,membership_type
3581-89516-1::+1,3581-89516-1,1,3,1061,0.10002300251415745,0.19481315854174996,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1181,0.04439113469133429,0.08645988365773195,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1341,0.36065980678630183,0.702451179758894,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1401,0.06536023271343079,0.1273010513369163,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1571,0.41234007663659916,0.8031079921996259,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1631,0.11924464339042429,0.23225083265007052,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1661,0.044712471532730995,0.08708574614390818,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1701,0.28621083923695584,0.5574481489169888,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1761,0.2862108392369419,0.5574481489169617,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1821,0.02983116281789086,0.058101665671393514,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1861,0.07206307411154116,0.1403560653951621,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1931,0.11211205457336407,0.21835880660501764,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1951,0.04471247153264818,0.08708574614374688,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,1981,0.07884161580765303,0.15355851968001114,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2281,0.037366481690454846,0.07277808242838567,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2321,0.4824355175196779,0.9396317306854433,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2521,0.07071190869868052,0.13772442272122326,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2522,0.05178837904232267,0.10086737493772217,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2601,0.08995723309118585,0.17520822482498308,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2661,0.11924464339033894,0.2322508326499043,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2671,0.11924464339033924,0.23225083264990487,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2681,0.07071190869873803,0.13772442272133525,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2801,0.38033681448323126,0.740775764341791,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2821,0.0697756997244823,0.1359009838848129,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2870,0.3802362906091786,0.7405799756439835,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,2871,0.38033681448313933,0.7407757643416121,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,3501,0.03778135243279361,0.07358611935659261,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,3581,0.5134304236062013,0.9999999999999528,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,3591,0.4861881108165888,0.9469405949918346,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,3691,0.06574617217476109,0.1280527392844663,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,4041,0.0802349827852324,0.1562723576481484,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,4071,0.48243551751974006,0.9396317306855643,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,4091,0.3802362906091549,0.7405799756439374,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,4371,0.09253395421903442,0.1802268622281783,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,4671,0.037781352432754566,0.07358611935651656,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,4701,0.03779754496626986,0.07361765728798848,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,4711,0.037797575232687834,0.07361771623739347,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,4961,0.033413893971697535,0.06507969227262672,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,4981,0.12785387188371342,0.2490188855301857,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,4991,0.5134304236061296,0.9999999999998131,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,5041,0.13812072667807862,0.2690154699208282,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,5042,0.08836144850184878,0.17210014140030283,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,5191,0.41234007663693645,0.8031079922002828,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,5241,0.08023498278522187,0.15627235764812789,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,5251,0.08023498278521568,0.15627235764811584,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,5341,0.07656283192330368,0.14912016975064066,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,5361,0.5134304236061367,0.999999999999827,0.05,load_weighted_component_local,overlapping_directional_constraint_group
3581-89516-1::+1,3581-89516-1,1,3,10619,0.10002300251415819,0.1948131585417514,0.05,load_weighted_component_local,overlapping_directional_constraint_group
