bus_a,bus_b,ac_component,response_zone_a,response_zone_b,same_response_zone,geographic_distance_km,electrical_response_cosine,electrical_response_distance
3944,star:3554-3551-35541-1,3,C003-Z001,C003-Z001,True,173.6981356309691,0.9999999927140247,2.5938255519475894e-06
5211,star:3954-3942-39421-2,3,C003-Z001,C003-Z001,True,190.02689986469423,0.9999999291780977,5.923525406882655e-06
3954,star:3554-3551-35541-1,3,C003-Z001,C003-Z001,True,173.6981356309691,0.9999999265276943,8.231067098435641e-06
2401,2712,3,C003-Z001,C003-Z001,True,161.41959272667887,0.9999998853773893,5.975241933730332e-06
1521,2712,3,C003-Z001,C003-Z001,True,161.41959272667887,0.9999998853773887,5.975241927526736e-06
2691,5451,3,C003-Z001,C003-Z001,True,151.89797361040652,0.999999846108646,1.1428760768456591e-05
3934,star:3554-3551-35541-1,3,C003-Z001,C003-Z001,True,173.6981356309691,0.9999998291538247,1.2544843512822276e-05
2401,3332,3,C003-Z001,C003-Z001,True,181.54036988974133,0.9999994603562857,1.2951146568063918e-05
1521,3332,3,C003-Z001,C003-Z001,True,181.54036988974133,0.9999994603562855,1.2951146561860323e-05
2401,3331,3,C003-Z001,C003-Z001,True,181.54036988974133,0.9999994603562845,1.2951146559919567e-05
2401,3330,3,C003-Z001,C003-Z001,True,181.54036988974133,0.9999994603562843,1.2951146560163062e-05
2401,star:3332-3331-33321-1,3,C003-Z001,C003-Z001,True,181.54036988974133,0.9999994603562843,1.2951146562328676e-05
2401,star:3332-3331-33323-3,3,C003-Z001,C003-Z001,True,181.54036988974133,0.9999994603562843,1.2951146562547643e-05
1521,3330,3,C003-Z001,C003-Z001,True,181.54036988974133,0.9999994603562841,1.2951146553959467e-05
1521,star:3332-3331-33321-1,3,C003-Z001,C003-Z001,True,181.54036988974133,0.9999994603562841,1.2951146556125082e-05
1521,3331,3,C003-Z001,C003-Z001,True,181.54036988974133,0.9999994603562838,1.2951146553715973e-05
1521,star:3332-3331-33323-3,3,C003-Z001,C003-Z001,True,181.54036988974133,0.9999994603562838,1.2951146556344046e-05
1311,2401,3,C003-Z001,C003-Z001,True,179.75719582661463,0.9999994603562838,1.295114655784082e-05
1311,1521,3,C003-Z001,C003-Z001,True,179.75719582661463,0.9999994603562834,1.2951146551637225e-05
1521,28810,3,C003-Z001,C003-Z001,True,167.45700578606474,0.9999994603562833,1.2951146562064202e-05
2401,28810,3,C003-Z001,C003-Z001,True,167.45700578606474,0.9999994603562833,1.2951146568267797e-05
2401,3391,3,C003-Z001,C003-Z001,True,167.04324313788263,0.9999994603562833,1.2951146571585576e-05
1521,3391,3,C003-Z001,C003-Z001,True,167.04324313788263,0.9999994603562828,1.2951146565381981e-05
1331,1511,3,C003-Z001,C003-Z001,True,230.8718836516341,0.9999993825321739,1.4004533875412955e-05
1331,52610,3,C003-Z001,C003-Z001,True,224.5658715954474,0.9999993825321735,1.4004533867943737e-05
1331,3192,3,C003-Z001,C003-Z001,True,220.9355049313753,0.9999993825321735,1.4004533821862502e-05
1331,31911,3,C003-Z001,C003-Z001,True,220.9355049313753,0.9999993825321735,1.4004533865637987e-05
1331,31920,3,C003-Z001,C003-Z001,True,220.9355049313753,0.9999993825321735,1.4004533821817801e-05
1331,star:3192-3191-31922-1,3,C003-Z001,C003-Z001,True,220.9355049313753,0.9999993825321735,1.4004533857506255e-05
1331,3191,3,C003-Z001,C003-Z001,True,220.9355049313753,0.9999993825321734,1.4004533865567881e-05
1331,star:3192-31911-31927-2,3,C003-Z001,C003-Z001,True,220.9355049313753,0.9999993825321731,1.400453385930267e-05
1331,2131,3,C003-Z001,C003-Z001,True,212.44162786916402,0.9999993825321731,1.4004533890430092e-05
1131,1331,3,C003-Z001,C003-Z001,True,216.56513449781107,0.9999993825321729,1.4004533887890767e-05
1331,11310,3,C003-Z001,C003-Z001,True,216.56513449781107,0.9999993825321729,1.4004533887787953e-05
3944,55061,3,C003-Z001,C003-Z001,True,197.49342564894715,0.9999992612273046,2.619490441377372e-05
3944,5501,3,C003-Z001,C003-Z001,True,197.49342564894715,0.9999992612273044,2.619490441381469e-05
2211,3944,3,C003-Z001,C003-Z001,True,197.49342564894715,0.9999992612273031,2.6194904460621595e-05
2641,3944,3,C003-Z001,C003-Z001,True,197.49342564894715,0.9999992612273024,2.6194904490040754e-05
3464,star:3554-3551-35541-1,3,C003-Z001,C003-Z001,True,173.04653815373473,0.9999991068673382,2.8625688250830542e-05
4221,star:2002-2001-20021-1,3,C003-Z001,C003-Z001,True,165.78462787309275,0.9999989943468576,2.4193313509909233e-05
3321,star:2002-2001-20021-1,3,C003-Z001,C003-Z001,True,160.88424054031836,0.9999989943468562,2.4193313533097868e-05
1331,34620,3,C003-Z001,C003-Z001,True,214.2579662599533,0.9999989246151302,1.8494453933922382e-05
3954,55061,3,C003-Z001,C003-Z001,True,197.49342564894715,0.999998907517949,3.183214596026177e-05
3954,5501,3,C003-Z001,C003-Z001,True,197.49342564894715,0.9999989075179487,3.1832145960302746e-05
2211,3954,3,C003-Z001,C003-Z001,True,197.49342564894715,0.999998907517947,3.183214600710965e-05
2641,3954,3,C003-Z001,C003-Z001,True,197.49342564894715,0.9999989075179462,3.1832146036528806e-05
1841,4061,3,C003-Z001,C003-Z001,True,160.6272814278253,0.9999986994418654,3.735969933039072e-05
1231,4061,3,C003-Z001,C003-Z001,True,160.21476881483133,0.9999986994418636,3.735969933332218e-05
4481,star:3954-3942-39421-2,3,C003-Z001,C003-Z001,True,153.88575440305013,0.9999986918561136,2.552813899016456e-05
2001,3321,3,C003-Z001,C003-Z001,True,160.88424054031836,0.9999986576251106,2.775449719005099e-05
2001,4221,3,C003-Z001,C003-Z001,True,165.78462787309275,0.9999986576251092,2.7754497213239625e-05
3934,55061,3,C003-Z001,C003-Z001,True,197.49342564894715,0.9999985898525474,3.614592237464841e-05
3934,5501,3,C003-Z001,C003-Z001,True,197.49342564894715,0.9999985898525473,3.614592237468938e-05
2211,3934,3,C003-Z001,C003-Z001,True,197.49342564894715,0.9999985898525453,3.614592242149628e-05
2641,3934,3,C003-Z001,C003-Z001,True,197.49342564894715,0.9999985898525444,3.6145922450915444e-05
1331,2892,3,C003-Z001,C003-Z001,True,214.2579662599533,0.9999984446037621,2.225510244856582e-05
1331,3462,3,C003-Z001,C003-Z001,True,214.2579662599533,0.9999984446037621,2.225510244860688e-05
2351,4061,3,C003-Z001,C003-Z001,True,158.0646428929089,0.9999982054021389,4.3919964016578706e-05
1221,3464,3,C003-Z001,C003-Z001,True,167.6117704726644,0.9999979738086981,4.273612201730625e-05
1331,2712,3,C003-Z001,C003-Z001,True,213.1415513735798,0.9999975289582355,2.7836591243457692e-05
3464,32461,3,C003-Z001,C003-Z001,True,205.34424574504962,0.9999973107247818,4.9195249179733277e-05
3241,3464,3,C003-Z001,C003-Z001,True,205.34424574504962,0.9999973107247817,4.919524917947459e-05
2441,3464,3,C003-Z001,C003-Z001,True,229.6070964971074,0.9999972768192823,4.95025016599724e-05
2841,star:2742-2741-27421-1,3,C003-Z001,C003-Z001,True,159.52879088175575,0.999997196428231,4.6374611128080724e-05
28411,star:2742-2741-27421-1,3,C003-Z001,C003-Z001,True,159.52879088175575,0.9999971964282309,4.637461112827169e-05
28411,star:2742-2741-27422-2,3,C003-Z001,C003-Z001,True,159.52879088175575,0.9999971964282305,4.637461112908599e-05
2841,star:2742-2741-27422-2,3,C003-Z001,C003-Z001,True,159.52879088175575,0.9999971964282303,4.637461112889502e-05
1392,star:3954-3942-39421-2,3,C003-Z001,C003-Z001,True,165.60008561252496,0.9999970608414067,3.792496591873893e-05
3464,55061,3,C003-Z001,C003-Z001,True,195.37999781788605,0.9999970442908052,5.222676711265668e-05
3464,5501,3,C003-Z001,C003-Z001,True,195.37999781788605,0.9999970442908048,5.222676711269764e-05
2211,3464,3,C003-Z001,C003-Z001,True,195.37999781788605,0.999997044290802,5.2226767159504546e-05
2641,3464,3,C003-Z001,C003-Z001,True,195.37999781788605,0.9999970442908007,5.222676718892371e-05
1991,4061,3,C003-Z001,C003-Z001,True,154.7413032706376,0.999996990770692,5.696145404180073e-05
3641,4061,3,C003-Z001,C003-Z001,True,155.50702226053974,0.9999969907706916,5.6961454042657834e-05
4061,36411,3,C003-Z001,C003-Z001,True,155.50040175449982,0.9999969907706916,5.696145404271708e-05
1521,2731,3,C003-Z001,C003-Z001,True,203.3572409653932,0.9999967236599132,3.1819078249877235e-05
2401,2731,3,C003-Z001,C003-Z001,True,203.3572409653932,0.9999967236599132,3.181907825608083e-05
1971,2401,3,C003-Z001,C003-Z001,True,202.5014132375754,0.999996723659913,3.181907825693347e-05
1521,1971,3,C003-Z001,C003-Z001,True,202.5014132375754,0.9999967236599125,3.181907825072987e-05
2401,16110,3,C003-Z001,C003-Z001,True,198.24478662980908,0.9999967236599077,3.1819078287389044e-05
1521,16110,3,C003-Z001,C003-Z001,True,198.24478662980908,0.9999967236599072,3.181907828118545e-05
1521,6201,3,C003-Z001,C003-Z001,True,208.01965123080637,0.9999967236599067,3.18190782814572e-05
2401,6201,3,C003-Z001,C003-Z001,True,208.01965123080637,0.9999967236599067,3.181907828766079e-05
1521,2771,3,C003-Z001,C003-Z001,True,188.9378432864453,0.9999967236599057,3.181907829136587e-05
2401,2771,3,C003-Z001,C003-Z001,True,188.9378432864453,0.9999967236599057,3.1819078297569466e-05
1211,2401,3,C003-Z001,C003-Z001,True,186.34514215678988,0.9999967236599057,3.181907830171006e-05
1211,1521,3,C003-Z001,C003-Z001,True,186.34514215678988,0.9999967236599052,3.1819078295506466e-05
1521,12111,3,C003-Z001,C003-Z001,True,186.34514215678988,0.999996723659905,3.181907829529759e-05
2401,12111,3,C003-Z001,C003-Z001,True,186.34514215678988,0.9999967236599048,3.181907830150118e-05
1751,2401,3,C003-Z001,C003-Z001,True,186.34514215678988,0.9999967236599046,3.1819078315410114e-05
1521,1751,3,C003-Z001,C003-Z001,True,186.34514215678988,0.9999967236599042,3.181907830920652e-05
2401,star:1212-12111-12122-2,3,C003-Z001,C003-Z001,True,186.34514215678988,0.9999967236599042,3.181907830287617e-05
1521,star:1212-1211-12121-1,3,C003-Z001,C003-Z001,True,186.34514215678988,0.999996723659904,3.1819078296842806e-05
1521,star:1212-12111-12122-2,3,C003-Z001,C003-Z001,True,186.34514215678988,0.999996723659904,3.181907829667257e-05
2401,star:1212-1211-12121-1,3,C003-Z001,C003-Z001,True,186.34514215678988,0.999996723659904,3.18190783030464e-05
1212,2401,3,C003-Z001,C003-Z001,True,186.34514215678988,0.9999967236599009,3.181907829479474e-05
1212,1521,3,C003-Z001,C003-Z001,True,186.34514215678988,0.9999967236599008,3.181907828859114e-05
