renewable_resource,carrier,installed_capacity_mw,official_connection_bus,response_zone_id,constraint_group_count,mode_id,branch,flow_sign,normalized_positive_relief,relief_mw_per_mw_curtailment,mapping_method
10271-1,hydro,21.0,1021,C003-Z001,0,,,,,,official_model_generator_bus_assignment
10272-2,hydro,22.0,1021,C003-Z001,0,,,,,,official_model_generator_bus_assignment
10273-3,hydro,19.0,1021,C003-Z001,0,,,,,,official_model_generator_bus_assignment
10274-4,hydro,24.0,1021,C003-Z001,0,,,,,,official_model_generator_bus_assignment
10275-3,wind,7.5,1021,C003-Z001,0,,,,,,official_model_generator_bus_assignment
10276-2,wind,0.66,1021,C003-Z001,0,,,,,,official_model_generator_bus_assignment
10277-1,solar,4.0,1021,C003-Z001,0,,,,,,official_model_generator_bus_assignment
10671-2,wind,4.8,1061,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.19481315854174996,0.10002300251415745,official_model_generator_bus_assignment
10671-2,wind,4.8,1061,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.12672833709835324,0.10002300251409892,official_model_generator_bus_assignment
10671-2,wind,4.8,1061,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.13752262940915405,0.10002300251429178,official_model_generator_bus_assignment
10672-3,wind,5.0,1061,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.19481315854174996,0.10002300251415745,official_model_generator_bus_assignment
10672-3,wind,5.0,1061,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.12672833709835324,0.10002300251409892,official_model_generator_bus_assignment
10672-3,wind,5.0,1061,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.13752262940915405,0.10002300251429178,official_model_generator_bus_assignment
10673-1,wind,1.2,1061,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.19481315854174996,0.10002300251415745,official_model_generator_bus_assignment
10673-1,wind,1.2,1061,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.12672833709835324,0.10002300251409892,official_model_generator_bus_assignment
10673-1,wind,1.2,1061,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.13752262940915405,0.10002300251429178,official_model_generator_bus_assignment
10674-5,wind,4.6,1061,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.19481315854174996,0.10002300251415745,official_model_generator_bus_assignment
10674-5,wind,4.6,1061,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.12672833709835324,0.10002300251409892,official_model_generator_bus_assignment
10674-5,wind,4.6,1061,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.13752262940915405,0.10002300251429178,official_model_generator_bus_assignment
10811-1,solar,4.0,1081,C003-Z001,0,,,,,,official_model_generator_bus_assignment
10872-1,solar,4.0,1081,C003-Z001,0,,,,,,official_model_generator_bus_assignment
11262-1,wind,800.0,11261,C003-Z001,1,1122-11260-1::-1,1122-11260-1,-1.0,1.0,1.0000000000000295,official_model_generator_bus_assignment
11271-1,wind,25.2,1121,C003-Z001,0,,,,,,official_model_generator_bus_assignment
11272-1,solar,4.0,1121,C003-Z001,0,,,,,,official_model_generator_bus_assignment
11273-1,wind,39.99,1121,C003-Z001,0,,,,,,official_model_generator_bus_assignment
11274-1,solar,10.0,1121,C003-Z001,0,,,,,,official_model_generator_bus_assignment
11275-1,solar,22.0,1121,C003-Z001,0,,,,,,official_model_generator_bus_assignment
11371-1,wind,34.35,1131,C003-Z001,0,,,,,,official_model_generator_bus_assignment
11372-1,wind,23.15,11310,C003-Z001,0,,,,,,official_model_generator_bus_assignment
11412-1,solar,4.0,1141,C003-Z001,0,,,,,,official_model_generator_bus_assignment
11424-1,solar,4.0,1141,C003-Z001,0,,,,,,official_model_generator_bus_assignment
11471-1,wind,0.9,1141,C003-Z001,0,,,,,,official_model_generator_bus_assignment
11571-1,solar,50.0,1151,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12271-1,solar,4.99,1221,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12371-1,wind,31.5,1231,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12372-2,wind,10.5,1231,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12571-1,wind,19.45,1251,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12572-1,wind,12.0,1251,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12574-1,wind,13.399,1251,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12575-1,wind,15.0,1251,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12576-1,wind,10.2,1251,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12577-1,wind,4.2,1251,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12771-1,solar,10.0,1271,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12772-1,solar,7.14,1271,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12872-DW,wind,8.4,1281,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12873-1,wind,19.55,1281,C003-Z001,0,,,,,,official_model_generator_bus_assignment
12874-1,wind,8.5,1281,C003-Z001,0,,,,,,official_model_generator_bus_assignment
13011-1,solar,8.0,1301,C003-Z001,0,,,,,,official_model_generator_bus_assignment
13072-1,solar,9.9,1301,C003-Z001,0,,,,,,official_model_generator_bus_assignment
13170-1,wind,35.45,1311,C003-Z001,0,,,,,,official_model_generator_bus_assignment
13171-1,wind,18.5,1311,C003-Z001,0,,,,,,official_model_generator_bus_assignment
13172-1,wind,3.8,1311,C003-Z001,0,,,,,,official_model_generator_bus_assignment
13371-1,solar,60.0,1331,C003-Z001,0,,,,,,official_model_generator_bus_assignment
13471-1,wind,0.66,1341,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.702451179758894,0.36065980678630183,official_model_generator_bus_assignment
13471-1,wind,0.66,1341,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.4569530650289756,0.36065980678612053,official_model_generator_bus_assignment
13471-1,wind,0.66,1341,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.49587478584675937,0.36065980678684445,official_model_generator_bus_assignment
13472-DW,wind,2.55,1341,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.702451179758894,0.36065980678630183,official_model_generator_bus_assignment
13472-DW,wind,2.55,1341,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.4569530650289756,0.36065980678612053,official_model_generator_bus_assignment
13472-DW,wind,2.55,1341,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.49587478584675937,0.36065980678684445,official_model_generator_bus_assignment
13473-4,wind,9.99,1341,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.702451179758894,0.36065980678630183,official_model_generator_bus_assignment
13473-4,wind,9.99,1341,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.4569530650289756,0.36065980678612053,official_model_generator_bus_assignment
13473-4,wind,9.99,1341,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.49587478584675937,0.36065980678684445,official_model_generator_bus_assignment
13474-1,wind,6.0,1341,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.702451179758894,0.36065980678630183,official_model_generator_bus_assignment
13474-1,wind,6.0,1341,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.4569530650289756,0.36065980678612053,official_model_generator_bus_assignment
13474-1,wind,6.0,1341,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.49587478584675937,0.36065980678684445,official_model_generator_bus_assignment
13475-6,wind,7.65,1341,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.702451179758894,0.36065980678630183,official_model_generator_bus_assignment
13475-6,wind,7.65,1341,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.4569530650289756,0.36065980678612053,official_model_generator_bus_assignment
13475-6,wind,7.65,1341,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.49587478584675937,0.36065980678684445,official_model_generator_bus_assignment
13476-3,wind,11.9,1341,C003-Z001,3,3581-89516-1::+1,3581-89516-1,1.0,0.702451179758894,0.36065980678630183,official_model_generator_bus_assignment
13476-3,wind,11.9,1341,C003-Z001,3,T89510-89515-1::-1,T89510-89515-1,-1.0,0.4569530650289756,0.36065980678612053,official_model_generator_bus_assignment
13476-3,wind,11.9,1341,C003-Z001,3,T89515-89516-1::-1,T89515-89516-1,-1.0,0.49587478584675937,0.36065980678684445,official_model_generator_bus_assignment
